,year,dis,ring_area,water_area,urban_area,dens
0,1985,1000,3104060.6292272145,0,7359.263770967371,0.002370850524527135
1,1990,1000,3104060.6292272145,1795.8965717390472,2239548.8485566988,0.7219077163152645
2,1990,2000,9312181.820186334,173991.9934103573,7276023.293020692,0.7962215089580525
3,1990,3000,15520302.80859953,2960298.5725147915,9196808.2767267,0.7322297113805409
4,1990,4000,21728423.459530592,5013302.431447229,11842421.390062764,0.7084855305663721
5,1990,5000,27936543.637851108,3878302.928889497,16734179.328746364,0.6955695360763824
6,1990,6000,34144663.20869806,6472807.942114503,14833230.497980328,0.5360403324996026
7,1990,7000,40352782.03686261,8408054.217426844,14435157.717566878,0.45187918955391
8,1990,8000,46560899.98756978,7434937.0990940435,15489868.32128954,0.3958974342801916
9,1990,9000,52769016.92554446,8282118.34771944,13256399.081208115,0.2979843393222271
10,1990,10000,58977132.71607283,11334707.180825146,9004095.028815059,0.18899321198819918
11,1990,11000,65185247.22380533,13459060.083761292,7275792.753327971,0.1406597539004646
12,1990,12000,71393360.31407182,21229808.771843407,7203096.9000014365,0.143592243343013
13,1990,13000,77601471.85150968,21842998.425244413,5914213.554518516,0.10606842675381785
14,1990,14000,83809581.70149468,16087861.50026235,6986866.827484972,0.10317025035282303
15,1990,15000,90017689.72862314,16870389.935646463,5535707.130641324,0.07567889923905081
16,1995,1000,3104060.6292272145,150760.11190999346,2293990.216172642,0.7767547537818817
17,1995,2000,9312181.820186334,464234.4116220512,7530013.434639008,0.8510463598992921
18,1995,3000,15520302.80859953,3142964.6147161745,9798484.683292404,0.7916471643422193
19,1995,4000,21728423.459530592,5092851.105317718,12832781.227611829,0.7714060541092229
20,1995,5000,27936543.637851108,3951994.8772954014,18465322.728171676,0.7698840996558255
21,1995,6000,34144663.20869806,6477793.218670301,16683528.839776011,0.6030146831133923
22,1995,7000,40352782.03686261,8133892.910487274,16190168.708533913,0.502505491267238
23,1995,8000,46560899.98756978,6935438.182931694,17239396.657778747,0.4350585677151883
24,1995,9000,52769016.92554446,7666952.207748596,14839786.741663795,0.32902677149076237
25,1995,10000,58977132.71607283,10033590.255765062,10208374.735566504,0.20857449670393788
26,1995,11000,65185247.22380533,12740125.19844611,8640298.040138155,0.1647493171235304
27,1995,12000,71393360.31407182,21400664.280224364,8357664.739214015,0.1671777159918616
28,1995,13000,77601471.85150968,24665803.260951377,7336658.134727328,0.13859573950929388
29,1995,14000,83809581.70149468,17144471.116044607,9037096.183762971,0.13555960688281457
30,1995,15000,90017689.72862314,17247532.637541406,7965163.548828838,0.10945645670187786
31,1995,16000,96225795.79820132,19199164.160652902,8217171.024768785,0.10667961002676293
