,year,dis,ring_area,water_area,urban_area,dens
0,1985,1000,3104060.6292272946,0,6156.481994628906,0.0019833639641766475
1,1990,1000,3104060.6292272946,73600.20799608417,146614.35040283203,0.04838022281223716
2,1995,1000,3104060.6292272946,230532.1872872147,207386.08781331376,0.07217123199006717
3,2005,1000,3104060.6292272946,263756.3289459827,617465.9392262178,0.21739429087406664
4,2005,2000,9312181.820187053,2495103.546179439,1352666.732059733,0.19842323612701154
5,2005,3000,15520302.808599772,6399029.180658315,290432.84829101566,0.031841260347822975
6,2018,1000,3104060.6292272946,194691.88938945692,1711088.1139500046,0.5881303701796758
7,2018,2000,9312181.820187053,1718579.4797660087,3066200.547706037,0.40378734759187096
8,2018,3000,15520302.808599772,4157293.46379107,1267795.5739779607,0.11157216680079253
9,2018,4000,21728423.459529977,6414818.964543118,509223.79363391356,0.033253032870257014
