,year,dis,ring_area,water_area,urban_area,dens
0,1985,1000,3104060.6292277216,0,7091.9184220856305,0.0022847229062823017
1,1990,1000,3104060.6292277216,448737.27266606357,869629.0181286383,0.32750399908156913
2,1990,2000,9312181.820186177,683549.2526616113,2191445.1710138055,0.2539736341609573
3,1990,3000,15520302.808600234,1468960.3149359014,2045713.4426561547,0.14558846911450313
4,1990,4000,21728423.4595351,3948611.801411227,1938668.615352855,0.10903763507905592
5,1990,5000,27936543.63784248,5300707.929107543,1059352.6174103383,0.046799801475920104
6,1995,1000,3104060.6292277216,193684.2902389227,899122.6590322459,0.3089369051648638
7,1995,2000,9312181.820186177,319360.57101835357,2327801.9501194367,0.2588511308767364
8,1995,3000,15520302.808600234,526040.8981076707,2200760.1545075066,0.14677349026212996
9,1995,4000,21728423.4595351,2034598.7935984903,2063309.7060630647,0.10476937522612685
10,1995,5000,27936543.63784248,2972163.2476234594,1166311.8132329008,0.04671903708412722
11,2005,1000,3104060.6292277216,386540.71708529606,1010450.1768741384,0.3718280673342056
12,2005,2000,9312181.820186177,728363.1259306066,2580091.337558641,0.3005761688891775
13,2005,3000,15520302.808600234,2128070.7948562917,2453524.4284428614,0.18320504199187274
14,2005,4000,21728423.4595351,3570660.6737819286,2295051.030109001,0.12639503319812775
15,2005,5000,27936543.63784248,5394499.220355581,1298204.2945233516,0.0575903529635615
16,2018,1000,3104060.6292277216,208345.88941075944,1403050.9311444457,0.48452663926182604
17,2018,2000,9312181.820186177,502626.02952019183,3714868.5125579247,0.4216862462570417
18,2018,3000,15520302.808600234,1269580.8018973558,4238001.537978707,0.297388548873899
19,2018,4000,21728423.4595351,2485075.0012317123,4081826.3868805524,0.2121162226898858
20,2018,5000,27936543.63784248,3474282.327320535,2513540.559965485,0.10275176640698938
21,2018,6000,34144663.20868864,4308153.739037126,1743885.6096658148,0.058448043710998585
