,year,dis,ring_area,water_area,urban_area,dens
0,1985,1000,3104060.629226831,0,5017.604675292969,0.0016164647777974523
1,1990,1000,3104060.629226831,75013.28096875956,889308.6695676319,0.29359351879364015
2,1990,2000,9312181.820187127,1657479.5489245844,2197777.053651098,0.28711463565370043
3,1990,3000,15520302.808598999,5536390.824091172,2844673.83808905,0.28492577283365167
4,1990,4000,21728423.459533278,12821324.821756296,3314139.5118228705,0.37207845636365466
5,1990,5000,27936543.637848523,18024154.168689657,2056101.9128982842,0.20742747440418707
6,1990,6000,34144663.20868611,20036030.882361297,2878027.4817368425,0.20399053679829965
7,1990,7000,40352782.03687098,22924647.20499026,2786603.2330288775,0.15989107611971393
8,1990,8000,46560899.987569086,24365798.206178203,1895382.4182789517,0.08539642831771575
9,1995,1000,3104060.629226831,55401.77344683477,987097.1690317192,0.3237807887754537
10,1995,2000,9312181.820187127,1583622.1992596795,2398707.0673502595,0.31036922596223804
11,1995,3000,15520302.808598999,5517820.291069717,3200145.618100634,0.31993513735139256
12,1995,4000,21728423.459533278,12785559.887463633,3769898.7961222352,0.42155387541596684
13,1995,5000,27936543.637848523,18005321.0776568,2409307.763274787,0.2425993122873158
14,1995,6000,34144663.20868611,19937500.816951238,3229813.1314639812,0.22733696162598588
15,1995,7000,40352782.03687098,23908784.02382689,3158445.778846175,0.1920728630799371
16,1995,8000,46560899.987569086,26539302.328226242,2109356.757732077,0.10535406782324239
17,1995,9000,52769016.9255501,28712245.113522988,1122649.156918036,0.04666665858952741
18,2005,1000,3104060.629226831,19634.370243087473,1137227.4191195618,0.3686998240944348
19,2005,2000,9312181.820187127,1385721.5897889386,2905174.7569872085,0.3665160326984024
20,2005,3000,15520302.808598999,4634894.423564117,3834836.642806707,0.3522914811426635
21,2005,4000,21728423.459533278,13117190.684698856,4365967.518482405,0.5070084194264919
22,2005,5000,27936543.637848523,18733277.092524245,3037205.6386196967,0.3300138731897046
23,2005,6000,34144663.20868611,20974353.005137946,4043646.011281689,0.30702739334053836
24,2005,7000,40352782.03687098,24388432.452191487,3737215.4898851607,0.23409757284892174
25,2005,8000,46560899.987569086,27117966.520082977,2696141.9169826102,0.1386695028037459
26,2005,9000,52769016.9255501,30077331.304353822,1836166.1604786594,0.08091801513253376
27,2018,1000,3104060.629226831,38907.97698830996,1710775.9952873678,0.5581372901731226
28,2018,2000,9312181.820187127,1197428.7634981049,3902474.297756538,0.4809110358003702
29,2018,3000,15520302.808598999,3894780.8567703576,4888510.376865039,0.42049814168525124
30,2018,4000,21728423.459533278,11824254.035535634,5356513.714888268,0.5408342169419599
31,2018,5000,27936543.637848523,18552838.52799406,4695805.837135708,0.50042129224674
32,2018,6000,34144663.20868611,20689728.461960476,5555094.475280279,0.41286669759822914
33,2018,7000,40352782.03687098,23440899.89324541,4709534.43627284,0.27847488507055135
34,2018,8000,46560899.987569086,26067565.885010246,4315767.498356832,0.21059372168328416
35,2018,9000,52769016.9255501,30032524.618383765,4072302.327174529,0.17910864491137782
36,2018,10000,58977132.716069974,32179234.0392367,2903758.4276494044,0.10835769112597239
37,2018,11000,65185247.22380684,33916955.259228535,4086545.472933421,0.13069295494498984
38,2018,12000,71393360.3140802,34770087.06653381,3038489.28850385,0.08296607646088588
