,year,dis,ring_area,water_area,urban_area,dens
0,1985,1000,3104060.6292273705,0,1137507.0460037524,0.36645774096457917
1,1985,2000,9312181.820185497,0,2155499.119368009,0.23147090134082793
2,1985,3000,15520302.808603087,0,2266278.041031422,0.14602022067347792
3,1985,4000,21728423.459527075,562.14111328125,2173569.1986735025,0.10003603975654335
4,1985,5000,27936543.63784725,0,126297.92430731081,0.0045208858312811365
5,1990,1000,3104060.6292273705,0,1362531.5851447603,0.4389513440283243
6,1990,2000,9312181.820185497,0,2469838.9447902297,0.26522666679859036
7,1990,3000,15520302.808603087,0,2630052.4614509135,0.16945883684647212
8,1990,4000,21728423.459527075,562.14111328125,2494472.411624685,0.11480524360263128
9,1990,5000,27936543.63784725,0,158990.4776848288,0.0056911291441735555
10,1995,1000,3104060.6292273705,0,1441241.6122774004,0.4643084605715768
11,1995,2000,9312181.820185497,0,2731931.0474142623,0.2933717468329933
12,1995,3000,15520302.808603087,0,2823567.097614122,0.18192732013250318
13,1995,4000,21728423.459527075,0,2560214.8339125696,0.11782791506624536
14,1995,5000,27936543.63784725,0,161361.95315635527,0.005776017078138075
15,2005,1000,3104060.6292273705,0,1467555.472770421,0.47278569849832774
16,2005,2000,9312181.820185497,0,2856320.269525265,0.3067294351291315
17,2005,3000,15520302.808603087,0,2926808.3684847937,0.18857933408763322
18,2005,4000,21728423.459527075,0,2676659.5403957004,0.12318701103103219
19,2005,5000,27936543.63784725,0,210090.04493384264,0.0075202590433993965
20,2018,1000,3104060.6292273705,0,1596707.462387982,0.5143931298743406
21,2018,2000,9312181.820185497,0,3230005.8005103,0.34685811154468615
22,2018,3000,15520302.808603087,0,3300548.437278116,0.21266005425155643
23,2018,4000,21728423.459527075,0,3151585.8427502234,0.1450443861525708
24,2018,5000,27936543.63784725,0,246406.4122699812,0.008820218258358926
