,year,dis,ring_area,water_area,urban_area,dens
0,1985,1000,3104060.629226849,10450.255981445312,1769283.7320484836,0.5719155027891851
1,1985,2000,9312181.820185808,3135.2608642578125,4541862.578467992,0.4878977185821494
2,1985,3000,15520302.808604792,269003.54636302276,5957559.1051212065,0.3906263330541658
3,1985,4000,21728423.45952375,530581.0223316865,5806567.526065603,0.2739225722273441
4,1985,5000,27936543.637854125,821169.8334259632,5203901.266169049,0.19191700264590153
5,1985,6000,34144663.208694614,1792146.387887275,4102455.12023112,0.12680482149050762
6,1985,7000,40352782.0368602,3003150.6561279288,2631867.5645687324,0.0704656904840685
7,1990,1000,3104060.629226849,21945.59539794922,2358669.720240694,0.7652763424960578
8,1990,2000,9312181.820185808,85063.44448146445,6219806.898826214,0.6740790185594026
9,1990,3000,15520302.808604792,559163.2508236155,8049705.919695922,0.5380409619606369
10,1990,4000,21728423.45952375,840447.3204338521,8431312.715162337,0.4036443099618408
11,1990,5000,27936543.637854125,911363.0334881949,8673320.56680764,0.3209347864785948
12,1990,6000,34144663.208694614,1483307.4550544291,7799355.786308025,0.2387946123589425
13,1990,7000,40352782.0368602,3092178.9009952312,5470522.12020527,0.14681786283109444
14,1990,8000,46560899.9875734,3757579.420672248,3981707.8080489794,0.09302333920158391
15,1995,1000,3104060.629226849,0.0,2488938.725675695,0.8018331543658131
16,1995,2000,9312181.820185808,0.0,6682066.000648179,0.7175618055656532
17,1995,3000,15520302.808604792,0.0,8829748.965802835,0.5689160240422263
18,1995,4000,21728423.45952375,0.0,9551680.070679907,0.4395937923647804
19,1995,5000,27936543.637854125,0.0,10071634.427153457,0.3605182716127543
20,1995,6000,34144663.208694614,0.0,9363539.978457708,0.27423143468210787
21,1995,7000,40352782.0368602,0.0,7321302.226270731,0.18143240333672897
22,1995,8000,46560899.9875734,0.0,5421211.026251581,0.11643269412099945
23,1995,9000,52769016.92554997,0.0,5602432.721530571,0.10616898035896433
24,1995,10000,58977132.71605694,0.0,5804882.095814185,0.09842598018051435
25,2005,1000,3104060.629226849,0.0,2576359.98462345,0.8299966696414569
26,2005,2000,9312181.820185808,0.0,6996904.491400993,0.7513711208080108
27,2005,3000,15520302.808604792,0.0,9218124.120338583,0.5939397081368706
28,2005,4000,21728423.45952375,0.0,10296655.94090409,0.47387956885528115
29,2005,5000,27936543.637854125,0.0,10842761.961498296,0.3881210969422256
30,2005,6000,34144663.208694614,0.0,10050677.043754313,0.2943557235379321
31,2005,7000,40352782.0368602,0.0,8324195.923037304,0.20628555214442407
32,2005,8000,46560899.9875734,0.0,6823144.21877944,0.14654236109268642
33,2005,9000,52769016.92554997,40938.01666331572,6565860.049909283,0.12452302806736033
34,2005,10000,58977132.71605694,396998.0248360428,6964813.61282217,0.11889377942768627
35,2005,11000,65185247.22380767,315361.39420907997,7524201.4737421945,0.11598912773651097
36,2005,12000,71393360.31407222,997501.8950968427,5201004.539990471,0.07388225183697067
37,2018,1000,3104060.629226849,57998.0595703125,2698916.558560959,0.8860345107307759
38,2018,2000,9312181.820185808,173967.67840121395,7570108.8697663015,0.8284013432287483
39,2018,3000,15520302.808604792,509445.1318129596,10157158.372936046,0.6766540987621212
40,2018,4000,21728423.45952375,790023.9708048502,12281862.6082218,0.5865712235951449
41,2018,5000,27936543.637854125,1023067.4277621399,12759098.945872586,0.47407844480112876
42,2018,6000,34144663.208694614,1620037.8631328514,12555959.99501402,0.3860447233937893
43,2018,7000,40352782.0368602,2997418.0745509723,11438840.555478808,0.3062168144585703
44,2018,8000,46560899.9875734,3774822.0111462157,11064737.91825885,0.25860603358772266
45,2018,9000,52769016.92554997,4636876.813904763,9307343.47920424,0.19337065540022388
46,2018,10000,58977132.71605694,5294226.326827702,9832494.195506135,0.18315875307151577
47,2018,11000,65185247.22380767,5419914.494476916,11140698.64515404,0.18640737257514792
48,2018,12000,71393360.31407222,5628580.103485224,7788370.213119446,0.11842767797870102
49,2018,13000,77601471.85151663,5477400.588464357,5087517.982762239,0.07053841933308155
