,year,dis,ring_area,water_area,urban_area,dens
0,1985,1000,3104060.6292271717,0,826967.2634873338,0.2664146620400345
1,1985,2000,9312181.820187112,4420.600891113281,2530141.0650955494,0.2718313250075961
2,1985,3000,15520302.808601247,33053.53779847388,3242037.1974140247,0.2093358956600545
3,1985,4000,21728423.45953103,100662.08509665096,2460266.9512032303,0.11375504420496559
4,1985,5000,27936543.637844108,47787.01643952014,873548.6149062213,0.03132260884788868
5,1990,1000,3104060.6292271717,0,1180097.1803579296,0.3801785214007699
6,1990,2000,9312181.820187112,4420.600891113281,3302442.17377834,0.35480520997165454
7,1990,3000,15520302.808601247,34702.58514691522,3901175.742877794,0.2519227983794334
8,1990,4000,21728423.45953103,100671.74123942057,2823346.1601225007,0.13054274882093564
9,1990,5000,27936543.637844108,47787.00642975452,1302281.9192830399,0.04669558906818126
10,1995,1000,3104060.6292271717,0,1351129.1161649819,0.4352779399484143
11,1995,2000,9312181.820187112,0,3774101.8745064554,0.405286531919393
12,1995,3000,15520302.808601247,0,4352816.832300284,0.28045953007360025
13,1995,4000,21728423.45953103,0,3551370.1956667434,0.16344352834807066
14,1995,5000,27936543.637844108,0,2049380.843241852,0.07335842507251569
15,2005,1000,3104060.6292271717,0,1479776.0985705804,0.47672267887982755
16,2005,2000,9312181.820187112,0,4133407.7840444543,0.4438710351513949
17,2005,3000,15520302.808601247,25422.486236931294,5115400.420406095,0.33013487771330857
18,2005,4000,21728423.45953103,90199.15010244332,4698946.230169554,0.21715951193472224
19,2005,5000,27936543.637844108,38813.359501618026,2958736.431945801,0.10605652870057035
20,2005,6000,34144663.20869558,42212.713129978554,1501529.6945518348,0.04402996478939485
21,2018,1000,3104060.6292271717,0,1776371.9287659884,0.5722735928673718
22,2018,2000,9312181.820187112,1657.728271484375,4828610.4180173455,0.5186185407339261
23,2018,3000,15520302.808601247,34702.68469525506,7570381.080330645,0.4888658508393111
24,2018,4000,21728423.45953103,116771.48090221928,8670538.810862582,0.4011974105189482
25,2018,5000,27936543.637844108,47717.71177428002,4738417.866948866,0.16990381307229943
26,2018,6000,34144663.20869558,65402.05175302543,2639608.83700286,0.07745499014332721
