,year,dis,ring_area,water_area,urban_area,dens
0,1985,1000,3104060.629227429,0,1993235.6987098842,0.642138133495795
1,1985,2000,9312181.82018772,0,5301848.14316837,0.5693454279076235
2,1985,3000,15520302.80860119,0,7730830.175672346,0.49811078243834267
3,1985,4000,21728423.459525354,35733.20788574219,7847259.94675412,0.36174673845080124
4,1985,5000,27936543.637848873,103197.82260359221,8936339.687360935,0.321065952569245
5,1985,6000,34144663.20869883,113471.03200204887,4696928.461399211,0.13801833438604838
6,1985,7000,40352782.03686243,63853.003784419045,3156109.851667337,0.07833690116399242
7,1990,1000,3104060.629227429,549.913330078125,2374304.090695131,0.7650381480988775
8,1990,2000,9312181.82018772,0,6256692.243941237,0.6718825260023876
9,1990,3000,15520302.80860119,0,8716545.651193649,0.561622138349197
10,1990,4000,21728423.459525354,32984.70275878906,8456541.689346127,0.3897843129219328
11,1990,5000,27936543.637848873,104847.62906111174,9854764.75263001,0.3540842336564183
12,1990,6000,34144663.20869883,115117.63069589653,5330919.523294846,0.15665561889668045
13,1990,7000,40352782.03686243,39692.923887963385,3946058.755376839,0.0978852983535521
14,1995,1000,3104060.629227429,0,2589851.365993605,0.8343430349291193
15,1995,2000,9312181.82018772,0,6864276.034429805,0.737128652229369
16,1995,3000,15520302.80860119,0,9548032.948413564,0.6151963055206722
17,1995,4000,21728423.459525354,0,9618728.773231175,0.4426795524833393
18,1995,5000,27936543.637848873,0,11577151.343684176,0.4144088650966567
19,1995,6000,34144663.20869883,0,6595393.827422252,0.1931603128462542
20,1995,7000,40352782.03686243,0,4629484.558369715,0.11472528843589176
21,1995,8000,46560899.987576805,0,2296918.8620368512,0.0493314962264412
22,2005,1000,3104060.629227429,0,2744195.8478221223,0.8840664457334154
23,2005,2000,9312181.82018772,0,7474456.66053562,0.8026536428156796
24,2005,3000,15520302.80860119,0,10679763.001260912,0.6881156336294095
25,2005,4000,21728423.459525354,12648.192016601562,10823650.18833343,0.49842338369230715
26,2005,5000,27936543.637848873,52929.070079848345,12984831.999867395,0.4656796545623143
27,2005,6000,34144663.20869883,71351.1826341816,7432844.2251632335,0.21814269829353308
28,2005,7000,40352782.03686243,12110.148193359375,5556788.950966751,0.13774656421941123
29,2005,8000,46560899.987576805,0,2617932.8766594385,0.056225993856603824
30,2018,1000,3104060.629227429,0,2998019.6033614813,0.965837965641689
31,2018,2000,9312181.82018772,0,8807118.131277043,0.9457631198935831
32,2018,3000,15520302.80860119,0,13450304.177289423,0.8666264017629479
33,2018,4000,21728423.459525354,36283.10107421875,13856149.242790187,0.638763580440872
34,2018,5000,27936543.637848873,87397.64821250764,16125769.823067699,0.5790400118218583
35,2018,6000,34144663.20869883,91765.58702272903,9501079.913647931,0.27900944052408905
36,2018,7000,40352782.03686243,40508.79180142272,7290140.594732552,0.1808417141453497
37,2018,8000,46560899.987576805,20002.013710410924,3593267.275770959,0.07720665978100912
