,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292264326,1892574,2367693,2612065,2651336,2667272,2671047,2714817,2715565,0,0,0,0,0,0,0,0,0.609709095943674,0.7627727943542315,0.8414993494025136,0.8541508419765446,0.8592847623162292,0.860500911242077,0.8746017956087937,0.8748427702833723
1,2000,9312181.82018831,6981123,7504502,8377657,8432248,8603592,8649171,8713109,8749078,0,0,0,0,0,0,0,0,0.7496764061098228,0.8058800982311839,0.8996449126280684,0.9055072337311262,0.9239072181073478,0.9288017746012069,0.9356678346969609,0.9395304096224226
2,3000,15520302.808604745,9538582,10428516,11894429,12183009,12333188,12387133,12473989,12487953,0,1495,1495,748,748,748,2243,0,0.614587364539797,0.6719920839677955,0.7664524972984633,0.7850102113267571,0.794686970863489,0.7981629081996612,0.8038368941639977,0.8046204480673177
3,4000,21728423.45952555,13016593,14296701,16024810,16607382,16915047,17060369,17345619,17382231,748,748,2991,2990,747,747,748,2991,0.5990789499892609,0.6579949625366958,0.7376060306212177,0.7644212038825152,0.7785023415416487,0.7851906775112452,0.7983191313912769,0.8000867661614134
4,5000,27936543.637846656,16015857,18054941,20685707,21357050,22189973,22358321,22675198,22742007,2991,8226,5984,3740,3740,5235,8227,12714,0.5733555343870014,0.6464743503036183,0.7406119772827722,0.7645866944434805,0.7944055057163831,0.8004752405229123,0.811907079615104,0.8144300869525627
5,6000,34144663.20869246,21139202,23376180,25956249,26929811,27958051,28529853,29066224,29192341,0,0,2242,0,0,0,748,1495,0.6191070584236554,0.6846217769706673,0.7602345727429457,0.7886975143203134,0.8188117372580355,0.8355581903275866,0.8512856191899233,0.854998013704187
6,7000,40352782.03685962,23715318,26344354,30545395,31493163,32938948,33360167,33992167,34083115,94318,102545,107031,102391,99398,103139,109867,109808,0.5890765722777417,0.654514257291823,0.7589719215830905,0.7824312308210841,0.818290158408499,0.828831375459643,0.8446745711354563,0.8469333048989461
7,8000,46560899.98757306,29761253,32921858,37355417,38268640,39117469,39465771,40006486,40107318,89463,93296,97782,93445,94192,94193,100176,100984,0.6404203297599441,0.7084905434074967,0.8039799870940864,0.823557907577127,0.8418386129368467,0.8493343634304585,0.8610818464796333,0.8632671227973759
8,9000,52769016.92555711,34303958,38110206,42173438,42897372,43872590,44113511,44889971,44968177,123702,147134,176148,130519,128276,168206,131264,136062,0.6516051437531977,0.7242273343565752,0.8018851008051043,0.8149429351245302,0.8334341277992885,0.8386469756603431,0.8528094096928036,0.8543730266256568
9,10000,58977132.71606597,36968221,40579297,45662024,46885811,47845881,48105391,48713170,48849739,51915,57274,56187,47702,45880,70975,73412,78332,0.6273752127337597,0.6887202020553223,0.7749709962233233,0.7956264031448973,0.8118931601628103,0.8166445218150735,0.8269964852443268,0.8293842727883445
