,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226581,957991,957991,957991,999113,999113,999113,1000901,1000901,1261066,1258664,1281627,1257490,1254920,1251344,1244192,1244192,0.5198012977400939,0.5191247154285206,0.5256657826307561,0.5410640590652463,0.5403120694059312,0.539269192190001,0.5381568269239643,0.5381568269239643
1,2000,9312181.820186887,2950383,2950383,2950383,3109865,3109865,3109865,3114335,3114335,4449148,4511320,4530094,4524729,4537634,4555514,4566242,4574288,0.6066959657472867,0.614552784584237,0.6169654575445871,0.6495865581978938,0.651342308658304,0.6537906613537321,0.6562103857181575,0.6573247772524279
2,3000,15520302.80859964,3397452,3397452,3397452,3787705,3787705,3787705,3799327,3799327,7403227,7476488,7535055,7556332,7552311,7553776,7562772,7567241,0.41855615003626895,0.4223682519850886,0.4254660696116588,0.4756050833222502,0.475365072026308,0.4754524890208466,0.4774504920413375,0.4777187819528563
3,4000,21728423.459530585,1914663,1914663,1914663,2448987,2448987,2448987,2458564,2458564,10304719,10369954,10436838,10441655,10454115,10506063,10563484,10578682,0.16760438846985684,0.16856698931328798,0.1695654703993709,0.21697858060799213,0.21721837829705484,0.21822387623632236,0.220203970555463,0.22050412638926858
4,5000,27936543.637846515,1006349,1006349,1006349,1777786,1777786,1777786,1872050,1872050,13451356,13527990,13454613,13490204,13466066,13485959,13480332,13463963,0.06947435029220042,0.06984385978594364,0.06948997513978189,0.12306134595801396,0.12285606905955378,0.12302519548890259,0.1294979657809487,0.12935149900664547
5,6000,34144663.20869705,1050206,1050206,1050206,1707972,1707972,1707972,1784096,1784096,16495187,16490071,16483270,16401192,16400372,16412954,16414016,16412506,0.059503522233849346,0.05948627912700497,0.05946337231667794,0.09625918062542514,0.0962547322917507,0.09632303236522025,0.10062215885299912,0.10061359027005233
6,7000,40352782.0368586,506491,506491,506491,1385502,1385502,1385502,1420231,1420231,19281880,19368736,19293544,19241988,19271416,19300878,19298028,19292945,0.024037461666995212,0.024136956195690073,0.024050775204379284,0.06563002782277962,0.06572164240104707,0.06581361940346117,0.06745417198955321,0.06743789125786365
7,8000,46560899.98757908,221653,221653,221653,819663,819663,819663,893200,893200,22263254,22296572,22277448,22248106,22205289,22239846,22283844,22299461,0.009122406348059754,0.009134932569056283,0.00912773851565152,0.033713237582597436,0.03365396993809818,0.03370178777690339,0.03679194052429544,0.03681562336254185
8,9000,52769016.925543964,42034,42034,42034,263442,263442,263442,296817,296817,25229074,25062137,25240918,25090628,25055097,25074634,25106551,25073394,0.0015262921972511586,0.0015170961188324692,0.001526948886433842,0.009517967274347871,0.009505764637689708,0.009512470478517642,0.01072995447328918,0.01071710864918812
9,10000,58977132.716062844,115449,115449,115449,291120,291120,291120,295814,295814,29172636,28476350,28770758,28716092,28417502,28630969,28945784,28622520,0.0038735430126481513,0.003785115977997518,0.003822007807464816,0.009620290416696434,0.009526293125230097,0.009593304864624593,0.009850173656762148,0.009745273404310745
10,11000,65185247.22380769,53621,53621,53621,115431,115431,115431,150966,150966,32316645,32042226,32006835,32005934,31732013,31865581,31915303,31744820,0.001631374514647317,0.001617866990396226,0.0016161412317833403,0.0034790051024073915,0.003450518393161852,0.0034643504297027384,0.004537609049911481,0.004514475816640307
