,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292274487,1015875,2196444,2196444,2212797,2212797,2212797,2241416,2241416,0,0,0,0,0,0,0,0,0.3272729245152776,0.7076034466977084,0.7076034466977084,0.7128717071968823,0.7128717071968823,0.7128717071968823,0.7220915657687565,0.7220915657687565
1,2000,9312181.820187693,1006759,2976647,2976647,3210933,3210933,3210933,3387427,3387427,0,0,0,0,2791,698,2791,2791,0.108112042853101,0.3196508678070467,0.3196508678070467,0.3448099556045053,0.34491333128232143,0.3448358029725145,0.36387203689571856,0.36387203689571856
2,3000,15520302.808601717,672168,1634723,1634723,1867030,1867030,1867030,2157809,2157809,0,0,0,0,0,0,0,0,0.04330894881944369,0.1053280351652674,0.1053280351652674,0.12029597766386672,0.12029597766386672,0.12029597766386672,0.13903137242941493,0.13903137242941493
3,4000,21728423.459525485,402882,968893,968893,1005194,1005194,1005194,1258742,1258742,2094,2094,11465,4065,0,1274,9646,6159,0.018543491239536747,0.04459533773548701,0.044614580895651366,0.04627036521574483,0.04626170885671573,0.04626442147289179,0.057956392911422246,0.0579470893720763
4,5000,27936543.6378529,144027,337367,337367,342947,342947,342947,356334,356334,16294,11867,27325,5175,1482,1023,6166,8264,0.005158514048697304,0.012081321634453126,0.012088013081900962,0.012278202491489603,0.012276579319778406,0.012276377607056426,0.01275793706122595,0.012758895450081315
5,6000,34144663.20869446,50556,165215,165215,215769,215769,215769,325765,325765,10953,4708,21942,8198,2006,7468,14391,17530,0.001481116459092762,0.004839344369084717,0.004841788525292152,0.006320777464242087,0.006319631148833203,0.00632064229884491,0.009544752471004716,0.009545630393501847
6,7000,40352782.03685282,175677,834202,834202,871520,871520,871520,899620,899620,356620,67128,366394,27893,135290,118852,146051,107049,0.0043923464415943116,0.02070717281235852,0.020862149370209956,0.02161245872750003,0.021670172749742648,0.021661319170205827,0.022374860546992077,0.022353177147406467
7,8000,46560899.98757529,364449,985508,985508,991281,991281,991281,1015695,1015695,245493,30562,257003,27212,87862,75020,148751,64249,0.00786885020999099,0.021179902030007906,0.021283478586358314,0.021302437929799946,0.02133023884225133,0.021324346237286435,0.02188424845985704,0.02184447650372521
8,9000,52769016.92554763,276418,897144,897144,974988,974988,974988,1053811,1053811,340878,84111,337353,7671,75037,174380,189342,105582,0.005272321422519629,0.0170284825271931,0.01711072914401371,0.018479210166014736,0.018502834695302575,0.018537783640947686,0.020042174119413773,0.0200102974955928
9,10000,58977132.716080785,14641,43691,43691,48635,48635,48635,77896,77896,349672,62279,380858,60214,168125,133517,180817,148829,0.00024972938996800447,0.000741595662963932,0.000745627605367372,0.000825484445891865,0.0008269991603123276,0.00082651277301964,0.0013248449167486773,0.0013241245298512157
10,11000,65185247.223790705,1394,19358,19358,20752,20752,20752,24940,24940,772359,531783,807313,470407,498183,493838,566206,619621,2.1641631642984304e-05,0.00029941164379057025,0.00030069309047270267,0.00032066833400557594,0.00032080602588806,0.00032078447894389524,0.00038595434917746617,0.0003862736483582696
11,12000,71393360.31408328,0,14083,14083,14083,14083,14083,20366,20366,563102,362415,592684,291659,365752,360505,428196,372780,0.0,0.00019826569867158685,0.00019891052929389444,0.00019806839695424487,0.0001982750135373436,0.00019826036751204403,0.0002869858781678083,0.0002867619485779033
12,13000,77601471.85151285,0,9832,9832,9831,9831,9831,14022,14022,388198,130139,395322,118267,187907,208930,208884,145072,0.0,0.00012691146051204154,0.00012734736829785514,0.00012687910907712086,0.00012699324748649497,0.00012702774407981053,0.00018118014126757104,0.0001810308770725306
13,14000,83809581.70151293,0,459,459,460,460,460,2489,2489,331692,207271,391849,105157,150958,141984,190295,126122,0.0,5.4902788708649125e-06,5.502427183467134e-06,5.495527884461831e-06,5.4985365482612055e-06,5.497946787489537e-06,2.9765860224145707e-05,2.9743034153677573e-05
14,15000,90017689.72857857,27322,239118,239118,278602,278602,278602,350931,350931,313861,138568,429547,32343,40720,70693,112424,105959,0.0003045800874639316,0.0026604398819349883,0.00266908089304235,0.0030960818636432325,0.0030963701138238065,0.0030974019159383526,0.0039033420028972573,0.0039030613375619972
15,16000,96225795.79823709,61057,584820,584820,613738,613738,613738,676891,676891,462371,256929,626023,100350,113906,173880,247240,215537,0.0006375816250164437,0.006093851261467046,0.006117378555221676,0.006384761026629806,0.0063856615585063375,0.006389648711319763,0.0070525232888785875,0.007050194515384734
16,17000,102433899.77489674,82461,829727,829727,870187,870187,870187,961654,961654,722223,635865,875447,160900,340802,378830,459369,377005,0.000810732873694518,0.008150717269098101,0.008169945261366687,0.0085084724405785,0.008523465532593201,0.008526641566356035,0.009430335130669041,0.00942272447266876
17,18000,108642001.52417922,5918,105529,105529,155964,155964,155964,246276,246276,1375166,1294143,1321660,539515,649336,724070,749762,609913,5.5170826761884033e-05,0.0009830564060691574,0.000983308462321883,0.001442742022082125,0.001444209189975778,0.0014452093159796708,0.0022826108818031184,0.0022796560111385767
18,19000,114850100.91040921,0,0,0,699,699,699,6977,6977,491175,448574,507861,279002,251722,300226,333246,310736,0.0,0.0,0.0,6.101015060932555e-06,6.099562721968909e-06,6.102145467611344e-06,6.092552930709079e-05,6.0913555836958706e-05
19,20000,121058197.7992413,0,2091,2091,2091,2091,2091,4876,4876,231420,195068,297489,100242,150038,148851,195386,184916,0.0,1.7300561415820012e-05,1.7315234572498113e-05,1.7286998496159402e-05,1.729411814282795e-05,1.7293948361758256e-05,4.0343261317627296e-05,4.0339766798907296e-05
20,21000,127266292.05489564,0,2094,2094,2790,2790,2790,3486,3486,341568,453172,656683,178856,415642,402404,442874,391147,0.0,1.651248702889367e-05,1.6539029032876006e-05,2.1953389623777243e-05,2.199436895902863e-05,2.19920738894013e-05,2.748703712189086e-05,2.747583065612809e-05
21,22000,133474383.54327512,15358,364557,364557,380963,380963,380963,412356,412356,157055,96105,240186,31941,45301,40251,75521,68514,0.00011519882799792794,0.0027332561492141166,0.0027362119239813794,0.002854886292091472,0.0028551721464204934,0.0028550640884666204,0.0030911507949794555,0.0030909884356043055
22,23000,139682472.12840247,274715,1168689,1168689,1263239,1263239,1263239,1369768,1369768,131449,46028,147096,38090,24390,32864,52797,68629,0.0019685631379945646,0.008369512753599869,0.008375574943264248,0.009046113998617263,0.009045226604490891,0.009045775472842717,0.009810006352448868,0.009811118792426823
23,24000,145890557.6761887,35246,496941,496941,552858,552858,552858,622995,622995,106972,67515,174827,33070,15345,29628,47119,36205,0.00024176933113915608,0.003407835900828758,0.003410345593395873,0.0037903984828490524,0.003789937919249,0.003790309037706978,0.004271669714146105,0.004271350073337279
24,25000,152098640.05076885,0,6969,6969,7668,7668,7668,7668,7668,138966,83781,192629,31587,35600,80413,122753,87132,0.0,4.584420262280112e-05,4.587705221007268e-05,5.0425123957915946e-05,5.042645469563088e-05,5.0441319759894006e-05,5.045537255155772e-05,5.0443549296537724e-05
