,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292275023,1916323,2646485,2845933,2969382,3000630,3014109,3033323,3062825,0,0,0,0,0,0,0,0,0.6173600418613309,0.8525880503367044,0.9168419499293924,0.956612113835863,0.9666789275139762,0.9710213040362268,0.9772112604497978,0.9867155851147906
1,2000,9312181.820188712,5151500,6662102,7547683,7861463,8053877,8132633,8378798,8542339,0,0,0,0,0,0,0,0,0.5532001092194745,0.7154179470117983,0.8105171425708959,0.8442127904930325,0.8648754025119312,0.8733327116066975,0.8997674403043607,0.917329490010633
2,3000,15520302.808600845,5267206,7189780,8751030,9084409,9403371,9607333,10279182,10610059,1926,1926,1926,1284,0,642,642,642,0.3394173285623999,0.4633074765922145,0.5639140038892382,0.5853726393427207,0.6058754855471608,0.6190427173946811,0.6623329031974319,0.6836527634753466
3,4000,21728423.459524278,4914583,6656268,8492149,8791823,9207802,9593721,10258834,10570178,53190,63457,63457,14107,22960,22459,38361,39644,0.22673725794821792,0.3072364784148463,0.3919760972566247,0.40488601224855747,0.42421586699452163,0.44198547444826425,0.4729739261536919,0.487356977359013
4,5000,27936543.637851775,5491471,7556652,9507166,10019504,10753095,11100348,12164547,12643251,117967,178429,178429,102104,94598,101510,134371,135020,0.1974030185472518,0.27223217781857306,0.34250042281458665,0.35996787182934975,0.386219236969593,0.39879053657420666,0.4375394383185131,0.45476827690070243
5,6000,34144663.208687276,4236576,6048757,8187594,9252695,10465029,10862862,12351916,12836245,66883,195787,195787,97348,110403,114175,135994,140690,0.12432077365532133,0.17817252514686086,0.24117422767310492,0.2717599006937013,0.30748513221182905,0.31920970199971854,0.363199039756745,0.37749250422067204
6,7000,40352782.036869615,4396522,6741805,8927289,10005660,11015608,11839702,13264220,13809181,47277,66284,66284,28032,17441,17884,31005,35653,0.10907993823618548,0.16734651380792637,0.2215950612493018,0.24812701853952354,0.2731006535913725,0.29353494309512024,0.32895921198788936,0.3425139966531754
7,8000,46560899.98757592,2541138,4565663,6214637,6701154,7506199,8271393,10089273,10662336,94702,101910,101910,69602,65566,58099,60377,63636,0.054687883021534205,0.09827297152221671,0.13376608061565523,0.144137812667454,0.161439833984325,0.17786870520358236,0.21697117261876103,0.22931104081412143
8,9000,52769016.9255521,1961139,3524166,4612780,5244715,6070859,6647172,7989392,8507492,99798,242030,242030,55505,47106,82312,184001,199852,0.037235012024235035,0.06709248343132444,0.08781733485946598,0.09949469895701829,0.11514869042915721,0.12616412450527423,0.15193286261073083,0.1618342618158044
9,10000,58977132.71605927,1939599,3296112,4037248,4483056,5073131,5411754,6547582,7001242,118948,178473,178473,82621,97359,112152,124965,129332,0.03295376861105923,0.0560576043045375,0.06866224535552355,0.07612009794076563,0.08616084403558637,0.09193503393985808,0.11125472950443813,0.11897202469436376
10,11000,65185247.22380519,1821019,3192625,4045448,4706160,5377075,5909939,7183166,7661174,122543,149601,149601,98235,97945,92913,101115,116458,0.02798867679609487,0.04909038635540449,0.06220354889806927,0.07230566958301321,0.08261327196371915,0.09079316436371783,0.11036739301215855,0.11773961205347258
11,12000,71393360.31407368,956539,2042555,2688181,3279260,3836992,4234057,5099890,5456819,36278,144442,144442,16097,16035,71471,119181,119841,0.013404962324410269,0.02866787381944769,0.037729428931821525,0.0459426412241476,0.05375645533250948,0.05936546326408812,0.07155312132781,0.07656166066325415
12,13000,77601471.85151136,1441583,2883733,3450905,3967472,4548869,5089116,6153931,6570505,139076,243904,243904,81037,131376,148331,155762,161028,0.018610100864468335,0.037277968789496525,0.04460979185157485,0.0511796922656536,0.058717740697248104,0.06570574083956848,0.079461225312533,0.08484591091185704
13,14000,83809581.70150274,1415115,2991102,3739326,4343456,5155590,5971585,7081380,7586722,123242,346665,346665,76796,159854,243779,154960,148122,0.016909749010979733,0.035837496677684946,0.04480224449108755,0.05187282333450478,0.061633075703453624,0.07145967377744837,0.08465019452562766,0.09068359585248459
14,15000,90017689.7285924,824565,1728045,2352679,2747152,3251146,3705944,4700675,5087194,41215,55507,55507,29929,25428,28530,36911,42382,0.009164228788549911,0.01920857128615201,0.026151866580403183,0.030528062680496612,0.03612695066832668,0.041182115836809,0.052240879290215654,0.056539889981208576
15,16000,96225795.79822671,1044721,2381692,3078220,3790348,4381025,4794838,5967615,6552788,103411,287019,287019,80510,165352,214817,260268,248722,0.010868654603118765,0.024825123682877953,0.032085253770474345,0.03942312895043584,0.04560696189580663,0.04994051784511709,0.062184985972747096,0.06827451328403669
16,17000,102433899.77492416,1501397,3071061,3772188,4398858,4862365,5472128,6775102,7191238,326761,448597,448597,202376,237890,218648,217994,184075,0.01470413350147383,0.030112780140268438,0.036987564848682236,0.04302839121995923,0.04757881458100802,0.05353533748612693,0.06628226740873908,0.07033007651435688
