,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292270645,39407,2571124,2627118,2631004,2640109,2643217,2648657,2667534,11010,9456,6543,6192,4662,8679,4016,4016,0.01274049626851649,0.8308408692073166,0.8481365772421947,0.8492948910672335,0.8518133082669642,0.8539228168321291,0.8543931835782606,0.8604824507526839
1,2000,9312181.820187248,419654,6705546,7131204,7372409,7558479,7597244,7680000,7898720,37947,37946,32311,10127,15542,8417,2200,646,0.04524944732761545,0.723029490516515,0.7684594040346897,0.7925570363228192,0.8130334342508454,0.8165773906403513,0.8249210522997064,0.8482725248047387
2,3000,15520302.808602445,541684,5284432,6110095,6976787,8101234,8687520,9911061,10716237,35779,30341,35003,6994,4663,9325,7771,2365,0.034982283387950674,0.3411520354469343,0.39457389107866675,0.4497291381275947,0.5221334150531373,0.5600884810228965,0.6389067318143283,0.6905709464861627
3,4000,21728423.45952259,251388,2716667,3014140,3517678,4478606,5083180,6426126,7890207,36585,26481,24150,18176,14025,15906,20422,21942,0.011589059197038329,0.125180822180641,0.1388731120450184,0.16202846174639385,0.20625052120824286,0.23411288025335078,0.2960256849062017,0.36349543866486855
4,5000,27936543.63785278,169553,1691673,1828243,2011811,2345392,2602755,3340587,4366374,222268,130596,190689,120900,93730,78887,84969,131579,0.0061178939769373115,0.06083853073567227,0.06589247380780935,0.0723266024756744,0.0842368889332147,0.09343050759206341,0.11994248237081158,0.15703576885890944
5,6000,34144663.2086927,4277,1556560,1668703,1699016,1861076,2075312,2391761,3148316,129474,85334,84897,28905,29769,22531,50006,69433,0.0001257379452973026,0.0457014285414268,0.04899337798666731,0.04980150198060351,0.05455318104213219,0.06082011485411539,0.07015060997270275,0.09239309553356603
6,7000,40352782.0368619,0,1065816,1164646,1187957,1256536,1374804,1601816,2153917,108452,80211,74265,47223,30292,46604,70690,87331,0.0,0.02646505978037627,0.028914818262403875,0.029473775538345487,0.031162162824054356,0.034109014224635165,0.03976496549717894,0.05349293114904261
7,8000,46560899.98756999,0,1008815,1116214,1126320,1172327,1348028,1541990,2033262,154583,111965,112136,73930,63057,85266,90639,106215,0.0,0.02171879721827777,0.02403108079041041,0.02422872474375429,0.02521250287488372,0.029005048115331424,0.03318229696218957,0.04376871784932016
8,9000,52769016.92554921,0,1648391,1716221,1742734,1810867,1861556,2020301,2550877,144494,124288,107705,60023,34858,61115,82162,96549,0.0,0.0313116058082695,0.03258978816225345,0.03306331368156239,0.03433954455510718,0.035318347572048665,0.03834544694032029,0.04842903893558928
9,10000,58977132.71607274,0,1639651,1749059,1788503,1837097,1889396,2052291,2841844,170696,108698,116026,63367,50178,81320,101165,117545,0.0,0.027852804442791295,0.029715020623667585,0.030357981335286874,0.031175834706742768,0.032080311194761416,0.034857872908299364,0.048281751712371916
