,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226961,0,0,0,0,0,0,0,0,16096,11143,14445,6513,8255,5778,4127,9906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000,9312181.820185632,0,23808,23808,25459,25459,25459,30425,33726,114504,100471,106715,49050,48029,48754,32516,53188,0.0,0.002584536191456369,0.002586289263222819,0.0027484225091692375,0.002748119606201602,0.002748334687136346,0.0032786741020153862,0.0036425124214332647
2,3000,15520302.808602864,0,14162,14162,14162,14162,14162,17269,17270,199931,126391,189070,41018,61101,49144,46397,71313,0.0,0.0009199740895024219,0.0009237352388291457,0.0009149001504339037,0.000916088694315318,0.0009153806883635054,0.0011160078272157464,0.001117872444344749
3,4000,21728423.459524464,0,9906,9906,12599,12599,12599,16082,16134,232681,117829,202626,37046,81999,65164,53995,72509,0.0,0.00045838627986626794,0.0004601920100115463,0.0005808298723079897,0.0005820360782242916,0.000581583765062682,0.0007419803493334116,0.0007450158722299591
4,5000,27936543.637847736,18164,28843,28843,30277,30277,30277,33579,43430,528883,299220,514851,95469,70550,58169,46224,82429,0.0006627344172131569,0.0010436249319200053,0.0010518314963603144,0.0010874939417331547,0.0010865214567076346,0.0010860389241952393,0.0012039661228705535,0.001559195133812941
5,6000,34144663.208697796,6606,21708,21708,25835,25835,25835,27486,27486,313770,131948,290750,62431,119574,46396,66933,89541,0.00019526531443460742,0.000638231904357015,0.0006412257237790386,0.0007580195992387758,0.0007592926455398044,0.0007576631340788485,0.0008065678034209167,0.000807103255467983
6,7000,40352782.03686419,1652,15594,15594,15595,15595,15595,17245,18072,1414686,806610,1378173,239364,215889,109666,137861,155272,4.242631685010968e-05,0.00039432388008284517,0.0004001066434111088,0.00038877265421929913,0.00038854527144581403,0.0003875196936965418,0.00042882093400585975,0.0004495800855183964
7,8000,46560899.987570286,5818,22225,22225,28004,28004,28004,32131,34862,835717,561365,795074,143675,179201,135379,176804,218592,0.00012723841917880433,0.00048315705813125074,0.000485624360981405,0.0006033105168932218,0.000603772621772754,0.0006032027084305126,0.000692715882801947,0.0007522715530126492
8,9000,52769016.92555675,33237,92471,92471,103204,103204,103204,117241,126066,3163262,1540953,2991038,379686,598176,482583,404881,415072,0.0006700230658696495,0.0018050848092634611,0.0018576688326034873,0.0019699430814768175,0.0019781931471502083,0.0019738198276619432,0.0022389560703660835,0.0024079560800863444
9,10000,58977132.71606949,102340,453878,453878,500473,502124,502124,566031,580065,2641622,1766185,2551141,784520,1008927,558066,694214,577402,0.0018166161751118715,0.00793341166541302,0.008043775327580828,0.008600284067702597,0.008662058688851311,0.008595207493478826,0.009711781984657825,0.00993266566279538
10,11000,65185247.22379792,740026,1356468,1363073,1401109,1405288,1408590,1694293,1809956,4699143,3718548,4313157,2076586,2012075,1519383,1753604,1649720,0.012234644791503053,0.022068339721011396,0.022392413255214738,0.022201532607883143,0.022245012408457384,0.022124729117766025,0.026710533006724078,0.02848730590720685
11,12000,71393360.31407785,1990351,2955207,3056260,3200527,3265054,3311271,4366599,4628027,3953947,3092534,3711765,1660093,1603207,726931,826274,795771,0.029513171930048772,0.04326751460385899,0.04515644150846861,0.04589670215199959,0.046783877738543145,0.04685776587469863,0.061878692008980975,0.06555502879015623
12,13000,77601471.85151953,2389914,4056185,4282276,4504963,4574789,4626466,5483137,5853707,6229853,5018724,5632750,4456621,3874621,3318843,3672689,3492033,0.033485495193431754,0.055883596585480935,0.0595019042971872,0.0615896122222582,0.062050514122911474,0.062281936861007595,0.07416782460780497,0.0789873340119074
13,14000,83809581.70149761,4701975,6578357,6870693,7295390,7373515,7465829,9354088,10090332,3873682,3129886,3372425,2730843,2613891,2349641,2358202,2534102,0.05882181870171541,0.08153671060360593,0.08541690534260367,0.08997907610352658,0.0908116543660857,0.09165031223577534,0.11484259731732954,0.12414976862713087
14,15000,90017689.72859013,6149243,8759777,9041113,9337890,9398558,9457244,11127862,11954159,5126879,4285469,4589357,4076009,3883376,3277529,3522421,3657354,0.07243708650233227,0.10217601883580714,0.1058327221335812,0.10865379779445683,0.10911514346785099,0.10902958814650697,0.12865284036422445,0.1384218680850091
15,16000,96225795.79821992,6497044,9738818,9963497,10336389,10410089,10493354,12410844,13214038,4711416,3593630,4042630,3573445,3036291,2979630,3429975,3444904,0.07099478807948362,0.1051343009858369,0.10808369308783707,0.11156100099943268,0.11170881337486033,0.11253389252172682,0.13374356617833888,0.1424219765933908
16,17000,102433899.77492678,6879421,9863132,9970586,10257871,10296519,10356482,12218061,12953504,3712146,2865059,3415886,2834163,1925441,1768509,1824418,1848561,0.06968495531070303,0.0990584195139461,0.10069466776685375,0.10299094487750006,0.10244430295222683,0.10288026421270834,0.12144045257417183,0.12878123350546353
17,18000,108642001.5241667,4896238,7259503,7328921,7630629,7687790,7761756,9309164,9806244,6280324,4914513,5796611,4158386,3304453,3054944,3379175,3102087,0.04783272527791507,0.06998629874576268,0.07126154086874553,0.07303182381006965,0.07298242751715696,0.0735104868153324,0.08843733640254056,0.092915026928078
18,19000,114850100.9103961,3808096,6298539,6496294,6847774,7002577,7207141,9127706,9858578,11076728,8031363,10171599,7491405,4388406,3482572,4652313,3240548,0.036696272783656454,0.05896473898880429,0.062059485772549286,0.06378406464358789,0.06339371313902366,0.0647149224779757,0.08283021077902135,0.08833095145461964
