,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292256117,1953754,2697419,2780539,2849382,2943463,2969581,3013408,3041307,0,0,0,0,0,0,0,0,0.6294187625089702,0.8689968793144808,0.8957747067890479,0.9179530751339906,0.9482620836353712,0.9566762234089605,0.9707954708190647,0.9797833751587297
1,2000,9312181.820186961,3113976,4403021,4612784,4869411,5119857,5266086,5564290,5713407,1732224,1737134,1724870,1748779,1752458,1755523,1766633,1776441,0.4108170617660763,0.5812532282986074,0.6079602511823924,0.643812198790125,0.6772545031775221,0.6968802119174821,0.7374268105076192,0.7581745625718389
2,3000,15520302.80860059,3623497,4741402,5010917,5368394,5885994,6132336,6749507,7002106,4645186,4679410,4536765,4652550,4672856,4663048,4651374,4635296,0.33319154761945696,0.4373626862391281,0.4562206720020787,0.49397461412183824,0.5426156130429869,0.5648145970694417,0.6209910027802474,0.6432798916090171
3,4000,21728423.45953102,5366345,6820636,7110133,7629829,8152384,8455516,9305543,9560464,7308365,7284137,7197304,7205009,7226995,7221898,7240151,7232510,0.3721444691129587,0.4722030416046909,0.48930387089595045,0.5253467785595631,0.562177996653969,0.5828767214856808,0.6422810604916811,0.6595282199145597
4,5000,27936543.637848794,5190032,7705845,8285972,8912117,9454457,9969149,10891892,11468998,9642663,9611996,9576626,9569130,9397966,9560005,9633040,9473211,0.28370317390516786,0.42052033983550086,0.4513076890344294,0.4852134968875125,0.5099882625675424,0.5424932951990906,0.5950714254224674,0.6211770228571412
5,6000,34144663.20869245,4055301,6587366,6909974,7523359,8332910,9392653,10313080,10982456,12161052,12179420,12166876,12173517,12173284,12171772,12180549,12190321,0.18446928311743935,0.29989952478163956,0.31440717549886155,0.3424199597298903,0.3792620354348663,0.42746550332367184,0.4695422679926937,0.5002407221133541
6,7000,40352782.03687215,4748332,7524077,7878532,8610558,9520290,10598595,11775563,12649484,14211294,14217928,14211000,14224525,14229782,14228839,14227421,14233215,0.1816396982950073,0.28789435706756644,0.3013770059320203,0.32954965146924253,0.3644409136225656,0.4057042608399816,0.45073302464147785,0.4842914885282414
7,8000,46560899.98756912,6826502,9401858,9804879,10612635,11548125,12696704,14061858,14810925,15973610,16073308,16072762,16141774,16119724,16090944,16083571,16087860,0.22318100108817537,0.30838309577986583,0.3215965174389373,0.3488803394396305,0.37935870167157015,0.41669584311772206,0.46138747938624974,0.4860337204966037
8,9000,52769016.925554425,8024332,10231773,10653387,11425513,11947885,12950377,14337164,15368241,18048000,17901409,18034981,18045310,18042230,18045297,18040826,18035477,0.23110878397384,0.29344637067864776,0.30671319114293083,0.3290407047984717,0.3440538574908553,0.3729547706226416,0.4128393566694581,0.4424611206614492
9,10000,58977132.71606809,4770350,6133001,6493276,6927412,7258966,7676261,8849119,9840840,20103384,19983200,20118990,20144952,20112627,20107352,20127477,20113356,0.12271391768368925,0.15728090430521763,0.16710206783287634,0.17839358676896444,0.18677623364186677,0.19748660420990663,0.22777856938227728,0.2532136820334124
10,11000,65185247.223804414,1665201,2603491,3092922,3404885,3613416,3755339,4392427,4791259,22605452,22593131,22580976,22705430,22712380,22716059,22741998,22753924,0.039107773798523635,0.061126124523132486,0.07259652403752144,0.08015300494494607,0.08507586692840033,0.08842502428372516,0.10348941422553708,0.11291797276102984
11,12000,71393360.31406254,706092,1507961,1532770,1631221,1773682,1886606,2293145,2394179,24547138,24313691,24433583,24650331,24637707,24642979,24569373,24546898,0.015072549399314995,0.032029982834853456,0.032640061083530694,0.034897631239087255,0.03793513456193191,0.04035487940357201,0.04897372333157337,0.05110693277006121
12,13000,77601471.85153091,1120454,1685461,1724800,1849880,2074605,2264198,2625307,2788562,26513932,26331029,26474005,26534233,26514613,26520432,26586998,26564074,0.02193204063566635,0.0328739309875041,0.03373529154121107,0.03622439829531813,0.04060936700041073,0.04432560508910904,0.05146200287472369,0.05463762098749623
13,14000,83809581.7014975,1220985,1672207,1736846,1866868,1923063,1998778,2287035,2356051,29007317,28855262,28963966,29042093,29054057,29060300,29070026,29074470,0.02227982742411439,0.03042903649946253,0.03166790960015747,0.034087157258115335,0.03512089438433245,0.03650783969911572,0.04178029892079366,0.0430446001982954
14,15000,90017689.72858393,997844,1284857,1411124,1479779,1511619,1602940,1808604,1858789,31588505,31544123,31572480,31690804,31586291,31702786,31568094,31526530,0.017077835411108317,0.021973296172677573,0.024144391072479263,0.025370444204512243,0.025869978006542813,0.027487655770823037,0.030942968509113714,0.03177897324356918
15,16000,96225795.79822743,499116,688381,777444,856380,864346,897626,1082164,1141081,33641031,33503910,33686262,33747077,33724712,33692867,33701354,33664297,0.007975039957554275,0.010975132383845738,0.01243124073339407,0.01370674713682343,0.013829296189332855,0.014354453201709694,0.017307855438234068,0.018239348831462627
16,17000,102433899.77488899,536426,692148,726359,789330,799733,833186,966981,1010266,35603559,35565662,35604438,35631846,35639991,35627707,35641214,35650552,0.008026683595807103,0.010350923293808142,0.010868844080275499,0.01181595408218887,0.01197314268124787,0.012471688108429024,0.014477348661483843,0.015127513574272585
17,18000,108642001.52419925,97927,160156,164851,180460,182913,185555,197402,210283,37646810,37620161,37658667,37727157,37726937,37723316,37729463,37736818,0.0013793469374136535,0.0022550246349280416,0.0023223901934868937,0.002544742235716517,0.002579325016866935,0.0026164472540411645,0.0027837390129904264,0.0029656929091542716
18,19000,114850100.91041124,168527,360480,367868,425838,459368,564269,680250,684274,39942477,39863821,39936281,39971389,39950049,39949344,39897064,39911778,0.002249797700185452,0.0048072794173904644,0.004910549220957228,0.005687036931264183,0.006133079861539416,0.007533555377483327,0.009075682961493331,0.009131162446990568
19,20000,121058197.79921484,466409,753293,796837,1007870,1195419,1603928,1903861,1910245,42583696,42648234,42576028,42687410,42603314,42620530,42603174,42596406,0.005943446461034641,0.00960710812121996,0.010153095945723608,0.012860276492079582,0.015237024670884333,0.02044844071735717,0.024266909979817678,0.02434618119464251
20,21000,127266292.05492568,183862,464380,478480,580217,663187,796934,901214,905500,45407229,45651772,45530383,45634564,45506916,45522755,45532437,45550919,0.002246079946903772,0.005689918897856378,0.005853975388937883,0.007107738790113602,0.008111448888192018,0.00974919888118517,0.011026202048029893,0.011081146253733192
21,22000,133474383.54326677,209582,437735,462208,541201,615560,751122,882585,889784,48406774,48326137,48514848,48542491,48539974,48560269,48544552,48564723,0.002463710936809658,0.005140857478228535,0.005440331059303101,0.006372176385028704,0.0072474748845628365,0.008845667225526758,0.010391931597678664,0.010479184515719497
22,23000,139682472.12838173,136458,355072,356907,390925,408054,418708,474841,485995,50621118,50692787,50738172,50821567,50805034,50822673,50729160,50768840,0.0015321797129122484,0.003990035468579896,0.004012702325892074,0.004399291223009842,0.004591198943094804,0.004712007050511833,0.005338092406437733,0.0054659222479886485
23,24000,145890557.6762216,74826,139538,139538,159716,159717,159717,163788,163788,53121562,53065350,53106959,53107916,53099679,53115671,53039507,53052135,0.0008065841335736188,0.0015032339112745609,0.0015039080396841787,0.001721399575551556,0.0017212575446914993,0.0017215542451418137,0.0017639865010374595,0.0017642264407186064
24,25000,152098640.05073047,34297,103450,103451,123676,125577,128035,143438,143438,53733503,53650653,53698344,53743356,53704840,53706098,53746163,53791346,0.0003486702812431583,0.0010508086868926227,0.0010513281377391957,0.0012574413382427873,0.0012762694390830952,0.0013012673250578902,0.0014584075999022812,0.0014590778983905334
25,26000,158306719.11797667,124201,265585,276030,347510,409631,542706,777628,787342,54006057,53588417,53946372,53911258,53772056,53903411,53957912,53993294,0.001190797809696679,0.0025361851235974906,0.0026449701215343338,0.00332878456858657,0.003918614053767935,0.005198168619204455,0.007452198271138974,0.0075478491777020065
26,27000,164514794.7417605,151429,261580,290178,532140,669493,1015700,1632508,1680086,57994270,57735012,57883994,57895097,57546908,57889319,57969872,57910531,0.0014215945740702262,0.0024497146677345573,0.002721333779559209,0.004991010209847678,0.006258822347460927,0.009525866055312662,0.015322250539866742,0.01576002629753967
27,28000,170722866.7881627,125662,238853,258200,417107,566853,814832,1216017,1239200,63800665,63755840,63764648,63823056,63350533,63719457,63702176,63620309,0.0011752657343230277,0.0022329591386420792,0.002414026737967476,0.003901849750010852,0.005279320845520197,0.007615009667571744,0.01136244768226165,0.011570218541848493
28,29000,176930935.1217394,239727,293200,303630,390911,520418,622733,773780,779318,69128772,69162539,69223472,69230613,69175155,69250333,69270985,69272013,0.0022237679936837618,0.0027206491935612537,0.002819024710078016,0.0036296177420726055,0.004829606350694567,0.005783149311293439,0.007187259506669169,0.007238768368113112
29,30000,183138999.60711765,60224,120501,121113,140113,190843,217226,289841,305781,71321893,71468522,71468722,71508606,71492410,71506418,71519935,71403308,0.0005385937968472391,0.0010790766062983106,0.0010845589587061301,0.0012551509985096593,0.0017093491227235251,0.0019459014283527932,0.002596697983630277,0.0027366457002403473
