,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292256117,1065889,1830592,2072311,2402200,2565045,2667151,2765179,2799113,0,0,0,0,0,0,0,0,0.3433853675293429,0.5897410581367054,0.6676129262710283,0.77388952309198,0.8263514494044908,0.8592457811190981,0.8908263498351338,0.9017584816628763
1,2000,9312181.8201876,2144687,3978558,4582829,5404924,5960495,6326647,6815019,6997818,1652,826,826,0,0,0,826,1652,0.2303506933998291,0.4272802024571156,0.4921763369910256,0.5804143544838039,0.6400750237799718,0.6793947027843305,0.7319040461566955,0.7516025548650248
2,3000,15520302.808603423,1749389,3942784,4834820,6191068,7421485,8201238,9027340,9540458,9087,9913,9913,10739,10739,9913,16521,9913,0.11278219719112458,0.2542027665747631,0.3117149252637213,0.39917744150649215,0.47851023352978983,0.528757697337231,0.5822669663082146,0.6151011107862695
3,4000,21728423.459527534,2074568,4636047,5628290,7438502,8617391,9821097,11186352,11772969,174266,183355,196571,170961,166832,161050,153616,156095,0.0962490880887104,0.21517903313738948,0.26139367295866656,0.3450546192050763,0.39966395876553856,0.45536824492930844,0.5184913942330482,0.5457440082134669
4,5000,27936543.637852177,1461862,3584322,4372373,5488493,6522846,7860653,9399988,10014686,332164,381630,313042,339174,351566,370564,325488,369940,0.052957611045003856,0.13007923186070952,0.15828453095202769,0.1988773956367225,0.236463704471137,0.2851577597919342,0.34044290530904203,0.36329052833511427
5,6000,34144663.20868562,1301181,3835403,5209077,7092378,8374530,9386292,11289400,12201280,205739,205008,304892,349871,337377,368596,328421,324888,0.03833889937109447,0.1130065398843082,0.15393357620169107,0.2098660040932929,0.24771376052800276,0.2778977179908703,0.33384549147510967,0.36077353928912154
6,7000,40352782.036869586,1185894,3419702,4537489,5874299,6787697,8039584,9990817,10941769,488625,480534,457871,446545,467638,431445,460134,435069,0.02974837769435811,0.08576647087562822,0.11373603504984883,0.14720252863161976,0.1701810828043016,0.2013856397789231,0.25044256251844416,0.2741081131049203
7,8000,46560899.9875738,825590,1928037,2962674,4013039,4646258,5698205,7326180,8098718,2749840,2688650,2635317,2586169,2631035,2573698,2579572,2224071,0.018844328355309442,0.0439466177491715,0.06744757379402606,0.09125784080712143,0.1057653603377625,0.12954233828306966,0.1665747792351766,0.18266344673115464
8,9000,52769016.92555344,1600749,2783658,3485772,4275324,5068963,6385426,7758766,8535057,2497784,2639147,2564966,2551765,2588898,2540869,2493861,2399847,0.03184224668550592,0.055528929241865935,0.06943208637026084,0.08513655837516007,0.10101536442191869,0.12712843821086683,0.15432604548236595,0.1694500229528295
9,10000,58977132.71606487,1523096,3023956,3849738,5236241,6460868,7113978,8170540,8806113,1656176,1682742,1651017,1607923,1641195,1605273,1516367,1553093,0.02657136390002253,0.05277926795636746,0.06715504708303763,0.09127267093124548,0.11268443941730004,0.12399768867886277,0.14219337139316404,0.1533523772194037
10,11000,65185247.22380805,614055,1837771,2537822,3487527,4284761,4707430,5778082,6181006,2901917,2964946,2957385,2929040,3001911,2925578,2777150,2774478,0.009859058560187185,0.02953651724361619,0.04078272833594214,0.0560189442229031,0.06890529296431508,0.07560962110283558,0.09258545376377411,0.09903749107521191
11,12000,71393360.31408441,303146,1105728,1597915,2401472,3315167,3820631,5187772,5664831,2112345,2109480,2043322,2910927,3061242,2874952,2647287,2569761,0.004375599846880019,0.01595938326472776,0.023041299454847983,0.0350669782568328,0.04851550166734239,0.055760650225359136,0.07546281190924618,0.0823094266568055
