,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292265407,3784,610330,640148,666963,682937,752908,854801,894104,0,0,0,0,0,0,0,0,0.0012190483537503855,0.19662309242718626,0.20622921922743176,0.21486790358414862,0.22001406595275555,0.2425558292614945,0.27538154118239516,0.28804334283341293
1,2000,9312181.820185762,5888,778857,865057,947990,996182,1143957,1398396,1562363,10605,3736,4552,6809,6809,6809,3026,7566,0.0006330109522099728,0.08367207749235811,0.09294063222453502,0.1018755527928515,0.10705449628402028,0.12293510664274097,0.1502172728667566,0.16791268228512504
2,3000,15520302.808604425,37247,3072716,3358168,3568380,3682839,3983124,4348281,4627155,31792,13466,25940,7791,8548,6076,8346,4764,0.002404814798547834,0.19815234002430548,0.21673482423782678,0.23003237928371495,0.23742246092989533,0.25674009083010824,0.28031801878071405,0.2982271551816123
3,4000,21728423.459524095,11351,4547708,4749403,4928397,5037579,5354051,5804355,6175994,175305,82478,146595,40319,43297,65391,57616,50479,0.0005266523274261555,0.21009514269098528,0.2200649036251644,0.22723963771005115,0.2323057238980268,0.24715150152702217,0.267842119442995,0.2848975838798502
4,5000,27936543.637852393,21190,5135080,5516184,5849553,6018363,6468466,7037097,7431288,264840,122120,152948,18250,20496,82239,100177,85244,0.0007657642000405783,0.18461932078332613,0.19854104097616315,0.20952401589719705,0.21558793272151752,0.23222500378665809,0.25280228168969543,0.2668201519005676
5,6000,34144663.20869374,30071,4281575,4770098,5305201,5613599,6155618,7013141,7644993,279227,166969,164664,38308,23252,48542,116818,109966,0.0008879554899186665,0.12601134655289498,0.14037957949038374,0.15554875235239735,0.1645183713436131,0.18053719255404502,0.20610006178728646,0.2246235056278738
6,7000,40352782.03686474,55101,2213524,2612851,3160350,3396321,3927971,4662386,5231904,277153,202016,237089,103669,95118,49764,46758,112943,0.001374925392919316,0.055130305557996966,0.065132889455478,0.0785197427109857,0.08436458203063947,0.0974609642485614,0.11567466926868508,0.13001801511201175
7,8000,46560899.98757386,23823,1653239,1845335,2135374,2265961,2657180,3218480,3717023,596085,323551,440533,77348,83875,101694,208920,107268,0.0005182877382719873,0.03575548850009335,0.04001128179437917,0.04593827082256612,0.04875443298287335,0.05719383152416979,0.06943565303710471,0.08001576714161525
8,9000,52769016.92554638,1502,1347581,1504525,1631910,1672034,1821272,2161091,2389261,874002,312496,334173,125699,143516,209777,524971,167284,2.894304977375794e-05,0.025689484857615227,0.028693229298752464,0.03099937588105704,0.03177231514367082,0.03465179486194914,0.04136530702617858,0.045421716493291416
9,10000,58977132.7160694,2284,1191132,1296764,1362997,1387032,1489801,1742900,1900947,1050995,663626,636998,103926,154814,164998,466500,220622,3.942952335602364e-05,0.02042634832097588,0.022227648364391162,0.023151397316837016,0.02358002932007988,0.025331523965120374,0.029787748296239647,0.03235295930328462
10,11000,65185247.223804414,1760,1006471,1140047,1222503,1257220,1353197,1634985,1847395,439911,233596,321160,149313,166844,85218,106308,166156,2.718342513376144e-05,0.015495695352409055,0.017575935294771482,0.018797346645211106,0.019336371514268577,0.020786426920760756,0.0251231046403098,0.028413116289814314
11,12000,71393360.3140775,8833,1347790,1476147,1588873,1614557,1710777,1993931,2164329,1289452,504146,903123,729031,852635,838645,900773,844341,0.00012599868127789182,0.01901262431868073,0.020941155204554845,0.02248479558813941,0.02288829598520998,0.02424752183301143,0.028285683303353633,0.0306783711672109
12,13000,77601471.85149574,757,571673,635763,694446,712224,776001,1020319,1219139,1501238,811010,1095073,694710,796916,783028,877034,931680,9.947407014244297e-06,0.007444583431540656,0.008309932365710485,0.009029713165416467,0.009273199904665937,0.010101753707744372,0.013298487790485765,0.01590116485983672
13,14000,83809581.70150673,2271,750367,837675,868564,895072,923400,1236656,1901594,2425990,1764787,2174378,1636217,1658095,1648749,1548491,1791233,2.7904887859083697e-05,0.009145820922947835,0.010261198135339976,0.010569896987363766,0.010895384075667416,0.01123893185643268,0.015033304195872385,0.023184982752098085
14,15000,90017689.72860241,34832,781938,866984,933480,944080,978144,1266954,1830693,1810981,1185222,1608544,1101935,1261758,1133015,1034877,1131638,0.00039489059848239386,0.008802389711709319,0.009806496747083832,0.010498476933016667,0.010636810200886682,0.011004641722396277,0.014238187815710096,0.020595953632744225
15,16000,96225795.79824543,4543,1218838,1368286,1437389,1447989,1479784,1696955,1897912,977618,684412,817899,603136,618504,557688,513545,601241,4.769645052552057e-05,0.012757173400102913,0.0143414334234141,0.015031886825076314,0.015145173268327775,0.015467892425767613,0.01772975753727764,0.019847538155909134
