,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227008,1891550,1924414,2051985,2142963,2179216,2310301,2512173,2619092,4030,2015,2687,1343,2015,1343,0,672,0.610171390619988,0.6203693401117186,0.6616374694949091,0.6906729055244013,0.702509331090347,0.7446056251582178,0.809318276951825,0.8439458646377663
1,2000,9312181.820186576,5059957,5163609,5572267,5848077,5961523,6391345,7198749,7585135,14778,14778,20823,12091,11420,10077,10748,6718,0.5442333255455456,0.5553818140918805,0.5997257352599052,0.628819343065585,0.6409714725799107,0.6870858933055762,0.7739397107117837,0.8151270207021144
2,3000,15520302.808603222,10628156,10867613,11573339,12060289,12240251,12782338,13822350,14331189,3358,4701,4030,2687,2686,2686,1343,671,0.6849386996664009,0.7004312906492633,0.7458839595539333,0.7771998706987949,0.7887970911366882,0.8237307414959018,0.890675030444845,0.9234232600837595
3,4000,21728423.4595271,13946822,14301950,15379110,16129927,16399364,17120020,18307905,19065492,14526,14526,16541,14526,11840,11168,9407,8063,0.6422993396738524,0.6586542110488293,0.7083268817739798,0.7428388675991882,0.755153960132047,0.7883141602264319,0.8429435575094466,0.8777705156194768
4,5000,27936543.63785071,16326086,16913909,18130491,19074320,19465336,20261840,21531494,22384977,509089,490450,498214,489607,474197,485580,457206,474001,0.5952461216532107,0.6162592470599951,0.6607724026680288,0.6949526007829796,0.708800899525876,0.7381103362091814,0.7835521468443983,0.8151094126713355
5,6000,34144663.20869154,16093209,16763416,18456550,20055310,20665482,21568171,22958674,23932556,2643829,2606120,2573612,2577398,2590210,2571589,2487441,2571130,0.5108819942158754,0.5315215699430359,0.5846035939062711,0.6353198437499772,0.6549149136993374,0.6831191304793071,0.7252270539926482,0.7579942302248222
6,7000,40352782.03685881,15342104,16099576,18599160,20262578,21291863,22597200,24795788,26240265,2262356,2224819,2212481,2201403,2205125,2161300,2107369,2199638,0.4027811079128904,0.4222511437192783,0.4876511064248224,0.531109975878563,0.5581433999846307,0.5916816733687191,0.6483336439876644,0.6877615374148439
7,8000,46560899.98757878,14758610,15866245,18805437,20746086,22114778,23346976,25742221,27472729,2164587,2079392,2080261,2026464,2064329,2016289,1948773,2049313,0.3324287312806622,0.35669305555986464,0.42277803170164485,0.46584369016790395,0.49699960040006996,0.524125713130827,0.5770229473068462,0.617203987978825
8,9000,52769016.925545156,11771002,12695778,15529487,18015885,19398621,21190920,24578488,26953748,1951716,1847468,1813761,1852580,1854747,1798332,1800580,1844561,0.23163375042775797,0.2493203421318371,0.3047671279031821,0.3538323984913661,0.38100558111444416,0.4157472090271966,0.482229581336864,0.5292888752588367
9,10000,58977132.71607667,12217741,13520634,16369947,18685224,20215373,21909690,25222555,27744675,3221222,3040922,3015277,2982317,2972189,2857754,2740826,2867306,0.21912907247118346,0.24171522931055506,0.29251973135153303,0.33369560665658704,0.36095693806039864,0.39041219809020217,0.44851016136857097,0.4944708729968427
10,11000,65185247.22379196,12609913,14278357,16981728,19306517,20841749,22431583,25829708,28791109,3840715,3744172,3723122,3698990,3715005,3635756,3566873,3720421,0.2055588744893771,0.23239106652988653,0.2762958153198774,0.3139972714509185,0.3390542845776071,0.36444790288256795,0.41918840484477904,0.4684160156114696
11,12000,71393360.31408495,10003914,11640048,14313559,16823945,18663266,20304673,23576077,26896538,4977032,4887014,4973071,4896548,4872916,4873721,4732615,4875038,0.1506243156455619,0.17502161290034407,0.21549979904957592,0.25300378190363954,0.280564361715309,0.3052432816739682,0.3536725682996308,0.40434781071297077
12,13000,77601471.85151339,8796965,10287661,12630624,15316734,17311408,19335882,22851016,26048503,6844220,6456606,6588557,6129174,5784992,5710760,5571809,5904184,0.12432598454305072,0.14460159390097665,0.17786375937969012,0.21430308609667398,0.24105063400201168,0.26896217191363025,0.3172445225393678,0.3633122504430991
13,14000,83809581.70149547,7984166,9172757,11013548,13235534,14621032,16030276,19012304,21711235,9793257,9291798,9487265,9254372,9242323,9247310,9106714,9346126,0.10787033849897013,0.12309487137653445,0.14818628493826796,0.17752661488033497,0.19607844320159742,0.2149917865187373,0.25450567809486374,0.29156899576397133
14,15000,90017689.72858179,5578758,6608676,8305656,11101929,13147298,14562679,17818033,20529962,10322017,10031432,9997493,9689808,9877768,9597864,9695138,9727810,0.07000076426984289,0.08262264278478049,0.10379449613416619,0.1382076653970794,0.16405429050114775,0.18108319519553895,0.2218310127921356,0.2556980041494781
15,16000,96225795.79823911,3625808,4564420,6069286,8649870,10148674,11898164,15205938,17795405,11028919,10475511,10117552,9652401,9576421,9742844,9641697,9310638,0.0425579919858628,0.05322921096693233,0.07048437794435793,0.09991372083951058,0.11712345326935056,0.1375781440457524,0.17562044545192226,0.2047445514775391
16,17000,102433899.77491248,2325667,2806396,3817780,5577509,7547384,9143963,11750418,14204841,13374662,13079108,12916765,12607871,12454142,12466560,12323973,12484559,0.026113708786480633,0.03140733635269835,0.04264859470312211,0.06209234757529149,0.08387868768084536,0.10163647188943345,0.13040092718476648,0.15792045697751053
17,18000,108642001.5241636,2329738,2991211,3673713,5111854,6920286,8369275,11145676,13237527,13899959,13906462,13974288,13849291,13920414,13913929,13847478,13963794,0.024590329044318515,0.03157432801907515,0.03880639832990471,0.05392665714202716,0.07305922737237301,0.08835052563605296,0.11757721422755937,0.13981598665798084
18,19000,114850100.9104011,2082370,2485302,3105693,4073399,4657171,5580554,7865404,9738568,15635281,15464317,15476717,15319997,15384317,15356465,15388873,15599358,0.02098849750350347,0.025006614650648275,0.03125276485301349,0.04092630108843201,0.04682183980166672,0.05608955737656992,0.0790801015153914,0.09812085748105201
19,20000,121058197.7992363,2001580,2433627,3116814,4187999,5072688,6041796,8079473,9844855,16839436,16444415,16860720,16450105,16587258,16512635,16306126,16970473,0.01920556304301312,0.023262967219819967,0.029912566655455497,0.0400351338785767,0.04855597173480278,0.057791032332977554,0.07712948165344931,0.09458228642223365
20,21000,127266292.05492067,2013256,2396344,3143801,4112293,4639708,5405322,7387900,8756921,17472143,17216913,17840431,17633616,17910874,17182859,17137695,17931372,0.01833664195523697,0.021775170569604877,0.0287299635542473,0.03750973840992388,0.04242778348366642,0.04910204787402735,0.06708430142187033,0.08009262727407912
21,22000,133474383.543262,1958219,2469490,3177841,4159553,4559655,5162844,6877236,7964111,19235761,18895870,19190162,19138362,19280412,18583603,18574782,19145841,0.017141479443683112,0.021552819316927006,0.027806471944134794,0.03638007465937692,0.03992903424216741,0.04493697384235227,0.05985430678287063,0.06965986640638207
22,23000,139682472.12839985,1727802,2143218,2729034,3437956,3845214,4619865,6502412,7727871,19964468,19752951,19879361,19694348,19809693,19443305,19536469,19872615,0.014432265327000435,0.017870645857956956,0.022779324963231866,0.02865246894201819,0.0320774576843777,0.03842229707950807,0.05412091813866569,0.06450112858174988
23,24000,145890557.67620182,1386131,1790951,2292361,3082994,3619109,4462172,6289015,7395430,21627373,21519048,21594705,21520431,21624796,21498790,21413604,21703949,0.01115480022189922,0.014400010136265911,0.018442779470460198,0.024788862746972902,0.029123943322620752,0.03587192370812885,0.05052352916957967,0.05955094578097778
24,25000,152098640.05076575,1761260,2189338,2739464,3456958,4037244,4702524,6212363,7378508,22695968,22663775,22716373,22656700,22693049,22657105,22569251,22740584,0.01361069267031088,0.01691459251833977,0.021173411646320247,0.026706630004496364,0.031198373789090697,0.03632932812605872,0.04796103066281909,0.05703941621621425
25,26000,158306719.11792707,1665959,2084726,2620421,3338270,3781283,4481287,5909299,6937374,23948691,23979925,24022687,23991842,24031474,24028705,23959800,24040175,0.012399400492375305,0.015519807598250238,0.019514017852091073,0.024854059889948255,0.028160685885764668,0.03337319984539238,0.04398537040371528,0.05166867178697073
26,27000,164514794.74180126,1641581,1976085,2392479,3079223,3640895,4466836,5992458,7091404,25599836,25539646,25676482,25717371,25712070,25689290,25605397,25820786,0.011817165083359936,0.01421898100408817,0.017232123847898618,0.022185015521096006,0.026230717061014024,0.03217590318369652,0.043139327485520594,0.051129850988745035
27,28000,170722866.78812265,2154873,2513420,3193642,4140302,4519256,5312470,6686596,7538417,27840380,27776475,27907239,27691631,27802062,27865052,27581810,28073339,0.015081435439987929,0.01758295518032683,0.022361992517639595,0.028946837921006146,0.03162070075591661,0.037187115089777255,0.0467133340359328,0.05284571997459964
28,29000,176930935.1217804,1838395,2381742,3082555,3973904,4610327,5371427,6916165,7930054,30864864,30335288,30585049,30136748,31019226,30906733,30356929,31121462,0.012586050859595353,0.016247017198412664,0.021063489256096204,0.027071262683605112,0.03159668972249611,0.03678449819928048,0.047185481129946964,0.0543864114602266
29,30000,183138999.60709238,2962710,3565794,4178325,5113071,5730360,6449839,8065351,9104211,33257708,32557815,33502579,33300976,33481964,32932497,32252585,33444105,0.01976704342638454,0.023680209511594257,0.027923181956959735,0.034123988537165806,0.038289947256769215,0.0429398121123383,0.053453129103784074,0.060818446907598495
