,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226985,1901165,2052206,2554552,2645482,2784427,2857827,3009455,3046032,26856,25289,21323,8004,9657,10882,8873,11224,0.6178220914991883,0.6665664905179297,0.828663450233541,0.85446822097066,0.8998266980108149,0.9239126938860943,0.972301314331501,0.9848667631569394
1,2000,9312181.82018855,2666019,3992928,6664606,7123208,8006849,8165780,8744121,8890729,81744,80485,62512,14717,8363,19367,10784,18619,0.2888290947769519,0.43252373618552686,0.7205236651208535,0.7661451952507139,0.8605981215611993,0.878719759083106,0.9400867664235381,0.9566545330372688
2,3000,15520302.808599826,3259104,6311750,11140616,11790560,12933614,13153126,14285938,14442652,106236,78959,59456,41060,51258,43339,66073,65399,0.21143699715779607,0.40875652263404466,0.7205695870295556,0.7617013406785957,0.8360964855961704,0.8498518289931919,0.9244031036765283,0.9345028722833874
3,4000,21728423.459533136,2293797,7720550,13882963,14947210,17770512,17976832,19735191,19956461,286025,214462,184221,201045,200454,207432,227964,210882,0.10697483326452197,0.3588623143404822,0.6443943806263712,0.6943348921048401,0.825461594666596,0.8353161625384511,0.9178962448288318,0.9274507981095808
4,5000,27936543.637840576,2029852,8752658,15141638,16336509,19837367,20055462,22438727,22728924,144922,136131,131030,119275,118286,124232,130725,132030,0.07303827126216304,0.3148391397646489,0.5445552345198801,0.5872794059218671,0.7131060204509594,0.721100146624028,0.8069795495775632,0.817454471459161
5,6000,34144663.20870198,758350,7524280,13083423,13753207,17152159,17341442,20387755,20555951,24826,16203,13069,20907,15422,12285,21691,21691,0.022226073218385375,0.22046936644629164,0.3833229388583417,0.40303907095939107,0.5025649089328915,0.5080642753331156,0.5974788736252216,0.6024079870380651
6,7000,40352782.03685871,680160,6991351,10953303,11422429,14798863,14925174,17987833,18063392,73711,51731,35271,33300,24160,25544,55172,57522,0.01688618884426597,0.17347813072184695,0.2716760712234039,0.28329800937318594,0.36695682253845535,0.3701015672424314,0.4463746853361082,0.4482758513898938
7,8000,46560899.98757172,475213,6554181,9993434,10565935,13165953,13341980,16053011,16170649,162157,111264,101067,69378,55004,68514,82781,96103,0.010241936944871324,0.1411029572277739,0.2150983625505779,0.22726584435812888,0.28310287804192574,0.2869712903864852,0.34538856885091646,0.3480193619338374
8,9000,52769016.92554894,154606,4490795,5989518,7396918,8552338,8639211,11421077,11502428,65118,5662,42408,43974,42409,54008,51805,57300,0.0029334831606747146,0.08511200636003301,0.1135957369922523,0.14029230873163842,0.16220155888040586,0.16388522312879483,0.21664797099151736,0.21821387484392235
9,10000,58977132.716065854,8625,1591167,1765397,2776615,3123375,3194804,6238443,6353245,189411,53841,83644,67990,64860,65009,75043,84449,0.0001467143095229511,0.027004041248533252,0.029976098181434586,0.04713385515356947,0.05301739104606348,0.054229992036914955,0.10591208274735339,0.10787834072276863
10,11000,65185247.2238031,3920,587594,642412,718622,785175,789875,1157948,1182046,338465,103396,73617,40007,41569,311878,278853,255144,6.045018527628805e-05,0.009028538508829214,0.009866317243046865,0.01103107452718282,0.01205297308055752,0.012175643248542452,0.017840276198478857,0.018204899442800623
11,12000,71393360.31407034,196,761460,866449,915209,987823,1003497,1306678,1321571,83625,25850,13321,59342,57865,49777,60433,91779,2.748572815994265e-06,0.010669560933946096,0.012138533521782562,0.012829909510641975,0.013847566287314473,0.014065693835174815,0.018318020151435157,0.01853494656982042
