,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227317,0,10446,10845,12248,12512,21040,148163,159099,0,0,0,0,0,0,0,0,0.0,0.0033652693190468663,0.003493810622732459,0.003945799216895081,0.0040308491020404355,0.006778218119160067,0.04773199292723922,0.051255119987654356
1,2000,9312181.8201861,802,738996,784382,834856,917258,1537804,2346103,2594804,2406,2406,802,2406,2406,2406,126393,119178,8.614600560639152e-05,0.07937849570960212,0.08423907252709653,0.08967519907297954,0.098526325200134,0.16518163591712132,0.2554057191957597,0.28225855778524755
2,3000,15520302.808600508,20583,4104758,4302583,4493600,4599059,5229861,6791479,7312880,191054,58682,32505,114102,153856,170080,210615,218383,0.0013427272436501822,0.26548044676640453,0.27780469845821065,0.29167476497459704,0.29929228645271033,0.34070261163048293,0.4436066290120402,0.47790604652690477
3,4000,21728423.459531546,41956,7446858,7644264,7779672,7916225,8453854,9299891,9672944,1380279,1086237,951734,1221044,1256264,1306237,1434798,1551275,0.0020619079092662343,0.36075916737790187,0.3679250255383254,0.3793596356546724,0.3866824609122668,0.41395440281343504,0.45826661276198977,0.47940094307184267
4,5000,27936543.63785202,50334,9784192,10030062,10149384,10267885,10511423,11294313,11629067,1156228,1089066,913025,1109020,1106216,1121146,1102309,1123205,0.0018795148153092178,0.3644361728122032,0.3711604744894629,0.3783198232161775,0.3826969666040957,0.39199206149985666,0.42089193719981827,0.43370455119615003
5,6000,34144663.208685756,65914,6698265,7144546,7338170,7545593,7916899,8596462,9038086,364392,332302,269105,355106,357510,358978,446430,435150,0.0019512572765564965,0.19810107193221815,0.21090563160574355,0.21717271862070128,0.22332727925891768,0.23432702196505084,0.2551012673799246,0.2681167759394165
6,7000,40352782.03686702,26232,4634037,5636648,6173822,6369960,6809630,7482995,7731692,477900,431048,338252,467476,466674,464269,521915,507092,0.0006578577455287954,0.11607804900760443,0.14086503064778533,0.15478938520099048,0.15970372426691015,0.1707165667896968,0.1878692470609244,0.19404086095249679
7,8000,46560899.98756859,47208,4293067,5080055,5535078,5950107,6290667,6625914,6799581,679861,607324,434403,635388,646226,653444,791520,808801,0.0010289217733885877,0.09342182643547403,0.11013311939489162,0.12052294597169153,0.12959053137589507,0.13702930961156873,0.14476739693217744,0.14861790279496315
8,9000,52769016.92555469,18723,3908388,4314540,4497352,4620914,4921738,5312053,5564098,619059,596182,459124,596257,580253,578917,665276,666437,0.00035902234143175203,0.07491231798266033,0.08248038293904134,0.08620115183511992,0.08854231547985232,0.09430405396848242,0.10195147038654688,0.10679121855290286
9,10000,58977132.71606833,22245,2415350,2691902,2910294,3324015,3828575,4331288,4626777,1081553,993828,795788,1022769,1025110,1019226,1062522,1022451,0.0003842262243351564,0.04165595617268532,0.046267442135220355,0.050216995121509664,0.057358049714429586,0.06605785503530893,0.0747874836150507,0.07983439582443941
