,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292289365,277483,698256,996412,1209177,1346815,1477454,1545072,1559696,428080,436668,424938,420083,453448,459040,460058,470034,0.10369394941395918,0.2617747355033537,0.3719172796083514,0.45051679523401134,0.508114609108985,0.5585793863659582,0.584368556566294,0.59213372510838
1,2000,9312181.820183456,659559,1859690,2658071,3158869,3515036,4044720,4251696,4278762,2288059,2351601,2328758,2307446,2345261,2350345,2355937,2362977,0.09389912689237026,0.26717454305070265,0.3806257601490055,0.4509619036449641,0.5045322159851159,0.580984602838395,0.6112056303228084,0.6157196558047403
2,3000,15520302.808604395,1088451,2762765,3839891,4356417,4823318,5656338,6001565,6064689,5175705,5191459,5164764,5160549,5130856,5168824,5176702,5187034,0.1052192671129903,0.26748056715684787,0.3708055245574902,0.4205135643649886,0.46425166699014186,0.5464280132900738,0.5802200907644809,0.586909051949757
3,4000,21728423.459524862,993017,2454086,3463936,3856064,4297147,5041662,5542473,5652326,6502570,6572105,6617490,6631215,6611995,6688213,6705779,6745806,0.06521913550788817,0.16191834491691814,0.22923375377691046,0.25541569557961563,0.2842699921814116,0.3352121975665008,0.3689412350091189,0.37725891455679267
4,5000,27936543.6378479,1128648,2970708,4336918,4703469,5166725,6128238,6666962,6745163,5443822,5515316,5408929,5406365,5384744,5413534,5430515,5468809,0.05017836516950684,0.13249533201229935,0.19251563335576982,0.2087630584561259,0.22910477580373964,0.27208788250492266,0.29623005050248247,0.30021553613320107
5,6000,34144663.208691984,1837792,4322549,6259488,6697433,7143858,8073113,8669589,8764495,5285037,5310988,4878557,4947995,4811799,4952637,4932060,4840236,0.06368038126032592,0.14991321670631,0.21388181794204458,0.2293903178310648,0.2435445086158042,0.276551992050357,0.2967756395438401,0.2990843307594275
6,7000,40352782.03686528,1341526,3671113,5383219,5956291,6485760,7286138,7853387,7992142,5491219,5597236,5456337,5359330,5263562,5263016,5238342,5215234,0.03848152185779415,0.10562668174184468,0.15426267616409245,0.17021158683416265,0.18483625435920092,0.20764282076845966,0.22365120992261406,0.22745303660958016
7,8000,46560899.98757532,1637453,3672017,4970586,5349483,5631023,6239958,6592206,6662171,5267460,5349058,5081525,4924772,4913067,4940971,4952466,4977869,0.039654070973323824,0.08910101618624694,0.11983271207651713,0.12848175991764518,0.13520566608303214,0.1499271659464579,0.1584343693869492,0.16021369394623022
8,9000,52769016.925557405,1930248,4026440,5235111,5637919,5910425,6414951,6684179,6769630,5542772,5684793,5425382,4993920,5049428,4922251,5015771,5034216,0.04087235822036337,0.0855156921852638,0.11057687075003068,0.1180095774328818,0.12385741648404112,0.13407282343765364,0.13997329124851482,0.14181749727116832
9,10000,58977132.71606085,2103696,4451141,5831040,6394165,6707290,7386852,7846769,7909726,5015035,5235652,4810131,4421531,4435207,4241272,4378441,4250852,0.03898469646360454,0.08282505321201095,0.10764930336306691,0.11720455459879192,0.12297493922230396,0.13495452347627954,0.1437171615907379,0.14453249693759448
