,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292260755,136541,436349,559543,724958,790669,943236,1433999,1668034,0,0,0,0,0,0,0,0,0.04398786502892609,0.14057360732312543,0.1802616207723716,0.2335514948304187,0.2547208622652241,0.3038716419128623,0.46197519033561335,0.5373715913583444
1,2000,9312181.820187235,312461,976420,1224811,1534891,2175611,2926553,4019596,4766613,12729,12729,12729,9193,4243,2829,3536,6365,0.033599933893068444,0.10499757554341146,0.1317078567613336,0.16498901908484806,0.23373714009394791,0.3143669658382482,0.43181318503738597,0.512218657652891
2,3000,15520302.808599591,168097,907832,1420500,1958766,2500048,3110743,4756161,6117487,70707,39592,55150,45958,52323,45957,73733,59431,0.01088034936852092,0.058642785284490684,0.09185166274012586,0.1265815143857626,0.1616273120947618,0.2010258164368577,0.3079104978603143,0.3956754234646298
3,4000,21728423.459534418,89282,544036,900931,1152053,1664714,2553052,5568264,7320808,243491,90791,121682,149652,182960,186999,237640,215476,0.004155563447460554,0.02514304654251929,0.04169675476921328,0.053388257165630906,0.07726517478385092,0.11851825327502878,0.2591000933253381,0.34029776783354987
4,5000,27936543.63784545,35435,423751,687390,1426473,2266711,3128162,5574997,8255434,470271,148606,210497,321812,328664,193716,243123,211033,0.0012901277310986324,0.01524945843490297,0.024792211056217716,0.0516562325756969,0.08210377000096544,0.11275570179200875,0.20131124547255408,0.29775588654916585
5,6000,34144663.208691716,79474,777118,971340,1675223,3002497,4018700,5942387,7611532,484066,171579,141321,227031,279098,281501,511543,406251,0.0023610395117849695,0.022874520170917574,0.028566015482787227,0.049390918260228914,0.08865929097883175,0.11867468180418524,0.17668259629578836,0.22560433350918366
6,7000,40352782.03686197,48641,537685,942510,1630850,2615041,3977631,5832622,7489543,245613,82187,112645,109027,207903,186022,250459,236523,0.001212775699907782,0.013351801718048275,0.02342213693598046,0.0405242999443316,0.06514008916551493,0.0990279274790806,0.1454434944987767,0.18669594772329143
7,8000,46560899.98757064,133179,1467063,2276975,3197427,4593985,5546693,8063997,10336808,362464,228331,192152,144566,232489,183473,318494,220397,0.002882759927973121,0.03166375256234033,0.049105811539495385,0.06888581508518545,0.09916129006091988,0.11959898080345291,0.17438532506650925,0.2230620587517688
8,9000,52769016.92556256,413593,2829789,3872129,5200653,6660642,7867519,10787025,13023921,501254,226114,255522,284081,342458,316339,487170,367706,0.007912965408315273,0.05385673121275688,0.07373588456621884,0.09908848907381526,0.12704709476464135,0.14999270411255405,0.20632448228843686,0.2485418927496074
9,10000,58977132.71605173,846253,4220154,5747428,7370318,9025351,10276568,12817881,14873937,299952,95533,113004,159132,218486,213425,290334,222795,0.014422182348793371,0.07167186388194448,0.0976388867951209,0.12530718334988566,0.15360038912425206,0.17487950300305646,0.21841165782474545,0.2531547044557432
10,11000,65185247.223813534,907017,4760250,6357641,8187166,10232639,11868837,15333114,17645424,831764,450571,486586,494770,718434,698658,843113,803520,0.014094295359980842,0.07353477730454573,0.09826541816695201,0.12655906017935792,0.15872723480955536,0.18405124449684943,0.2383059589951415,0.27407503279087714
11,12000,71393360.31408179,1421233,4568806,5593790,6883367,7972049,8908611,11843891,14070341,1622199,387761,1038413,1217244,1432452,1441100,1574870,1709339,0.02036992036870619,0.06434430585946645,0.07950812577583131,0.09808703247687076,0.11395004999378174,0.12735272541588832,0.1696383142448325,0.20191631789706513
12,13000,77601471.85150772,1477823,4653753,5636794,6480365,6926165,7728082,10592647,12644310,1080211,741112,804305,542271,504783,535894,624833,834381,0.01931258036727556,0.06054815523881144,0.0733984628742764,0.0840959279150532,0.08983738605610103,0.10027929739125166,0.137608593438768,0.16471003212116203
13,14000,83809581.70150203,1868045,5012885,6008707,7419555,8206582,9320901,13689381,16018185,1233155,1107412,1138127,983823,1059798,1007317,1126295,1018191,0.022622013020164037,0.06061370600182642,0.07268176206279857,0.08958028415700402,0.09917345560204817,0.11256818921078278,0.1655640643485852,0.1934764576881228
14,15000,90017689.72855997,1942930,6171598,7603107,8768806,9673186,11068245,15143371,17822311,8430343,8082637,8100661,7891621,7950543,7878644,8055788,7930252,0.023814109392037253,0.0753230491038517,0.09281473117382752,0.10677250397778483,0.11786916428317423,0.13475010455534842,0.18476109851808414,0.21711374472344186
15,16000,96225795.79826844,1494068,4407676,5360987,6521753,7676526,9020561,12751152,14876811,16160741,14949991,15258785,14691090,15164995,14682228,14877997,14744938,0.01866067541906325,0.054231096338450586,0.06621199112014951,0.0799874475065378,0.09470084090464574,0.11062259407530547,0.15674858064225114,0.1825804416152839
16,17000,102433899.77489877,967676,3765081,4665353,6142104,7526529,8909744,12006577,13293638,23108431,21756590,21900021,21845344,22229548,21911983,22586032,21903824,0.012198805943977037,0.04666840045243346,0.05793031542712832,0.07621558595932929,0.093841903007008,0.1106499243542281,0.15036816053558322,0.1650766855995388
17,18000,108642001.5241723,1222364,4033928,5020238,6638599,7892494,9284024,12417119,13966902,29316523,29035279,29069839,29070922,29138777,29020742,29140578,29005237,0.015409475275053241,0.05067320789114401,0.06309038036354686,0.08342979685204986,0.09927262758506546,0.11660232525185629,0.15618737941496846,0.1753825897304077
18,19000,114850100.91044044,1282578,4800696,5973814,7777424,9277946,10951791,14001801,15577980,37027969,36630585,36762819,36633371,36614988,36430142,36637242,36471732,0.01648089005677744,0.06137465751509747,0.07650175359991994,0.09943427715407291,0.11859056189541028,0.1396556584849464,0.1790217260314331,0.19875356194003324
19,20000,121058197.79916215,1481774,5531013,6946292,8623098,9913473,10954931,13393077,14644744,42669822,42213402,42378620,41923586,41928379,41420958,41928955,41694744,0.018902981276158012,0.07015064144612543,0.08828583216004458,0.1089674644754029,0.1252811285358961,0.13756040550410004,0.16925572046724818,0.18452755391745068
20,21000,127266292.05493903,1284784,5085023,6642229,8033112,9080339,10286686,13083934,14753367,45208617,44279057,44404766,44105287,43635288,43202468,43568299,43405653,0.015657085082410815,0.06127476107179163,0.08016059221014171,0.09659710094524529,0.10857622842881244,0.12236757149278915,0.15632315091966134,0.17592719500187365
