,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292261886,917343,1868997,2284175,2419957,2580881,2714728,2916116,2954783,29837,20931,18389,29769,17158,53421,42317,36377,0.29839826591629703,0.6062012385995866,0.7402521312913699,0.7871592197026255,0.8360746385599355,0.8898881316534282,0.9524363738896735,0.96319678204409
1,2000,9312181.820188679,2071878,5025647,6238929,6693886,7283187,8036103,8598583,8710683,54946,48393,43214,74283,41065,79548,82008,75603,0.2238117338959365,0.5425044868302212,0.6730985716026577,0.7246113137081622,0.7855781715683071,0.8704020062430867,0.9315732474282085,0.9430637868818689
2,3000,15520302.808602493,2800223,6083050,7507567,8166440,8770388,9836471,11090795,11648197,162218,129044,118951,115034,94198,159825,83263,93090,0.18232891893079772,0.39522758181416956,0.4874615613810351,0.5301069459716119,0.5685419688779193,0.6403753270286408,0.7184534818533997,0.7550422195190537
3,4000,21728423.459528998,2987331,6120798,7780776,8503444,9355962,10549071,12159071,12691699,305529,143258,170838,182172,126897,317836,168820,108816,0.13944572268903757,0.28356502578014336,0.3609298459981612,0.3946600185174802,0.4331157808467207,0.4927034823280867,0.5639747049533922,0.5870457649963502
4,5000,27936543.63784617,3577870,6083399,7909742,8787079,9988274,11752367,13834893,14556830,488175,544896,357794,474334,450461,305459,155174,126240,0.13034909459306757,0.2220895610381159,0.28680567842515614,0.31996984641361,0.3633938721499343,0.4253313669743835,0.4979917541989333,0.5234329761214856
5,6000,34144663.208693534,3282719,5509622,8083261,9311884,11381962,13287574,16070155,17136971,476846,405757,308196,422257,467230,428803,207751,184070,0.0975031728267894,0.16330173734501005,0.2388919904121428,0.27613343906638027,0.3379699969848607,0.39410455250890614,0.4735302640728566,0.5046134175186647
6,7000,40352782.03686221,3188506,5062709,7126069,7810127,9423664,11387751,14855703,16681247,487553,482334,293178,394493,423057,489366,214459,236099,0.07998213172315358,0.12697898441771394,0.17788665593006622,0.19545699248521436,0.23600623323351935,0.2856692208582827,0.37011269719357304,0.4158182017359716
7,8000,46560899.98756954,4365222,6666844,8342807,8840421,9872696,11697684,14866479,16419568,556707,512977,337072,426883,431988,520392,311559,265450,0.0948874812602298,0.14478055832832437,0.18048715052858752,0.19162478312655895,0.2140240377371228,0.2540737387858156,0.3214419639837824,0.35466915224733103
8,9000,52769016.92555356,5453333,7435441,8678965,9130503,9911749,11328394,15204021,16768517,846803,949890,715862,1001161,755576,992844,749365,750124,0.10502889972717704,0.14348834959497092,0.16673273718783538,0.17637398414047542,0.19056130153332118,0.21879550688863286,0.2922745623472991,0.3223543612125336
9,10000,58977132.71606693,5640344,7676507,9317593,9829825,10353030,11429366,15600692,17312298,1494951,1823472,1592247,1676399,1579253,1681750,1585481,1611361,0.09812334590674486,0.1343134788537175,0.16237015868781648,0.1715479778794482,0.1803730390602209,0.19948144960719402,0.27182859411646015,0.30178793873265713
10,11000,65185247.2238031,6188719,8248804,9656345,10223518,10724080,12789164,16441879,18003349,1635363,2833742,2627229,2705423,2582968,2828134,2559316,2517371,0.0973836392558205,0.13229518630531736,0.15435823055414175,0.16362910950868392,0.17130494501105017,0.20509551098202683,0.2625410701078838,0.2872819390863895
11,12000,71393360.3140735,6791636,9340628,10714274,11177865,11653837,13636195,16514049,17987950,1369502,3007442,2976797,3164559,3058747,3169453,2992298,3065383,0.09699031392326188,0.13658700841160953,0.1566035106267321,0.16382912765161464,0.17054076162599568,0.19987414290455144,0.241429715289703,0.26325892712025334
12,13000,77601471.85151154,6905957,8741665,9991020,10349022,10724403,11805904,14816143,16519014,1009418,3278384,3930014,4098024,3996052,4033994,3930333,3847658,0.09016544997459565,0.11761708578987973,0.13561588560032833,0.1407964157124526,0.14570126794514532,0.16047721554120714,0.20111190394196019,0.22397504803287474
