,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292267093,1188806,1879362,2590923,2683439,2762543,2789654,2824201,2995330,0,0,0,0,0,0,0,0,0.38298414303078804,0.6054527357824808,0.8346882711003801,0.8644931013053391,0.8899771396179884,0.8987111829368375,0.9098407980206146,0.9649714866381986
1,2000,9312181.82018765,3041602,5090683,7028977,7346257,7770143,7893769,8083859,8503613,0,0,0,0,0,0,0,0,0.32662613968792853,0.5466692015145187,0.7548152662528618,0.7888867659428889,0.8344062809378676,0.8476820096969425,0.8680950561419667,0.9131708512784003
2,3000,15520302.808597868,4405052,7580293,10705189,11200871,11970745,12178188,12485155,13161474,0,0,0,0,0,0,0,0,0.28382513242974283,0.48841141139338484,0.6897538747806896,0.7216915248454425,0.7712958405275766,0.7846617524275095,0.8044401680799378,0.8480165730212986
3,4000,21728423.459530227,5282378,8877674,11864987,12330778,13143107,13347359,13749000,14583313,242191,225866,242191,207302,207302,206564,215984,204455,0.24584942985930505,0.4128659586985684,0.5522134707584475,0.5729616843242872,0.6107073474175213,0.6201768497326365,0.6391185911697734,0.6775383000314195
4,5000,27936543.637852654,5986852,10008303,12579700,13072217,13750747,13952240,14365949,15238407,1898952,1613479,1900427,1811873,1792406,1738220,1850573,1776249,0.22993109667241643,0.3802104024623344,0.4831634523295606,0.5003782509341709,0.5259590960877996,0.5325623193631024,0.5507155244265266,0.5825013521809032
5,6000,34144663.20869213,3870365,7197215,9755315,10294717,11002336,11205162,11600516,12505819,4496517,3446699,4492828,4334041,4360993,3297785,3738261,3449824,0.1305432377713147,0.23445251779797527,0.3289953195591863,0.34533720658129313,0.3694083342619424,0.3632510857076802,0.3815155742656004,0.40742415736319004
6,7000,40352782.036859125,4024166,6361043,8330454,8841697,9821944,10051241,10711770,11600877,8819184,7929107,8818445,8676443,8633755,8005698,8340729,8012990,0.12761518667474026,0.1961851330168091,0.2641708937867599,0.2791262269832272,0.3096546432078891,0.31073097620010287,0.33461677661430583,0.3587183549844092
7,8000,46560899.98757622,4125877,5985587,7543335,8109819,9313771,9525066,10098020,10941009,11389329,10723965,11413870,11271667,11267731,10813579,10944572,10850076,0.11730715700636173,0.16702284952870705,0.2146222597660861,0.22981001040331792,0.26389727154505743,0.2664553800635965,0.2835222093507904,0.30637794870839086
8,9000,52769016.92555085,3324631,4368967,5254202,6012476,6734068,6936926,7567590,8285936,13579391,12330394,13627137,13589049,13567025,13553439,13212023,13181130,0.08483446630278774,0.10803946039516346,0.13423478918216666,0.1534579102112797,0.17177872014230247,0.1768921017349143,0.19130852092155326,0.20930483143954026
9,10000,58977132.71605855,2167043,2719396,3171779,3988500,5163403,5405719,6256771,7057721,16841040,15445068,16842518,16823554,16824200,16829369,16867832,16819989,0.05142961438316075,0.062468803575880964,0.07527727549840763,0.09461830101937625,0.12249214152620402,0.12825636578057376,0.14858406322605958,0.16741459164159558
10,11000,65185247.22380996,1488809,1992368,2424501,2734803,3374039,3517622,4108339,4573086,21456347,20783732,21456346,21386534,21382512,21398753,21473529,21334332,0.0340463398891829,0.044871621834464075,0.05544390396619166,0.06244025905567701,0.07702804363153024,0.08033577618751694,0.09398713129886005,0.10428712779789207
11,12000,71393360.3140772,586913,802673,900576,1385976,1549460,1589186,1846162,2034265,24532924,24128656,24531448,24490835,24471196,24505445,24571318,24505697,0.012524701990956224,0.01698250336374016,0.019217653645121718,0.029550135962167837,0.03302192093332625,0.033893296158613334,0.0394293351754318,0.043385932593259506
