,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292263283,194812,1998221,2407093,2475848,2531062,2588097,2689586,2748004,5063,5063,4219,5063,4219,5063,5338,5338,0.06286290707767829,0.6447959111536528,0.7765212833149713,0.798918971944519,0.8165133264023275,0.8351400386989403,0.8679660369187419,0.8868183212274492
1,2000,9312181.82018864,830041,4168498,5898188,6290496,6717340,7031860,7560531,7887868,3375,3375,2532,3375,844,3375,3944,3944,0.08916728169713801,0.44780153681559876,0.6335563757950765,0.6757574973365411,0.7214151317156177,0.7553986387116262,0.8122408500996786,0.847407227057736
2,3000,15520302.808599968,694907,3019682,4870286,5676715,6392702,6957369,7995423,8458211,0,0,0,0,0,0,0,0,0.04477406198640303,0.19456334307644832,0.3138009651011011,0.3657605827673975,0.41189286567641803,0.44827533881264525,0.5151589565359285,0.544977189189454
3,4000,21728423.459529277,571129,1970338,3740191,4632267,5542216,6430540,7560153,7998745,3376,3376,1687,3376,3375,3376,3376,3376,0.02628896443443603,0.09069430129763648,0.17214693090087002,0.21322241107317558,0.2551071870023384,0.2959965915830194,0.34799247339199174,0.36818078371983043
4,5000,27936543.637848422,238552,1352809,2300109,3864869,4837357,6144007,8676655,9306374,8439,844,0,0,8439,8439,8439,9283,0.008541646599129114,0.04842581419250225,0.08233334194154975,0.1383445658167919,0.17320749340950153,0.21999369737656976,0.31067826164763496,0.3332361924315461
5,6000,34144663.20869255,192564,962956,1154217,2135581,2460496,3212765,6104917,6717614,23675,41393,40550,26206,13365,21143,20827,42237,0.005643564565663518,0.028236470992583963,0.03384392354485294,0.06259312919506531,0.07208914190592848,0.0941510424584386,0.17890476799454516,0.19698346266893207
6,7000,40352782.03686923,356974,659430,782540,1076808,1174328,1463533,2724006,3034296,93448,96033,97720,69032,46542,60701,65234,98511,0.008866863015495626,0.016380607370855,0.01943954276565961,0.026730579924025548,0.029135141331114237,0.03632309283456458,0.0676140925108453,0.07537823743524912
7,8000,46560899.98756781,334034,1017825,1197575,1690793,1784556,1982213,3078803,3339464,5221,9387,9387,9387,1688,1688,2532,10284,0.00717493563114395,0.02186448806232836,0.02572580187285917,0.03632090326369303,0.038328741484639176,0.04257402381572283,0.06612781188597748,0.0717383417846042
8,9000,52769016.92555332,107038,1032294,1128279,1488161,1598753,1804223,2550911,2758976,3376,1688,2532,3376,2531,3375,3375,5907,0.0020285549104012432,0.019563127810702904,0.021382493103185775,0.02820322038918538,0.030298644527051385,0.03419314034965339,0.04834416690313486,0.05228986699026662
9,10000,58977132.7160674,126637,1437718,1824303,2150314,2227037,2345881,2927703,3187780,0,0,0,0,0,0,0,0,0.0021472220531585746,0.024377549972149054,0.030932378635338386,0.03646013125718098,0.037761025289608195,0.039776111383605824,0.04964132478421408,0.054051118682674426
10,11000,65185247.223793805,161044,791988,962827,1383962,1476114,1553727,1938062,2067866,2532,7596,10972,10972,9284,9284,15192,17724,0.002470654980343834,0.012151220320607016,0.014773114034546125,0.02123478926689688,0.02264813478753644,0.02383895723435631,0.029738535487574776,0.031731541996750094
11,12000,71393360.31408978,107864,312259,333208,431122,437029,451374,745914,871181,5064,7596,6752,6752,5064,6752,10128,11815,0.0015109479504235078,0.004374247484779929,0.00466765417028832,0.006039255963851532,0.006121857819343202,0.006322950629815971,0.010449428749849003,0.012204569068470984
12,13000,77601471.85151476,204365,549609,562045,628019,638994,657250,873374,924661,844,844,0,0,845,7599,9287,10131,0.0026335482799320006,0.007082532902332332,0.007242710564503669,0.008092874851673851,0.008234392245602419,0.008470385300366786,0.011255953182286888,0.011917064325122415
13,14000,83809581.70149112,105624,683125,716664,897289,928493,1030192,1410221,1509421,5065,5064,5064,5064,5064,5064,6752,5908,0.0012603616625608517,0.008151410195250671,0.008551615350293324,0.010706928750501415,0.01107927144580989,0.01229279790940996,0.01682784465659765,0.018011394170815962
14,15000,90017689.72859001,148489,691785,807443,1137213,1178990,1238753,1569936,1668514,3376,37266,61745,66810,64277,62589,66811,71875,0.001649615420584354,0.007688172286081323,0.00897598265946927,0.012642600088307395,0.013106673379444558,0.013770792205964291,0.01745325918090238,0.018550212759034013
