,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292261174,300146,397451,397451,398032,398032,398032,414706,414706,412421,123985,412421,203858,261211,263138,334052,254429,0.11151046995332581,0.13336943401775755,0.1476612974799574,0.13724282434231494,0.14001162633014555,0.14010659632375347,0.14971289100852375,0.14552968732755922
1,2000,9312181.820186298,785743,1086864,1094409,1134619,1135780,1135780,1208380,1209003,845551,375906,845551,424907,563622,635536,664659,557348,0.09280468425842035,0.12162381979581083,0.12926145278363735,0.12766781977112482,0.12982479669160152,0.13090081392484607,0.1397371276291084,0.13809548243078737
2,3000,15520302.808606332,1567949,2992289,3030013,3097312,3099633,3109499,3180041,3228260,1008870,427539,1008870,275936,641640,584333,759245,642042,0.10804922027203906,0.19825984411772946,0.20880177994573923,0.20317747787670573,0.20832739069851527,0.20818862382864883,0.21543449265173253,0.2169783176628153
3,4000,21728423.459522806,1732771,3459548,3494948,3547743,3558770,3568056,3610355,3630575,1927272,874832,1927272,1006877,1249890,1485010,1731217,1646348,0.08750859784806467,0.16589698741893186,0.17650226084802775,0.17121033929249027,0.17378051055433963,0.1762576260735085,0.18054296770440775,0.18078684184399885
4,5000,27936543.63785138,2548800,5847214,5864622,6067048,6071690,6080974,6322630,6343518,1926434,793296,1926434,695773,997594,1401803,1729712,1518825,0.09799266652420574,0.2154205745021474,0.22547471278112072,0.22271939662271387,0.22538703556091103,0.22917028219697722,0.24125884759254987,0.2401236112383675
5,6000,34144663.20869139,2906221,7359683,7608471,7850945,7898810,7953338,8091767,8229986,2069278,532597,2069278,751560,1236397,1449585,1647943,1078361,0.09060595784248004,0.21895955322428043,0.23720591196324436,0.2351067809102748,0.24002510341653455,0.2432579591715352,0.24900257466092907,0.24889344892749363
6,7000,40352782.03686938,2732396,8842427,9335287,9604916,9689435,9768787,10048613,10245970,2115463,698559,2115463,1532533,1037068,1418879,1806593,1773243,0.0714588801941202,0.2229882802590423,0.2441407304470976,0.24742025716727806,0.2464519655146914,0.25090695352965814,0.2606901810808979,0.26558041531310717
7,8000,46560899.98757371,2621648,8228125,8805938,9240306,9446468,9670641,10032610,10320686,892840,502338,892840,404000,338671,603566,706065,818926,0.05740659885077997,0.17864485222573584,0.19282487590662045,0.20019338392499628,0.20437067201020462,0.21042650129824372,0.2187906684806249,0.22562834745181137
8,9000,52769016.92554855,2064807,8085462,8805797,9135845,9294319,9489690,9782979,10048155,1117089,691023,1117089,651666,741321,818537,856844,886297,0.03997541007522947,0.15525678680248498,0.17048341375936124,0.17529373304201268,0.17864175675394384,0.18266799485971827,0.1884525044642335,0.1936705518604085
9,10000,58977132.71606019,2194960,6880843,7423135,7938701,8177458,8591402,9145789,9596175,2197105,1817904,2197105,1204294,828568,1382064,924017,980258,0.038657254818126076,0.12038026324989004,0.13073496612437144,0.13741234075439557,0.1406304358487708,0.14916905546818657,0.1575417423714581,0.16546020879540044
10,11000,65185247.223804,1963366,6908926,7566457,8164938,8474851,8867973,9972644,10478435,2155056,1342638,2155056,958425,533623,997872,957807,878039,0.031149611985605317,0.10821810204812207,0.1200449634229009,0.1271266071914403,0.13108488923128486,0.13815758891962446,0.15527076846360033,0.1629433976286549
11,12000,71393360.31407934,1370221,6980424,7656606,8475634,8891533,9246465,9548159,9879552,813295,667684,813295,521466,449923,625435,645099,551146,0.019413711136459767,0.0986971686067908,0.1084811407573557,0.11959090528099851,0.12533270640151795,0.13065898087251693,0.1349596275958213,0.13945854312513373
12,13000,77601471.85151356,2073826,6572967,6922422,7376849,7618869,7930509,8262195,8538969,1802398,1530859,1802398,1479256,1448628,1671062,1688182,1630219,0.027359516345312043,0.08640612653969461,0.09132594434545023,0.09690796461297867,0.10004707131956402,0.10444443821004762,0.10883726704719104,0.11239736978787865
13,14000,83809581.70149732,813639,2973372,3112370,3513899,3624469,3702993,3875003,4038737,3466295,2145987,3466295,2330331,2090689,2809207,2830615,2754980,0.01012703155925082,0.036410006329852175,0.03873839530069905,0.04312630479228777,0.044352889279098,0.04571575148443788,0.047851968947491524,0.04982736223753959
14,15000,90017689.72859132,1056847,2691244,2695807,2748252,2754181,2756526,2810100,2814727,5335693,4026970,5335693,4044289,3965161,4240026,4442592,4626985,0.01248018517309211,0.031296912137661524,0.0318344760887034,0.03196630558649102,0.032005811342124005,0.03213570853039213,0.03283782402343811,0.03296292036640783
15,16000,96225795.79824388,1057910,2132490,2132490,2196942,2196942,2196942,2238519,2238520,5234713,3357435,5234713,4106664,3613140,4420084,4639232,4227620,0.011626523912741233,0.022962502855335472,0.023436252591129258,0.023848922119800976,0.023721833490943454,0.023930341118950125,0.02444156552189506,0.024332221596536596
16,17000,102433899.77490449,1172739,1820859,1820859,1868854,1868854,1868854,1918243,1918243,5750630,5020434,5750630,4636975,4605362,5052984,4925966,4448202,0.012129699406426168,0.018692066702641504,0.018833237686719503,0.019109537485984054,0.01910336229598035,0.01919117298424105,0.01967268637266208,0.019576765217375315
17,18000,108642001.52417338,522459,954548,1071641,1141688,1149482,1161058,1215914,1217811,4834533,3703973,4834533,3579256,2926772,3834019,4063568,3123972,0.005032961572300902,0.009096302012002367,0.010323351635826181,0.010866725348780406,0.01087338130157636,0.011077953911880791,0.011626814047840377,0.011541259872759554
18,19000,114850100.91039908,339495,1790614,2194804,2389191,2415051,2442733,2537144,2799376,5023838,3110670,5023838,2635824,2135180,3861769,4023028,2679114,0.0030912005107282437,0.016024907102273025,0.019984327444434798,0.021291328214035746,0.021426187238509496,0.022008917135289675,0.022892817913283854,0.024956328522241764
19,20000,121058197.79920411,576321,2503409,3031676,3307777,3428185,3535806,3681384,4090385,6394731,4405442,6394731,3891495,3887454,4967108,5505952,4698260,0.005026195492669338,0.021460350275043224,0.026439772707282587,0.028231373939648568,0.02925802882906412,0.030457169504702508,0.03185904327984386,0.035152863411276054
20,21000,127266292.05493855,1803832,5447678,6397325,7084472,7600585,7931357,8110832,8344591,4266269,3625116,4266269,2429599,3023563,3778275,3895555,3641287,0.014665298064166294,0.04406038646526127,0.05201076260890296,0.05674991724494209,0.06117529015834092,0.06422774605305566,0.06574356442717971,0.06749921665355395
21,22000,133474383.54326248,2047395,6508974,7116078,7598325,7803966,7988375,8145578,8311825,4201380,3112237,4201380,2121845,2284515,3288951,3880237,3665835,0.01583776151155039,0.04992993880965213,0.05504689923614666,0.05784680741055799,0.05948604177026434,0.06136151214418978,0.06285452095848139,0.06403141467397151
22,23000,139682472.12842107,1271287,5724931,6036630,6382163,6457184,6550205,6660051,6810797,7793447,7133568,7793447,5012313,5510411,6185188,6805675,6461056,0.009639065864366962,0.04319108511416552,0.04577052559242212,0.047391070459150406,0.04812614448711188,0.049066204176100435,0.05012200131196178,0.0511238898213979
23,24000,145890557.6762042,1032084,4104279,4214512,4331152,4344204,4366728,4440909,4494260,13518994,12754549,13518994,11413529,11972438,12816613,12918899,11980291,0.007796870954282855,0.03082771551295251,0.0318384997725733,0.03220737431988189,0.0324392547513637,0.032814297424076,0.03339740997601557,0.033561728398817596
