,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292271176,2231497,2828045,2869810,2969147,2992921,3009198,3009897,3011994,49629,49629,49629,50328,50328,48625,52403,52403,0.7305768374866685,0.9258825677874474,0.9395561427990341,0.9723009053190993,0.9800861317572165,0.9848670910344743,0.9863154277769705,0.9870025952953434
1,2000,9312181.820185784,3577792,5546572,5791214,5971941,6085431,6154170,6229567,6293190,2613818,2630769,2631468,2629316,2628617,2566676,2616932,2597715,0.5341292435054337,0.8301495730428121,0.8668555720051712,0.8936197674299526,0.9105067675293141,0.9123363264447532,0.9304457887767268,0.9372583361467668
2,3000,15520302.808599059,5001446,7507241,7842962,8096046,8347904,8463794,8654030,8801395,4608101,4619114,4621211,4616939,4603952,4534257,4578252,4543513,0.45833518181992833,0.6886625974295711,0.719597755274631,0.7425273651434948,0.7647156221311764,0.770413135668447,0.7908965285738789,0.801818669526232
3,4000,21728423.459535472,5140871,8494598,9140928,9751300,10101411,10269163,10713413,11080580,5919415,5926407,5891167,5811293,5576386,5467111,5500881,5452707,0.3251861755377325,0.5375641787079694,0.5771787571512317,0.6126292691254717,0.6253954663804075,0.6315088665538965,0.6601993509932053,0.6808044381670343
4,5000,27936543.637848556,7839657,11822454,13132598,14113532,14917770,15445280,16034467,16430163,6550517,6578491,6575977,6500211,6421699,6075946,6029013,6053755,0.366578473540547,0.5535361392943408,0.6148056941865246,0.6583930301156447,0.6933710306119016,0.7065351211285581,0.7319157628974415,0.7508258326629508
5,6000,34144663.20869027,8516928,13118695,14586602,15614555,16683819,17421553,18222008,18744545,7353359,7370148,7372946,7344510,7348008,6900649,6829645,6793490,0.31789896951852653,0.4899694690173898,0.5448511907657942,0.5826293185121343,0.6226082647281055,0.6394635117479454,0.6671058338962655,0.6853287373444116
6,7000,40352782.036865175,5357178,10131173,12669518,15209369,17121214,18275091,19426578,20106171,10634888,10643282,10571285,10190111,10161434,9558678,10005397,9337959,0.18026775360846223,0.3410078590157588,0.4254157534229046,0.5042447660358371,0.5670900808766182,0.5934607150161592,0.6401400969606154,0.6482761799447053
7,8000,46560899.98756552,2824106,7011364,9750590,11448375,13129293,14102773,15328200,16065132,20765186,20778943,20757192,20668470,20590928,20204195,20148689,19760694,0.10947966012343457,0.2719484794494669,0.3778755365197392,0.44215143211733793,0.5055566870186204,0.5350734474075329,0.5803452049968968,0.5994406165181616
8,9000,52769016.925554335,2393031,5203046,7793502,9753469,12532674,14374679,15795397,16283336,30166095,30191124,30112646,30083719,29950172,29558391,29571621,29483552,0.1058726392933515,0.23044869674756216,0.34398721779442776,0.4299467008107043,0.5492247324913859,0.6193145779913599,0.6809125063300633,0.6992918566178192
9,10000,58977132.71607858,1967072,4819130,6898600,8682601,11475484,14194268,16694431,17357798,36199016,36140420,36191293,36089777,36165809,35909830,35352467,35374578,0.08635797351110623,0.21102555608220305,0.3027582079905564,0.37936234782685674,0.5030608544611331,0.6153414716366549,0.7066525808506162,0.7354203055051276
10,11000,65185247.223795116,3580514,6880881,10202927,12549903,15022710,17520842,19882651,20727124,39298720,39233950,39288176,39017690,39074103,38470164,38466506,38198140,0.1383157334719182,0.2651459362767739,0.39397995672287456,0.4795978047422751,0.5753371001761687,0.6558408167111451,0.7441462467660322,0.768038005263656
11,12000,71393360.31406832,2725139,5570820,8790755,11504714,15256325,18473861,20653972,21545437,41380089,41280349,41239764,40462348,40731590,39571650,39583940,39296315,0.09079779979607314,0.18499710779165424,0.2915325557999404,0.3719475419421473,0.49756830227770804,0.5805426803798394,0.6493036275441144,0.6712592012497958
