,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292278515,0,1124,1124,5416,7992,9708,26459,41088,0,0,0,0,0,0,0,0,0.0,0.0003621063291794013,0.0003621063291794013,0.0017448112801028803,0.0025746919775816507,0.0031275162310263594,0.008523995875229342,0.013236854851711069
1,2000,9312181.820185434,22760,178989,193488,300716,555077,687740,992573,1329323,0,0,0,0,0,0,0,0,0.0024441103534581523,0.019220952023511477,0.020777944818537387,0.03229275435195614,0.05960762050380012,0.07385379852756194,0.10658866194477234,0.14275097132645218
2,3000,15520302.808600312,175409,908644,999392,1413682,2005635,2273771,2879007,3575203,0,0,0,0,0,0,0,0,0.011301905778719736,0.05854550721114091,0.06439255807858361,0.09108598056583227,0.1292265379570179,0.14650300500194033,0.18549940909687967,0.230356523586567
3,4000,21728423.45953156,118717,953264,1017124,1316218,1828129,2078241,2549028,3010461,11160,9443,11160,9443,11160,11160,13736,12877,0.005466480628243974,0.043890826356982694,0.0468348142433015,0.06060220011028954,0.0841786076503873,0.09569534411518474,0.11738727553645337,0.13863160227674698
4,5000,27936543.63785138,77738,426651,446395,584498,798108,916303,1208477,1456345,0,0,0,0,0,0,0,0,0.0027826634893613807,0.015272146960296412,0.015978891511660622,0.020922344853286017,0.028568602127238066,0.0327994404704559,0.04325792824143885,0.052130464630090814
5,6000,34144663.20868324,21879,283877,316819,454305,645075,713426,992404,1238427,0,0,0,0,0,0,0,0,0.0006407736361691806,0.008313949335655125,0.009278726753392917,0.013305300369296568,0.018892410683844518,0.02089421692753937,0.029064688497136046,0.03627000191599661
6,7000,40352782.03687228,30327,226792,241929,297666,342043,370736,542503,646282,0,0,0,0,0,0,0,0,0.00075154669564762,0.005620232077004485,0.005995348716699082,0.007376591773226644,0.008476317684551683,0.009187371509137602,0.013444004914067359,0.016015797855262148
7,8000,46560899.98757464,4710,123286,136165,235665,302634,366075,550237,627121,61825,61825,61825,60108,53238,48945,61825,60108,0.00010129233756281375,0.0026513645708639184,0.002928337822556377,0.005067978198370717,0.006507185849954232,0.007870557152409408,0.011833289159989374,0.013486243420704995
8,9000,52769016.92554572,4294,86169,94755,135258,156842,170672,246168,279933,0,0,0,0,0,0,0,0,8.137350760311881e-05,0.001632946850641161,0.0017956559648191716,0.002563208637955902,0.0029722365345804286,0.0032343221447693276,0.004665010158277725,0.005304874267318085
9,10000,58977132.71606147,5151,164190,214846,288609,365768,406253,469032,507909,5404,1812,5404,387,3057,5404,10470,5107,8.734693915454236e-05,0.002784045902700519,0.003643203356551506,0.004893606734245452,0.006202182833030544,0.006888945073257677,0.00795418934014463,0.008612710752814908
10,11000,65185247.22380632,2576,212496,337126,362106,380997,428096,509561,529071,59119,12782,59119,16060,20123,47824,59927,56706,3.955401726243515e-05,0.003260518061888183,0.005176509170658273,0.005556398896865827,0.005846639664055348,0.006572197345435368,0.007824314694328855,0.008123489180909362
11,12000,71393360.31408405,0,126093,193789,210102,220404,234999,298780,322815,71991,48084,71991,68556,57529,12021,12021,13738,0.0,0.0017673629778220982,0.0027171239400437574,0.002945707345719454,0.003089667505654833,0.003292162941437455,0.004185687784384967,0.004522509219501779
12,13000,77601471.85150445,0,168127,193028,206766,218787,230390,290782,331138,108350,2576,105600,91863,83453,57522,33482,34516,0.0,0.0021666158797121653,0.002490816547878514,0.0026676176420413803,0.002822401852388851,0.0029710893040810218,0.003748737082869761,0.0042690601476476206
