,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292271866,432808,450794,450794,579703,1591618,1938433,2291643,2508212,0,0,0,0,0,0,0,0,0.13943284352269741,0.1452271891068808,0.1452271891068808,0.18675633927431623,0.5127535155124411,0.6244829697423174,0.7382726285763778,0.8080422065159423
1,2000,9312181.820187077,538280,748607,748607,1074606,2501069,3440216,5076282,5496526,0,0,0,0,0,0,0,0,0.05780385417659148,0.08039007554353797,0.08039007554353797,0.11539787568048276,0.2685803443590575,0.3694317901463492,0.5451227325690275,0.5902511469529681
2,3000,15520302.808601305,571658,995824,995824,1703461,2942765,5113219,8598224,9281490,0,0,0,0,0,0,0,0,0.036832915378634805,0.06416266565676267,0.06416266565676267,0.10975694359880318,0.18960744750219233,0.3294535591899837,0.5539984693620083,0.598022481549537
3,4000,21728423.45953006,344984,552735,552735,1056063,1309492,2583821,7345370,8231956,104587,104587,104587,54952,69134,62043,101042,96610,0.015953875744743648,0.02556137533848202,0.02556137533848202,0.04872606596372626,0.060458677670232865,0.11925485222722074,0.33963288684508214,0.38054858486094006
4,5000,27936543.63784562,94729,241948,241948,427350,445521,678091,3598074,4404507,0,0,0,0,0,0,0,0,0.0033908632802975196,0.008660627568552653,0.008660627568552653,0.015297167951051367,0.01594760632437196,0.02427254454919006,0.12879452972577793,0.15766112863128912
5,6000,34144663.20869136,76381,117388,117388,163586,163586,236031,1195861,1503908,0,0,0,0,0,0,0,0,0.002236982088039972,0.003437960400503217,0.003437960400503217,0.004790968327910172,0.004790968327910172,0.00691267617892097,0.035023364930880305,0.044045184771867585
6,7000,40352782.03686716,15068,15068,15068,39886,46091,103385,582946,688800,0,0,0,0,0,0,0,0,0.00037340672041480454,0.00037340672041480454,0.00037340672041480454,0.0009884324695025812,0.0011422012974939444,0.002562029054292843,0.014446240645004554,0.017069455071789048
7,8000,46560899.98757073,94046,107340,107340,108225,413969,543425,725403,807260,0,0,0,0,0,0,0,0,0.0020198492732121853,0.0023053678092273566,0.0023053678092273566,0.0023243751737807962,0.00889091491166424,0.011671273539494842,0.015579660191139856,0.017337723287468566
8,9000,52769016.925551474,5210,5209,5209,5210,12300,36326,114046,146438,0,0,0,0,0,0,0,0,9.873217853102067e-05,9.871322801690724e-05,9.871322801690724e-05,9.873217853102067e-05,0.00023309132359530793,0.0006883963756848094,0.0021612303325813406,0.0027750753857438784
9,10000,58977132.716065675,886,1773,1773,3545,6204,20453,118081,172306,0,0,0,0,0,0,0,0,1.5022771694674961e-05,3.0062499113610276e-05,3.0062499113610276e-05,6.01080425029602e-05,0.00010519331331124543,0.00034679542829705077,0.0020021488763870363,0.002921573024404812
10,11000,65185247.22379869,17127,20629,20629,23288,64073,169591,501284,623498,0,0,0,0,0,0,0,0,0.0002627434999394625,0.0003164673124453303,0.0003164673124453303,0.00035725875089567366,0.0009829371326923093,0.00260167763754501,0.007690144953795382,0.009565017033062123
11,12000,71393360.3140862,58200,68877,68877,71535,297403,463860,676681,755390,0,0,0,0,0,0,0,0,0.000815201858323468,0.0009647535806829125,0.0009647535806829125,0.001001983933593974,0.004165695502937703,0.006497242852266733,0.009478206334917227,0.010580675803418633
12,13000,77601471.85151374,45189,52278,52278,63799,229742,385638,677062,817277,0,0,0,0,0,0,0,0,0.0005823214292438516,0.0006736727893516137,0.0006736727893516137,0.0008221364682628181,0.0029605366305370984,0.004969467598989587,0.008724860287386324,0.010531720346281779
13,14000,83809581.70149863,136082,138477,138477,189062,595151,749697,1087728,1190384,0,0,0,0,0,0,0,0,0.001623704560233674,0.0016522812450395974,0.0016522812450395974,0.00225585185084654,0.0071012286175073215,0.008945242116470251,0.012978563762245219,0.01420343564342971
14,15000,90017689.72857893,155847,188383,188383,531601,807192,1059422,1344860,1472593,0,0,0,0,0,0,0,0,0.001731293043288596,0.002092733112436143,0.002092733112436143,0.005905517033406232,0.008967037506004019,0.01176904232039687,0.01493995240330004,0.01635892905539076
15,16000,96225795.79824042,441230,727695,727695,1148022,1725299,2067288,2551693,2699661,0,0,0,0,0,0,0,0,0.0045853608831164195,0.007562369258299307,0.007562369258299307,0.011930501488468777,0.017929693235455152,0.02148371944186927,0.026517764585186836,0.028055481148323905
