,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227572,2811145,2879609,2927988,2977494,3042958,3069347,3077300,3093753,1302,3535,8013,8013,8013,8013,2802,6524,0.9060147230014572,0.928748652439745,0.9457180091026245,0.9617080731871203,0.9828524507419102,0.9913758984275596,0.9922745465335345,0.9987785037981889
1,2000,9312181.820187613,8851015,8969620,9062754,9143275,9196155,9242706,9263034,9296343,1675,2420,3152,3152,3897,3897,3153,3897,0.9506480335537357,0.9634639610811484,0.9735444160192142,0.9821941895783644,0.9879537613691807,0.9929547901192938,0.9950591172209212,0.9987170761941325
2,3000,15520302.80860209,14772872,15020481,15174833,15309187,15381927,15412999,15435275,15476470,745,5211,5956,5956,5211,5955,5211,2978,0.9518874301825647,0.9681206650464123,0.9781161390298531,0.9867761233435662,0.991417078916139,0.9934674141734855,0.9948555374607685,0.9973671487124222
3,4000,21728423.45952758,20511268,20751755,20926767,21129941,21257613,21334141,21419632,21479273,0,0,2232,1488,2232,2233,0,2232,0.9439832594484036,0.9550511125969738,0.9632045744871218,0.9725228410311411,0.9784325540718692,0.9819549837668088,0.9857885934475298,0.9886349864868149
4,5000,27936543.637846142,26431334,26688806,26892511,27052720,27173018,27232731,27295453,27393099,1489,3723,3723,4468,5212,3722,1489,744,0.9461708359858042,0.9554640523427617,0.96275672796049,0.9685180704345984,0.9728507882231204,0.9749366302150589,0.977103977560165,0.9805732914438964
5,6000,34144663.20869179,32502938,32691136,32873147,33045298,33118712,33154168,33281246,33384622,4466,4466,5955,5955,5955,5956,1488,1489,0.9520430652850781,0.9575555700562013,0.96292884894896,0.9679715412192016,0.9701220033735167,0.9711606182778613,0.974755446632498,0.9777831960187613
6,7000,40352782.03686459,37918963,38161738,38464669,38632347,38775940,38886383,39007625,39144846,250863,371746,370258,371001,372491,368768,98350,2523,0.945564798660686,0.9544959756623839,0.9620370380953163,0.9662487762708628,0.9698763814461956,0.9725482530130017,0.9690268381945426,0.9701262627393963
7,8000,46560899.98756552,43517631,44023541,44559962,44822192,45061487,45176049,45325512,45485178,277474,509501,552018,559739,559738,551552,11071,300552,0.9402422156841074,0.9559653336891445,0.9685078201214038,0.9743708862503665,0.9795727988823517,0.9818884851880377,0.9736987865649827,0.9832433169812325
8,9000,52769016.92557123,49054610,49475806,50302045,50644495,50885120,50986898,51288044,51492745,81255,108690,107853,113530,113530,109808,8180,112227,0.9310437226256912,0.9395271333945162,0.9552019220671708,0.9618085019626962,0.96637830112418,0.9682427639971788,0.9720854897042502,0.977893735504641
9,10000,58977132.71605745,53426831,53840324,54742726,55121451,55386854,55463766,55732160,56016891,145158,269491,516455,530138,592989,473884,393769,346103,0.9081257472293858,0.9170922630549787,0.9364025211251317,0.9431015447036526,0.9486626072545601,0.948045915692487,0.9513308295188255,0.9554137335005476
10,11000,65185247.2237913,59805155,60319358,61105697,61438047,61742021,61872651,62139779,62415805,27680,12794,103009,92965,142474,74800,62683,49218,0.9178543267981781,0.9255345627833498,0.9388997469614122,0.9438606990114771,0.9492525908691736,0.9502722472069243,0.9541973621686476,0.9582377947165726
11,12000,71393360.31408101,62222316,62827262,63947251,64378795,64799810,64988009,65290993,65604115,113657,118904,122038,116507,123211,115227,112169,120447,0.872931747847332,0.8814835671722664,0.8972367696251652,0.9032216211385656,0.9092138942270652,0.9117523983636873,0.9159638299577957,0.9204634965726726
12,13000,77601471.8515293,67035153,67659511,69465215,69967136,70447085,70604056,71085716,71539651,142116,153985,156809,147534,147534,145092,148810,148809,0.8654235794122797,0.8736179022788262,0.8969658132952705,0.903338654441551,0.9095352276993242,0.9115331252936938,0.9177956483440913,0.9236564420920675
13,14000,83809581.7014817,75325687,75984876,77609725,78119439,78527145,78894699,79255792,79826170,133565,132820,135028,135772,135772,135772,135772,134284,0.9002064148049504,0.9080762024596192,0.9275188401587577,0.9336187664778536,0.9384913305627751,0.9428840312335263,0.9471995153890612,0.9539992350524551
14,15000,90017689.72860968,79060706,79651898,81869721,82485949,83004281,83258124,83641666,84372142,132590,138551,140061,139317,139317,139318,140804,141548,0.8795752159001681,0.8862111845609595,0.9109021027602988,0.9177508058481286,0.9235178439493315,0.9263421488253069,0.9306248800449382,0.938760169019832
15,16000,96225795.79822397,79343000,80175938,83917432,84932513,85674527,85970642,86579367,87795108,7438,8182,13392,14136,11905,11161,5951,8184,0.8246139491009328,0.8332771395488496,0.8722101172733517,0.8827673608180265,0.8904590209294548,0.8935297855704892,0.8998078014110253,0.9124640111013498
16,17000,102433899.7749114,84497016,85368953,88666907,89460613,90391318,90724266,91352943,92499751,17110,22321,32468,40209,40955,40209,34992,32018,0.8250308976263077,0.8335869246545932,0.8658756568452943,0.8736926301119299,0.8827885378109365,0.8860337518200813,0.892128099655202,0.9033012811553875
17,18000,108642001.52419102,87868473,88647032,92386386,93428692,94329637,94634193,95235081,96390517,38105,57902,97191,113970,117559,93808,71570,60437,0.8090729321155407,0.81639054326044,0.8511359092511397,0.8608715249679493,0.8692017651136343,0.8718173000171564,0.8771732751083363,0.887724517715206
18,19000,114850100.91040683,92972670,94391507,98606714,99829228,100727383,101240709,101975909,103364925,49541,68439,164506,150405,163195,105846,76614,86774,0.8098625134978275,0.8223570335972098,0.8598003443852931,0.8703530310836891,0.8782814585536732,0.8823161480202169,0.8884970888756153,0.9006790564785099
19,20000,121058197.79917192,98661508,99876398,104446060,105738254,106784883,107373123,107947469,109239887,365270,355607,416902,393919,416898,396077,344231,334901,0.817458900029078,0.8274586099496151,0.8657571133342958,0.8763012140153416,0.8851436711786237,0.8898660349150508,0.8942417506632754,0.9048782620783208
20,21000,127266292.05497289,100439739,101996003,107551032,109363995,110523503,111071243,111716958,113139111,564603,432983,869988,790218,799225,631899,480590,542304,0.7927261250354883,0.8041736335664967,0.8509032981947272,0.8647010576282189,0.8739310998013221,0.8771017124217051,0.8811479227488976,0.8927994828486635
21,22000,133474383.54325318,101871948,103179430,110280807,112039577,113408713,113917567,114732427,116522253,1035786,704577,1389940,1425866,1585046,1426981,1021429,1076631,0.7692013498310385,0.7771302277704731,0.8349265367036715,0.8484728119973088,0.8598777968901963,0.8627020661211824,0.8662126669475957,0.8800923789241302
22,23000,139682472.12840748,105172892,106336933,114088684,115629445,116770454,117265216,118153012,119860719,290609,287122,526397,520486,495505,411893,374978,369408,0.7545124201626817,0.7628441902979196,0.8198613240185431,0.8308982087486626,0.8389467520495145,0.8419956083609121,0.8481454119840228,0.8603695550728977
23,24000,145890557.6762104,107744384,108919816,116845438,118375242,119631343,120146277,121103772,122992962,246084,203216,352042,345518,351626,300592,331457,361158,0.7397766717845539,0.7476271771234175,0.8028489053712361,0.8133237811700473,0.8219886021023664,0.825237346832015,0.8319903835445496,0.8451416845918975
24,25000,152098640.05070233,104150175,105934630,112605296,114193150,115383323,115777377,116741076,118327108,4283120,4276867,5096706,4938760,5248235,4372323,4418271,4739124,0.7045956673850984,0.7166375278401295,0.7660123434917624,0.7759801785694307,0.7857201548757197,0.7837288528641997,0.7904982683238007,0.8029824688029439
25,26000,158306719.1179552,91605067,93154619,100903170,103009478,104489130,104978444,105996508,107367528,15876657,16053681,16228437,16182256,16244475,16199511,16213617,16253414,0.6431582324533155,0.6548515253695801,0.7101941865839065,0.7247835857399721,0.7355165381819676,0.7387270877411319,0.7459651905692757,0.7558256241264252
26,27000,164514794.7418077,83752851,85752765,91991674,93210033,94398174,94816503,95628222,96873100,24109482,24198750,24263809,24298308,24292409,24261605,24109121,24184235,0.5965077059015117,0.611140124123308,0.6559075040609715,0.6647580121703905,0.6732033084490227,0.6760381220173876,0.6810851687934701,0.6903207696045359
27,28000,170722866.78809834,78776549,80707306,88189103,90005149,91107266,91478027,92549752,94064169,30800775,30910152,30999909,31002850,30955595,30956614,30939784,30906383,0.5630029396594589,0.5772529781881488,0.6311711718395356,0.6441822085986669,0.6518497845341652,0.654507258906706,0.6620955136631171,0.6727688070210722
28,29000,176930935.1218152,75339304,77930262,86111835,87466663,88596615,89370908,90764524,92187876,35588126,35721138,35779598,35786014,35751321,35739100,35723702,35682798,0.5330253761623586,0.5518757450856837,0.6100674407758852,0.6196940159434561,0.6275453828876132,0.6329750436552795,0.6427753167693626,0.6526661369027142
29,30000,183138999.60703468,68353224,71603706,80130455,81571900,82592186,83063327,84045890,85490134,40634735,41252456,41048661,41187478,41235818,41163857,41132291,41121573,0.47965739262953794,0.5046546640695666,0.5639402072339974,0.5746461825595361,0.5820319535098119,0.5850554222009587,0.5918445038577322,0.6019693219519676
