,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629228034,24997,237754,357606,456485,658033,1456581,2153768,2279393,241030,86355,204670,156332,139658,161435,177889,211608,0.008730957938350804,0.07878634605616598,0.12333833061163373,0.15485991331554377,0.221978281058049,0.4949936497297885,0.7360361157517595,0.7880485152866087
1,2000,9312181.820183352,54925,600770,814141,1051146,1535281,2793138,4405283,4829841,265928,47709,234493,162351,159743,142394,157113,185452,0.006071574056152978,0.06484664714987098,0.08968593395599078,0.11488146837439955,0.16774556270338922,0.3046022497763913,0.48118513214101366,0.5291973242506888
2,3000,15520302.808604592,75565,728108,1084756,1389254,1808412,2461127,4029957,4540343,372503,80968,306348,272329,263582,238604,288680,253459,0.004988513246463416,0.04715928561858854,0.07130006718479878,0.09111072837861443,0.11853215528333448,0.16105061556469266,0.2645783086043472,0.2973989291382547
3,4000,21728423.459530633,58424,577552,1129636,1417766,1666233,2000848,3873048,4533516,357446,69040,318681,276124,274632,270259,290429,280999,0.002733801021063973,0.026665209611304225,0.052762708478874674,0.0660892321904507,0.07766613202813588,0.09324413575884047,0.18066279508147598,0.21137810782615593
4,5000,27936543.637845486,631951,1712317,2299944,2750176,3116626,3501350,4399080,4857563,641310,182825,374542,509102,577826,578061,521314,589444,0.023152430508005802,0.06169684943281989,0.08344618907655597,0.10027096352308691,0.11391710829636077,0.127980416397674,0.16046117643775884,0.1776262588840554
5,6000,34144663.20869945,554746,1576607,1982194,2707946,3141968,3764401,4888440,5368542,2128064,689845,676060,1804520,1907874,1861835,1544878,2355791,0.01732682463817913,0.04712645545298542,0.05922547731196535,0.0837332717584122,0.09746528972408039,0.11660691484848233,0.14995313523401652,0.16888117215214785
6,7000,40352782.0368592,289038,1099283,1256571,1560341,1673861,2334980,4286423,4958494,737863,269150,237443,509116,653893,673378,544331,770217,0.007296190602612825,0.02742473533808379,0.0313239531353686,0.03916158213344464,0.04216392550546871,0.05884614592071439,0.10767620664343712,0.12526964827526113
7,8000,46560899.98756862,232890,789394,948962,1154813,1248372,1662958,2486166,2922736,598055,178237,298347,394876,508151,517407,353868,690785,0.005066918726701727,0.017019160806087646,0.02051252986956857,0.025014348220911614,0.02710743717681181,0.036117112149788154,0.05380492736838994,0.06371765147726573
8,9000,52769016.92554796,147829,765218,973074,1161858,1395577,2255507,3202700,3593439,1488768,480720,318450,794284,1003730,1314156,1060835,1774191,0.002882766817583664,0.014634594067761958,0.01855221129222969,0.02235428514205782,0.0269597076126943,0.04383467294302051,0.06193797346445885,0.0704667372577444
9,10000,58977132.716074795,123738,586653,804235,964224,1112166,1905220,2903903,3330784,1123965,331031,433544,706326,978823,949864,835008,1340465,0.002138828432131276,0.010003273582278009,0.013737371036483361,0.01654729107661394,0.019175834700088722,0.03283318415902304,0.049944906798308764,0.05778932287355413
10,11000,65185247.22380996,103825,463413,633045,866752,1082802,1539933,2573322,3368230,802929,284220,356591,427304,503911,627179,511206,598784,0.0016126322081021819,0.007140303009410453,0.009764894675813105,0.013384489328273104,0.016740563247693203,0.02385345538316542,0.03978910164427182,0.052150711339126146
11,12000,71393360.31406337,87385,251773,326169,344847,370076,728556,1533300,1756038,894575,246823,241773,539634,607380,685168,738756,763452,0.001239524902602373,0.0035387948522159858,0.004584142284279461,0.004867027013814984,0.005228097405136527,0.010303699983786677,0.021701345791767544,0.024862526965086673
12,13000,77601471.85151511,49971,161460,194805,223570,302237,655530,1544597,1851292,584326,119928,177091,433775,481124,493743,509078,561582,0.0006488295488947536,0.0020838510950352304,0.0025160679085519336,0.002897196743220028,0.0039190305596379935,0.00850148240343509,0.02003566010643012,0.024030304347113386
13,14000,83809581.70148683,28088,82648,105385,127335,138114,316157,1128394,1390439,716587,154089,234820,597834,642804,659547,628642,783601,0.0003380309026158785,0.0009879566461334234,0.0012609668021120444,0.0015302526808690592,0.001660687161593984,0.003802247360870274,0.013565535614883543,0.016747034943184958
14,15000,90017689.72860074,35622,185922,286783,389984,479390,651177,1252298,1656485,607140,178529,245290,442854,447714,525816,528459,671275,0.0003984093611786082,0.0020694984068435405,0.0031945564657623084,0.004353722748446864,0.005352128278482107,0.007276381339101297,0.013993840262164258,0.01854002765563397
15,16000,96225795.79824293,34204,189203,261139,296731,322261,392430,1099206,1283808,395712,112312,102765,270685,307349,338918,325759,404611,0.0003569234069753275,0.001968537530042781,0.0027167162524048658,0.003092393907229312,0.0033597395574789823,0.00409263508220299,0.01146199768736835,0.013397955814292345
16,17000,102433899.77490318,5198,33505,57050,70680,83780,134172,728596,936912,778774,307621,330599,553540,548720,666176,603991,650069,5.113367339203364e-05,0.00032807422733818065,0.0005587478520970871,0.0006937549117039047,0.0008222982006322873,0.0013184140808412972,0.007155029487560226,0.0092049198076657
17,18000,108642001.5241754,29457,78794,100020,137345,155459,197054,685226,787256,922777,576449,556917,573489,660081,730769,1039344,1310694,0.0002734609363381461,0.0007291315147106933,0.0009253820769102375,0.001270906731220857,0.0014396761906563353,0.0018260749635665026,0.006368114094636076,0.007334821667225825
18,19000,114850100.91040576,44507,162530,219988,266821,333102,662774,1549534,1727300,2066665,1248260,1173004,1081859,1174545,1585127,1918149,2124862,0.00039462355123988244,0.0014306986462321713,0.0019352007218602957,0.0023453030082870195,0.0029302869674333225,0.005851535361004576,0.013720952961384378,0.015323099038830704
19,20000,121058197.79920411,41142,286928,380529,412473,459217,786341,1562036,2022679,2670430,1543098,1321889,1612655,1750833,2244236,2514548,2840574,0.00034751901116828544,0.002400767773127114,0.003178058550628457,0.003453230571302225,0.0038490247502563513,0.006618254185723714,0.013176884655111128,0.01710979238963199
20,21000,127266292.05495238,97829,367223,540464,619064,722856,993330,1611104,2109021,2783033,1870305,1813706,2128946,2109116,2270445,2406812,2970969,0.0007858807741916041,0.0029285067937546644,0.004308113662665024,0.0049470763086836315,0.005775585729759657,0.007946904024445698,0.012903337410110396,0.01696782266753173
21,22000,133474383.54325056,9094,185938,301214,373337,444819,645545,925728,1101704,2171020,1267445,1153383,1540623,1560594,1904283,1943102,2135919,6.92594595796816e-05,0.0014064163503731061,0.0022763884701850097,0.002829730604681829,0.0033720432226242523,0.004906471890912574,0.007038082417646018,0.008388281405842095
22,23000,139682472.128412,44413,483564,815548,968417,1046190,1226474,1468786,1574147,1557984,912136,862116,1027728,1089514,1296803,1289173,1500457,0.0003215432730415622,0.003484635214492318,0.005874844459018672,0.006984376957943264,0.007548651923791557,0.008862724064743437,0.010613129459665143,0.011391837053014109
23,24000,145890557.67619538,138981,560147,735020,897576,1013319,1212750,1456566,1699361,1906871,1046074,1002017,1000078,1273070,1535082,1740289,1959413,0.00096525518416926,0.003867230465277691,0.005073002989537052,0.0061948583647864494,0.00700689118779925,0.008401136114298336,0.010104497295609506,0.011806763600908508
24,25000,152098640.05074334,13062,301019,440732,544920,680103,969947,1353825,1528777,1289553,926298,769127,795261,884602,1011959,1076537,1223649,8.661281793719085e-05,0.0019912306438895967,0.0029123995122631178,0.0036015058184341513,0.0044976181362988,0.006419804798506611,0.008964416285112355,0.010132739623400083
25,26000,158306719.11795187,14202,289618,424586,458498,490256,682994,1070435,1170992,1467228,962357,815563,1047754,1090994,1105144,1332469,1564602,9.055117367933386e-05,0.001840663345680542,0.002695935508162816,0.0029155603285072125,0.003118364906768601,0.004344702013879532,0.0068191757514093265,0.00747081908507592
26,27000,164514794.74180532,8345,182897,220064,263224,300210,504437,918925,1056036,1391508,776088,712768,731361,853800,945873,1242017,1373164,5.115762541744654e-05,0.0011170052801773062,0.0013434754403062316,0.0016071466691494375,0.0018343405554488838,0.0030839415863867913,0.00562815805983996,0.006473123967182394
27,28000,170722866.78812122,3028,80721,123103,136165,169432,296214,469474,512093,2988081,1376302,1248332,1975037,2157220,2201041,2682855,2845655,1.805230790841979e-05,0.00047666157327132366,0.0007263805158332762,0.0008069140810342152,0.0010051395597405902,0.0017577189103827023,0.0027938227033211097,0.0030504021036894245
28,29000,176930935.1217537,0,11520,18695,23060,26174,66509,131676,152869,2781133,1351313,1322213,1688843,1916667,1792397,2525792,2731481,0.0,6.561125864601524e-05,0.0001064582657064056,0.0001315893899736058,0.00014955352086946024,0.00037975080021373673,0.0007550006705253863,0.0008775515444104369
29,30000,183138999.6070919,757,43483,58305,64367,81748,118268,207402,249139,1109340,559786,526355,749638,748719,748484,968427,1074977,4.158662943357541e-06,0.00023815964118223694,0.0003192823811595776,0.0003529098376837413,0.00044820370760930437,0.0006484328398674771,0.0011385044084333401,0.0013684142338086258
