,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292265723,0,0,0,8779,10289,23883,45409,47141,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.002828230839739568,0.0033146904100786437,0.007694115177753742,0.01462890240366033,0.015186881195598925
1,2000,9312181.820189903,0,755,755,48215,69362,136208,331752,353642,0,0,0,0,0,0,0,0,0.0,8.107659564411333e-05,8.107659564411333e-05,0.005177626568186654,0.0074485229497576015,0.014626862171514422,0.035625593057120375,0.03797627739970268
2,3000,15520302.808598557,2266,80846,80846,225946,302224,395493,597051,625209,0,0,0,0,0,0,0,0,0.00014600230600813992,0.005209047851515481,0.005209047851515481,0.014558092247711906,0.019472815944838517,0.02548229921009589,0.038469030363841986,0.040283299089604215
3,4000,21728423.459528115,55518,366650,387680,728210,857265,955719,1171590,1240701,0,0,0,0,0,0,0,0,0.0025550864333718994,0.01687421090089353,0.017842067590504305,0.033514166426127576,0.03945362173177278,0.04398473740076657,0.05391969657542029,0.05710036912300424
4,5000,27936543.63785138,104805,779743,947166,1401912,1581107,1765059,2003205,2109481,0,0,0,0,0,0,0,0,0.003751537819374302,0.027911219444610242,0.0339041941722769,0.05018201314283351,0.05659637142290391,0.06318100846264,0.07170554188693,0.07550973475265037
5,6000,34144663.20868978,474607,1078290,1415433,2161109,2484418,2818686,3241020,3372313,0,0,0,0,0,0,0,0,0.013899888164051742,0.03158004498124838,0.04145400384677902,0.06329273148167999,0.07276153186269292,0.08255129016128786,0.09492025093910325,0.09876544921203821
6,7000,40352782.03685753,773930,1476270,1752799,2309074,2553180,2839053,3142654,3264248,0,0,0,0,0,0,2807,5073,0.019179098960094145,0.036584094713757294,0.04343688121426235,0.05722217610401513,0.06327147401306729,0.07035581827807705,0.07788490568158604,0.08090293297738708
7,8000,46560899.98758116,1341095,1863481,2077562,2609021,2977825,3540835,3889565,4072413,0,0,0,0,0,0,6255,7009,0.028803030017841152,0.04002244373491561,0.044620314481767585,0.0560345912706989,0.06395548627269346,0.0760473917158908,0.08354837634434918,0.08747739262194791
8,9000,52769016.92555806,1609312,2386620,2574688,3100514,3656449,4425733,4859077,5062592,0,0,5283,6792,6792,6792,6791,6792,0.030497289768924015,0.04522767599341174,0.04879654657557991,0.05876389792838529,0.0693005081790782,0.08388071212395314,0.09209385909638546,0.09595107119047357
9,10000,58977132.716053486,938925,1641218,1791993,2223964,2572225,3062128,3380983,3550366,0,0,0,0,0,0,0,0,0.015920153401157565,0.02782803985913786,0.03038453918449349,0.037708920348965023,0.043613937835601906,0.051920598017924556,0.05732701547696132,0.06019902691935371
10,11000,65185247.2238062,1250030,2244722,2471413,3205081,3728195,4376533,4826619,5048627,89713,51293,167485,173283,138944,184213,138947,85378,0.01920300700970128,0.03446316175257732,0.038011351290326234,0.04929986408296148,0.057316016671575015,0.06733020562305335,0.07420282142709037,0.07755202983040373
11,12000,71393360.31408268,1814250,3272447,3847552,4948127,5927587,6828046,7486755,7757030,14559,12347,11558,52711,33142,27458,26356,58098,0.02541721024449394,0.0458447820795279,0.05390102064207657,0.06935915284728474,0.08306570719711787,0.09567658753825659,0.10490499176693979,0.10874047067839326
12,13000,77601471.8515079,2696333,4747259,5411305,6944478,8010519,8975746,9753371,10101069,14938,26172,40281,26014,53276,40834,59326,14960,0.03475258999403795,0.06119549662182483,0.06976820418294025,0.08951900758733342,0.10329729675902238,0.11572553099916902,0.1257815461887986,0.1301910442801236
13,14000,83809581.70150977,2938419,4992301,5580977,7165962,8555766,9823655,10980977,11457564,4534,6600,18646,883,19662,17168,22787,1201,0.035062553874628526,0.05957187797662884,0.06660597537520327,0.08550379747002215,0.10210972907574987,0.11723800002938688,0.13105856405081134,0.13671143511061296
14,15000,90017689.72858131,2203003,4229424,4742739,6363245,7747284,9039157,10344160,10825570,36295,48463,88964,50404,71229,48759,115729,36586,0.0244828723387219,0.0470096737938996,0.05273886582485683,0.07072843143447739,0.0861321717079884,0.1004697613587225,0.11506044936249563,0.12030937109478243
15,16000,96225795.79821897,3637048,5348590,6245483,7788645,9050191,10388028,11433873,11927758,756,10699,41616,71227,74252,54601,77278,3770,0.03779731354361381,0.0555899248453389,0.06493253893833846,0.08100129923461595,0.09412424015772941,0.10801600231540827,0.11891886907706235,0.1239607865356414
