,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.62922693,1847501,2133578,2133578,2155832,2155832,2160245,2257253,2360963,0,0,0,0,0,0,0,0,0.5951884388482844,0.6873506206389307,0.6873506206389307,0.694519939366298,0.694519939366298,0.6959416255145802,0.7271935924016315,0.7606046666002142
1,2000,9312181.82018738,2335764,3153930,3153930,3273416,3274298,3281358,3759406,3891757,767195,1052136,1052136,463364,217164,824257,556405,696874,0.27334904654057496,0.3818296010285876,0.3818296010285876,0.36992692883021555,0.3600100697694445,0.38659131289614324,0.42936293114875734,0.45172582120407107
2,3000,15520302.808601985,2021539,2539934,2539934,2654607,2654608,2654607,2845576,2969582,2378703,2722779,2722779,1723719,314265,1968068,1272464,1968573,0.15382746617171972,0.19847073840118645,0.19847073840118645,0.19241045731515713,0.17457591737002656,0.19587964918635015,0.19971983387978906,0.21912936886588844
3,4000,21728423.459529437,1264213,1589583,1589583,1753245,1753245,1755834,2034750,2052399,5292107,5594077,5594077,3014088,635992,4657821,2762500,3519187,0.07691583470741921,0.09852168502686043,0.09852168502686043,0.09368459830120436,0.08312199583836477,0.10285717824913841,0.10728452027879712,0.1127119747476242
4,5000,27936543.637847945,1416752,2269674,2269674,2392164,2399223,2412519,2637409,2665647,6344944,6650903,6650903,4159892,1695641,5511893,2969494,4683199,0.06561588876057953,0.10662934879978657,0.10662934879978657,0.10060979302031435,0.0914306582022654,0.10758334829654788,0.10563558923686,0.11463499300919065
5,6000,34144663.20868951,519563,1262224,1262224,1402699,1402699,1402699,1558505,1570859,4962180,5604400,5604400,3927939,1630776,4370070,3083586,4017789,0.01780393382854042,0.04422608126528059,0.04422608126528059,0.04642127949781604,0.04314153490774001,0.047110601651834894,0.050175497441022406,0.05214145314640429
6,7000,40352782.03686401,397255,723915,723915,899544,899544,899544,1207725,1212137,4037858,4281944,4281944,2101416,1170087,3735181,2622577,3366066,0.010939166486944553,0.0200692592520353,0.0200692592520353,0.023516650336960043,0.022957685762903433,0.024565891115980062,0.03200950004962871,0.03277222554151291
7,8000,46560899.98757565,213708,248444,248444,281559,281559,281559,322402,322402,4774410,4942848,4942848,1135700,808381,4045035,2673129,3572735,0.005114284546597277,0.005969621069101664,0.005969621069101664,0.0061982996239314265,0.00615395624613497,0.006622445529034387,0.007346055467051857,0.0074997851174429045
8,9000,52769016.92554158,7942,20294,20294,22447,22448,22447,27742,27742,5614227,5794165,5794165,752705,772426,4801772,2113733,3254077,0.00016842403523672966,0.0004320183921424043,0.0004320183921424043,0.00043153770748167645,0.0004317206109174587,0.0004679651715424546,0.0005476625111958327,0.0005602753440015724
9,10000,58977132.71608102,3529,20295,20295,22943,22942,22943,22942,22942,4851004,5248136,5248136,1179245,753292,4458012,1743320,2858543,6.519956412385215e-05,0.00037772899626703304,0.00037772899626703304,0.0003969522227646496,0.0003940310312380952,0.0004208248353725321,0.0004008469628575692,0.00040881283931170975
