,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226758,76664,177906,219033,293877,381459,412981,470961,488571,402281,349917,323975,348756,261355,248629,256679,270164,0.028375371244449357,0.06459575968082251,0.07878642215093244,0.10665862383517023,0.13418870954420994,0.1446299731966736,0.16540143237768073,0.17240254812445607
1,2000,9312181.820187055,299656,772529,1017026,1302749,1434670,1683934,1915262,1982661,1614479,1047061,851540,1288467,1040736,1286152,829230,723734,0.0389279772160285,0.09346856710347717,0.12020671972821026,0.1623623258297245,0.17344851567528682,0.20980908839443538,0.2257777764860354,0.23085207496280952
2,3000,15520302.808601025,921896,1852722,2881917,3451511,4390480,5082037,5662331,5859944,1894031,1034367,794985,1250173,1102269,1644551,1202079,892318,0.06765577649919555,0.12789798494757557,0.19571170126573967,0.24186962881863017,0.3045130881424952,0.3662530917315664,0.39546322754073804,0.4005981737521661
3,4000,21728423.459529888,1834741,2591065,3874739,4812123,5493727,6325045,7405458,7671154,4353585,2687582,2928999,3425066,2888988,3627096,3017784,2144307,0.10559758608827047,0.13607933270738826,0.20610944810258805,0.26290930560909215,0.2916078356913296,0.34942437310972047,0.39578861086055395,0.39170283815725143
4,5000,27936543.637848325,1958064,2297650,3480226,4117182,5118058,5895768,6906563,7203022,4579566,2623232,2816452,3160656,2446232,3570780,3394208,2070016,0.08383207923387725,0.0907684475611862,0.13854352325516042,0.16617697255417319,0.20078444205447238,0.24196935042256854,0.28141425094639083,0.2784688420822446
5,6000,34144663.20869137,1515025,1976917,3493952,3960405,4804413,5228408,6255839,6567667,5946763,3620465,2976820,4337695,2869232,4546756,3818553,1737670,0.05372829142550931,0.06476556686219848,0.1121011799438752,0.13286842768682494,0.1536162033367861,0.17664789483712845,0.20628557229891933,0.20266202907829747
6,7000,40352782.03686513,945900,1532303,2747677,3349619,4748356,5590481,6854083,7105800,6648448,4528666,2336738,4988551,3096848,5128953,4161127,1366498,0.02806463996486011,0.04277294653755503,0.07227677338903299,0.09471771057338188,0.12745234075466885,0.15871304037244285,0.18938296668163895,0.1822641007099012
7,8000,46560899.98757017,635227,1177053,2031221,2829455,3805175,4404962,5377365,5668983,7286969,5110326,2441242,4519275,2270732,4661474,3809289,1980912,0.016174265830457446,0.028396542840467404,0.046038910831363564,0.06730127583880366,0.08591466623174482,0.10513179825677733,0.12578157584666094,0.12716430075262988
8,9000,52769016.92555165,556155,981316,1377622,2168690,2845364,3230555,4234148,4452204,7355064,4672789,2519599,5316549,2656532,5117694,5441885,3339020,0.012246346423790069,0.020403180089694,0.0274156807555672,0.04570236480434412,0.05677954314632657,0.06779570433012486,0.0894655523740708,0.09007089372685233
9,10000,58977132.71606895,363952,989112,1420308,1802211,2248471,2725568,4055097,4390825,8722389,5159176,3661422,6369594,4197765,6566652,6840794,4765192,0.007242142195695376,0.018378847142382707,0.02567639431210286,0.03425765667781594,0.0410459465624762,0.05200425492690331,0.07777870674969697,0.080993687774371
10,11000,65185247.22379333,161558,987090,1000447,1712917,1860317,2110102,2873031,3101752,8371731,4348030,4183503,6964640,4684142,6865268,6157887,3967880,0.0028436543051412124,0.016225101098377506,0.01640030154432506,0.02942114625180297,0.030748479604111287,0.03618146007739184,0.04867286948132758,0.050667843794406815
11,12000,71393360.31408906,84842,557653,567871,1041227,1053134,1112174,1457941,1607119,9739820,5751078,4467846,7851344,4558805,6922409,6619346,3987669,0.001376109134492183,0.008495332281892776,0.008485119700909831,0.01638643310991582,0.015757327853096286,0.017250776936448785,0.022508115568234618,0.023842482269209837
12,13000,77601471.85151339,112246,438902,438902,910976,919485,1096063,1688210,1867487,10050173,6295162,5409796,8077798,4884271,6984644,7625934,4247528,0.0016616408849033596,0.006155163560054635,0.00607967601282384,0.01310310502212003,0.012644669888731886,0.015521272101101753,0.024125716669478783,0.025458576621050638
13,14000,83809581.70151323,65736,527652,527651,886108,901437,1199469,1901272,1979752,11161105,8086316,6934541,9160244,6045630,7945620,9161896,5404608,0.0009048503559143554,0.006968162230085325,0.0068637492115124635,0.011870272761737275,0.011591964917884423,0.01581078779828703,0.025469938982468122,0.025250336892362103
14,15000,90017689.72857833,65571,623283,623284,904911,917677,997756,1224876,1249561,8866220,6714885,4439611,6384608,3203038,5429265,6779064,4229399,0.0008080075471129575,0.007482137030449505,0.007283220297300946,0.010820012622956857,0.01057053137607545,0.011795420037688758,0.014715235736760406,0.01456563581565495
15,16000,96225795.7982316,123702,838776,838775,1235258,1261660,1518417,1839183,1871517,7657916,5689350,3036717,5319240,2986634,4558256,5028405,3324546,0.0013966914448195914,0.009264512126633354,0.009000786474304294,0.01358821692399911,0.013531438675201915,0.016564391313895525,0.0201670572359803,0.020145229521289224
16,17000,102433899.77491152,181375,1118584,1118585,1345258,1346962,1380643,1578151,1598596,9394359,6495873,3847987,6380109,4243753,5560421,5591788,4401286,0.0019494399745458382,0.011659443472028108,0.01134629652974782,0.014005256733202982,0.013717893742309396,0.014252022508740149,0.016296123360755182,0.016306777290162514
17,18000,108642001.52418327,130766,697434,697433,887472,888324,923572,1267000,1301072,10784476,7350086,6217923,7937876,5629975,7315831,6249821,4352587,0.0013362896649955055,0.006885386621338885,0.006809267996834647,0.008812667756961762,0.008623497954303963,0.009114841656623875,0.012373991778608097,0.01247559022107943
18,19000,114850100.91040254,23236,145919,145919,181290,182992,190340,245102,253256,10950484,7709314,6581107,8717360,5555043,7753069,7064921,3842359,0.00022363893814967076,0.00136193698224399,0.0013477450443545686,0.0017081439567554876,0.0016742934538724746,0.001777266807536166,0.0022739860916291404,0.002281426463069666
19,20000,121058197.7992003,67639,136856,136856,152603,153454,160262,192672,209206,13008978,8254006,7049586,10097022,6462982,9046989,9079837,3958766,0.0006260017437025549,0.001213217326565432,0.0012004005472940945,0.0013752828311422761,0.0013390960427954522,0.0014307675251259693,0.0017206181500147124,0.0017865671659171
20,21000,127266292.05491948,17239,185522,189779,278991,279843,357682,650712,712050,14259750,9551794,9133344,11312115,8839491,10268116,10928306,7777139,0.00015254869042556938,0.001576033564815823,0.0016064866163483247,0.0024060452765566286,0.0023630039611576186,0.0030571587699974264,0.005593289191827847,0.0059591183115401975
21,22000,133474383.54326677,21264,567306,567306,689781,690631,699675,799372,905868,15634137,11578140,10169358,12247888,8318867,9926214,11636563,7592229,0.00018044768764288532,0.004654007240170909,0.0046008343739480165,0.0056900184807685975,0.0055181826504726705,0.005663175768500339,0.00656095124186934,0.007196159005116531
