,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227256,1764937,1764937,1764937,1817568,1817568,1817568,1821136,1821136,892,0,892,892,0,892,0,0,0.5687531716378238,0.5685897315863235,0.5687531716378238,0.5857135776899777,0.5855452638025554,0.5857135776899777,0.5866947258866412,0.5866947258866412
1,2000,9312181.820187652,2168035,2168035,2168035,2240110,2240110,2240110,2244959,2244959,1667732,1655033,1606296,1628233,1594573,1591463,1569861,1641866,0.2836090302109904,0.2831386787578289,0.281347926843173,0.2915310932465702,0.29025959363738935,0.2901426735218877,0.2899594387959744,0.29268142963441596
2,3000,15520302.808600716,1707657,1707657,1707657,1775577,1775577,1775577,1789041,1789041,6380960,6311980,6232260,6233394,6143056,6115321,6141104,6222908,0.18684680460754613,0.1854471259853121,0.18385541875611422,0.1911913895779419,0.18934950057744654,0.18879111476603402,0.19074561020707345,0.19242390334387183
3,4000,21728423.459528282,1102809,1102809,1102809,1183556,1183556,1183556,1249245,1249245,11331469,11264269,11272508,11237031,11220711,11223678,11216691,11219930,0.10607038862128818,0.10538921269418207,0.1054722567592138,0.11281209854322954,0.11263688500790331,0.11266869859530589,0.11884292192650234,0.11887955250781282
4,5000,27936543.637848057,1260169,1260169,1260169,1353471,1353471,1353471,1410996,1411888,15547501,15376308,15320314,15260531,15277401,15367434,15386003,15394877,0.10171641480595371,0.10033004446212003,0.09988475449270169,0.10677419143294353,0.10691648231795879,0.1076823290588884,0.11242511703001286,0.11257578763409523
5,6000,34144663.20869219,1498447,1498447,1498447,1773196,1773196,1773196,1853154,1853154,18804206,18633415,18562533,18571186,18547933,18466317,18565123,18601873,0.0976794224327911,0.09660389543378593,0.09616445119705905,0.11385999261682593,0.1136902399588718,0.11309840823752998,0.1189479262658908,0.11922917153984598
6,7000,40352782.036867276,502970,502970,502970,587961,587961,587961,667078,667078,21549986,21460209,21411232,21434272,21379717,21417559,21395690,21485952,0.02674974503865328,0.026622630968185016,0.02655379306450813,0.031078610252827328,0.03098924706458924,0.0310511790040829,0.03518883585640052,0.035357185001215194
7,8000,46560899.98756832,848325,848325,848325,1056977,1056977,1056977,1171306,1171306,24560707,24469698,24463003,24477904,24449195,24465820,24441538,24499148,0.03855988901912653,0.038401034062220306,0.038389399700670374,0.047863840603649434,0.047801696006447965,0.04783766343433482,0.052953878175071495,0.05309215699007154
8,9000,52769016.925548166,373488,373488,373488,526595,527487,527487,596105,596998,27409473,27291857,27315501,27342418,27289085,27358152,27303820,27361066,0.014727709658206196,0.014659718787001492,0.014673336331705875,0.020710398647570884,0.02070205687916695,0.02075832528902481,0.023408615364052136,0.023496503191042746
9,10000,58977132.716076225,216034,216034,216034,316473,316473,316473,344976,344975,29921564,29854467,29812258,29801096,29783405,29817214,29771097,29772643,0.0074352012211851845,0.00741807093162991,0.007407335094119846,0.01084701815670601,0.0108404450119512,0.01085301379202832,0.011811805044465886,0.01181239608545878
10,11000,65185247.223796844,175143,175143,175143,301384,301384,301384,332548,332548,33053477,32730939,32738943,32790275,32838332,32842869,32878822,32898660,0.005450773448836902,0.005396602472382323,0.005397933730509319,0.00930341899718031,0.009317240853256976,0.00931854787902542,0.010293556086640185,0.010299880804834502
11,12000,71393360.31408703,25937,25937,25937,62509,62510,62510,82507,82508,36240818,35221020,35557632,35583128,35386543,35896444,35998414,35863651,0.0007378413705686944,0.0007170395881158688,0.0007237748811094809,0.0017455625378730146,0.0017360601314669393,0.0017609980384463075,0.0023310389926248475,0.0023222255850904676
12,13000,77601471.8514995,15815,15815,15815,21167,21166,21166,31524,31524,39168689,38418706,38594561,38712261,38707776,38843569,38888532,38883736,0.0004114976545182171,0.000403621328314034,0.0004054409758365175,0.0005442897795182141,0.0005442013040060314,0.0005461079790900274,0.0008143013710899808,0.0008142005028628013
13,14000,83809581.70150548,3739,3739,3739,10875,10876,10876,20688,20687,41379173,40246777,40246280,40501349,40803983,40754447,41019942,41017665,8.81207632550411e-05,8.58301026671679e-05,8.582912345853679e-05,0.0002511069910184066,0.0002528973047320759,0.0002526063401125466,0.00048348151899190047,0.00048343242356499076
14,15000,90017689.72859693,893,893,893,893,892,892,892,892,41605860,41059931,41055569,41116887,41108643,41222649,41414958,41445751,1.8445904751096485e-05,1.8240214078231198e-05,1.8238589070722838e-05,1.8261458916251663e-05,1.823793469027993e-05,1.8280546274392852e-05,1.8352877878984818e-05,1.8364512995542248e-05
15,16000,96225795.79822373,25865,25865,25865,46383,46383,46383,72249,72249,43974784,43663224,43690082,43736149,43724807,43750808,43963989,43954171,0.0004950143377104762,0.0004920801839622708,0.0004923317516792646,0.00088365997542909,0.0008834690748066306,0.0008839068277319362,0.0013824435936351054,0.0013821839339965404
16,17000,102433899.77490342,3817,3817,3817,3817,3817,3817,3817,3817,46189996,46051291,45995720,46044508,46084615,46083723,46229871,46164161,6.786513282001565e-05,6.769818004056231e-05,6.763152205162577e-05,6.769003672245297e-05,6.773821558246286e-05,6.7737143314517e-05,6.791328100850292e-05,6.783397405253996e-05
17,18000,108642001.52417624,11349,11349,11349,11349,11349,11349,12241,12241,48475893,48380983,48336640,48380331,48381831,48401737,48452195,48461798,0.00018862778860693124,0.0001883307032961428,0.00018819222226949456,0.00018832866565567446,0.0001883333535448063,0.00018839558706528094,0.0002033733069914953,0.00020340575942190712
18,19000,114850100.9104011,24446,24446,24446,25338,25338,25338,25338,25338,50883829,50818230,50828354,50834778,50857834,50852210,50894935,50892467,0.0003821701542062983,0.00038177863074166527,0.00038183900283465165,0.00039581148462633346,0.0003959540929449655,0.0003959192973323751,0.00039618378968006476,0.0003961685017225037
19,20000,121058197.7992258,11238,11238,11238,13021,13022,13022,13021,13022,54169754,54076165,54079080,54089948,54110363,54118921,54121509,54166115,0.00016801108475078728,0.00016777633538959857,0.0001677836371880356,0.00019443542333923337,0.00019450965126882025,0.00019453451878569754,0.00019452710066158218,0.00019467176764528422
20,21000,127266292.05493331,19624,19624,19624,21408,21408,21408,28544,28543,57186901,57118253,57106132,57122438,57167301,57156076,57161663,57181282,0.0002800252642694524,0.0002797512270390387,0.00027970289669571724,0.00030520136494402314,0.00030539669227512203,0.0003053477967208978,0.0004071628419520371,0.0004072625512592168
21,22000,133474383.54325485,26847,26847,26847,30416,30415,30415,34875,34875,60187269,60161171,60158010,60152530,60172994,60165859,60178642,60187547,0.0003663263339990635,0.00036619592933756994,0.00036618014097711656,0.0004148285747039476,0.0004149307426437289,0.0004148903581063615,0.0004758120903847984,0.000475869905769726
22,23000,139682472.12841153,12407,12407,12407,15084,15084,15084,15084,15084,63543358,63470382,63470872,63485543,63493407,63478237,63683595,63713942,0.00016295172516815888,0.0001627956926400412,0.00016279673932964302,0.00019796073375318786,0.0001979811666487433,0.00019794175447836982,0.00019847661662833932,0.00019855590169380838
23,24000,145890557.67619514,2677,2677,2677,2677,2677,2677,3569,3569,66623497,66587573,66581359,66576937,66596704,66603900,66718835,66774150,3.377190950646585e-05,3.3756610938800783e-05,3.375396605543448e-05,3.37520841587738e-05,3.376049814569252e-05,3.376356222421186e-05,4.507922626108405e-05,4.511074383719592e-05
24,25000,152098640.05075026,9671,9671,9671,10535,10535,10535,11427,11427,62342282,62271002,62263157,62264689,62298874,62326210,62333364,62341393,0.00010774724164422759,0.00010766174208583932,0.00010765234038466312,0.00011727192088042994,0.00011731656398799697,0.00011735228726730848,0.00012729866717659912,0.00012731005434624105
25,26000,158306719.1179278,26858,26858,26858,26886,26886,26886,26885,26886,58264132,58125656,58116221,58140455,58219642,58184767,58185457,58205398,0.0002684656682092841,0.0002680945795951896,0.00026806933296595826,0.0002684137242889139,0.00026862608814444167,0.00026853251890586943,0.0002685243816476615,0.000268587863773806
26,27000,164514794.74183488,9854,9854,9854,11638,11638,11638,12531,12530,59148302,58868629,58799330,58855734,58946020,58995621,58981545,59048140,9.352119201826248e-05,9.32736169912687e-05,9.321247391821254e-05,0.00011014672966321406,0.00011024093088567489,0.0001102927514242458,0.00011873982873316686,0.000118805323167511
27,28000,170722866.78808165,21982,21982,21982,23766,23766,23766,26443,26443,59056761,58853841,58827120,58820081,58776474,58846843,58859501,58942257,0.00019685472010385255,0.00019649764396484026,0.00019645071980824716,0.00021238077169059385,0.00021229804201900325,0.00021243157555383047,0.00023638659371375128,0.0002365616008906352
28,29000,176930935.12179613,10134,10134,10134,12811,12811,12811,15486,15486,58731915,58423095,58570616,58411743,58422466,58513629,58585447,58582437,8.573675136695377e-05,8.551332966312446e-05,8.561991109175556e-05,0.0001080921981550025,0.00010810197865971585,0.00010818520045392235,0.0001308541647490817,0.00013085083668795588
29,30000,183138999.6070876,1784,1784,1784,2675,2675,2675,3567,3568,58139895,58011235,58005928,57948381,57954063,57983466,58046296,58072846,1.4272102233113475e-05,1.4257427243281456e-05,1.4256822573665275e-05,2.136741578372995e-05,2.1368385626106943e-05,2.1373405736879966e-05,2.851485256249508e-05,2.8528901681979914e-05
