,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292273016,386466,471597,513962,521545,528491,534555,557984,574249,0,0,0,0,0,0,0,0,0.12450336709312394,0.1519290556245982,0.1655773070798367,0.16802023616717465,0.1702579501907339,0.17221152027983022,0.1797593754278246,0.1849992859652837
1,2000,9312181.820187073,1016997,1617343,1846403,2037770,2185924,2294926,2435828,2628949,0,0,0,0,0,0,0,0,0.1092114629672866,0.17368035023692321,0.1982782376518189,0.21882841629901328,0.23473811424743926,0.24644342693406485,0.2615743600194295,0.28231289409544486
2,3000,15520302.808600755,1254239,1869314,2095782,2215223,2297717,2356001,2523043,2698583,0,0,0,0,0,0,0,0,0.08081279182935458,0.12044313974106859,0.13503486535318102,0.14273065592331152,0.1480458872701049,0.1518012263713305,0.16256403184362012,0.17387437817930645
3,4000,21728423.459525447,810185,1246186,1365388,1509613,1563853,1640962,1870822,2047000,4137,6894,6894,0,0,0,4826,7583,0.03729397517886063,0.05737100614033951,0.0628587412568797,0.06947641658457306,0.0719726860493612,0.0755214478886007,0.08611934572464998,0.09424128885870572
4,5000,27936543.63784629,683341,1088642,1156310,1279635,1300233,1327596,1614430,1788034,0,0,0,0,0,0,0,3448,0.024460470445394036,0.0389683854277947,0.04139058915053184,0.045805057940898904,0.04654237177137919,0.04752184154239734,0.057789181830385554,0.06401130842001662
5,6000,34144663.208698645,318655,450223,500167,620378,641783,682367,1011995,1104356,0,0,0,0,0,0,690,2069,0.009332497967612693,0.013185750207818769,0.0146484678130484,0.018169105848493284,0.018795997373800433,0.019984587220241233,0.02963905207558505,0.03234540390368576
6,7000,40352782.036857575,260630,345481,393417,500667,553688,573217,773775,858967,13777,13778,15158,11711,13778,13778,10336,4135,0.006460992276876029,0.008564440502406442,0.009753102950251216,0.012410850459140416,0.013725871850829477,0.01420999386787671,0.01918017066424444,0.0212886196460405
7,8000,46560899.987567365,69229,142670,153015,197351,209721,217890,344232,389655,312587,376630,380766,11023,298057,285658,177330,184935,0.0014968978440059076,0.0030891470199357106,0.0033134377661440907,0.004239560075587501,0.004533249287259762,0.0047085653287029785,0.007421420992223492,0.008402089317267256
8,9000,52769016.925563484,174738,309465,343252,414006,432622,441586,542439,594863,3080400,1432704,3139664,1287941,2618349,1105426,2818217,2546756,0.0035166605716107566,0.006028189060806088,0.006916310202851648,0.008041906517233856,0.008626445427249793,0.008547334633324924,0.010859465730445574,0.011844608128687623
9,10000,58977132.716070145,31703,143208,167967,245501,257219,264199,367055,412013,2576720,772089,2639395,1108781,2007208,778886,2581573,2086555,0.0005621058157783104,0.0024604053335752574,0.002981429620878937,0.004242405265049634,0.004514996312211088,0.004539638475518668,0.006508579786209768,0.0072422010206378475
10,11000,65185247.22380471,18612,225639,246366,397973,441395,464742,714494,776372,13864,20662,23509,0,23509,19502,3536,2068,0.0002855854683348461,0.0034626016451275404,0.0037808383679672655,0.006105261803082738,0.006773837101827814,0.007131691633447815,0.010961571682994768,0.011910618801429544
11,12000,71393360.3140508,6892,94387,109550,181506,187020,195290,362304,399514,2757,2758,6201,0,6202,2067,4134,3444,9.65393158211838e-05,0.001322120796583098,0.0015345897084664889,0.00254233725939747,0.002619798916455675,0.0027354876334977985,0.005075051498753832,0.00559622451779466
12,13000,77601471.8515445,17632,156341,159862,230700,239273,255798,454404,562092,0,8283,8974,1381,8973,8973,8972,9682,0.0002272121852756981,0.002014880459406303,0.002060276501290877,0.00297293466371513,0.0030837130333667196,0.0032966846510435366,0.005856287667872515,0.007244220053119593
13,14000,83809581.70148069,6483,45467,49524,61792,66303,76635,120983,142761,0,0,0,0,0,0,0,8246,7.735392384001676e-05,0.0005425036025349441,0.0005909109554608962,0.0007372903998029178,0.0007911147944415597,0.0009143942547400409,0.0014435461619522981,0.0017035647320532811
14,15000,90017689.72857141,9732,23338,26094,48833,54345,56412,94245,109741,1981,4735,4735,2754,1981,4735,0,0,0.00010811446288053295,0.000259273790871262,0.0002898916059214462,0.000542498859825326,0.0006037279577931117,0.0006267097904974562,0.0010469608838459986,0.001219104826294697
15,16000,96225795.79826403,159625,186676,211379,225163,230677,234124,320979,368848,3532,3532,73052,11702,70299,70299,69520,68143,0.0016589196065337204,0.0019400499700503605,0.002198366803171937,0.002340228869921161,0.0023989996170886052,0.002434847801693505,0.003338097251950713,0.003835867341456768
16,17000,102433899.77491939,123184,148208,168503,182273,201203,209319,277327,339717,8916,6847,13744,4137,5469,9653,9610,11724,0.0012026753186575932,0.0014469614812180817,0.0016452132758937178,0.0017794925523798124,0.001964327662523036,0.0020436469546120783,0.002707629221637122,0.0033168305343029836
17,18000,108642001.52417147,28027,67742,78550,91625,100924,103830,174250,228943,54192,122744,125506,61329,76176,85482,81392,74454,0.00025810447897248753,0.0006242394349676712,0.0007238530844603566,0.0008438426275136864,0.0009296111323496539,0.0009564602886598713,0.0016050941567457072,0.0021087609071120277
18,19000,114850100.9103893,9507,17086,21220,23287,25352,28107,52192,63889,25036,239246,259890,208914,217535,240605,232510,252385,8.27955116543532e-05,0.00014907837493541965,0.000185181612211136,0.00020312943914478634,0.00022115879373945266,0.0002452414590670241,0.00045535767752093935,0.0005575067486507198
19,20000,121058197.79921627,5515,7225,8603,8604,8604,8604,13525,19729,16616,86448,98516,57553,94020,96428,78591,76651,4.556285466550065e-05,5.9724687887806415e-05,7.11228722830167e-05,7.110705909276055e-05,7.112849569631635e-05,7.11299116595411e-05,0.00011179570142302379,0.00016307445657594952
20,21000,127266292.05492711,2754,7238,8617,21390,27583,31710,55407,72009,24117,174506,182400,50270,160710,172768,135931,120726,2.1643767082818024e-05,5.695096610627415e-05,6.780560353215838e-05,0.00016813919862047408,0.00021700856527355616,0.00024950130414430567,0.00043582822812924453,0.0005663508546486944
21,22000,133474383.54328251,2097,4161,5538,11344,15471,20290,60505,91387,4824,4135,4824,1379,4824,3445,689,2067,1.5711447667735573e-05,3.1175487012378246e-05,4.149260714540753e-05,8.499096906387072e-05,0.00011591407099071866,0.0001520181113690174,0.00045331029613763775,0.000684688798147629
22,23000,139682472.12841916,12367,20824,25647,27711,29090,31152,48354,62132,10342,4137,20681,19302,16545,4826,17926,22748,8.854307576342805e-05,0.00014908539667840814,0.00018363648205268652,0.00019841308180617667,0.00020828272577357043,0.00022302781342233499,0.0003462152804015081,0.0004448813026643867
23,24000,145890557.67616582,31687,37697,38385,45273,45273,45273,84811,96801,17908,117688,390796,336987,354262,390107,374290,381155,0.00021722372268101296,0.00025860093228420225,0.0002638148651090733,0.00031104011938481004,0.0003110770395086692,0.00031115367539831333,0.0005828283074765202,0.000665255978099454
24,25000,152098640.05077648,2756,4134,6202,13780,26870,32382,67935,77300,11707,15953,99125,67629,91558,98437,88794,93608,1.812121491778566e-05,2.7182581266595876e-05,4.080276175833968e-05,9.063940247952209e-05,0.0001767680797334452,0.00021303918909360023,0.0004469118400219114,0.0005085357961977097
25,26000,158306719.11789703,1379,2755,2755,5513,5514,5514,15860,25517,0,3448,3448,3448,3447,3448,3448,2069,8.710937903861214e-06,1.7403304306631806e-05,1.7403304306631806e-05,3.482555957984071e-05,3.483187634866716e-05,3.483187656869974e-05,0.00010018744330423973,0.00016118920057620715
26,27000,164514794.74181938,689,2754,4816,10577,11956,13332,34673,41874,0,33740,33740,6896,8278,28923,33049,39258,4.188073182605123e-06,1.6743569673254254e-05,2.927996788176924e-05,6.429478511910038e-05,7.26779718931381e-05,8.105255399032811e-05,0.0002108015077516557,0.00025459105244161916
27,28000,170722866.78810835,0,2757,4131,17649,19024,23160,68622,86219,98433,465760,489826,128706,129399,489137,420825,693115,0.0,1.6193156644152275e-05,2.4266734476898163e-05,0.00010345606155841099,0.00011151657942512448,0.00013604824395745476,0.0004029429082557932,0.0005070818435790367
28,29000,176930935.1218276,692,5512,13119,22109,24176,24175,37950,40707,3440,3367250,3367250,37942,57858,3366563,3317280,3674848,3.91120667550008e-06,3.175779539441689e-05,7.55860881312328e-05,0.00012498516538059456,0.00013668558490305407,0.00013928549796516523,0.000218588796908687,0.0002349527839179253
29,30000,183138999.60705948,688,2068,3445,5509,8260,14453,42491,49351,15172,2688977,2688977,12403,15856,2688976,2615955,2849452,3.757020640024441e-06,1.1460236857399522e-05,1.909115859465249e-05,3.0083014166537673e-05,4.510625930343396e-05,8.009419844395397e-05,0.00023537715139077794,0.000273731897689157
