,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292271344,278992,294736,294736,387441,2185799,2325725,2436438,2502943,0,0,0,0,0,0,0,0,0.08987968771391715,0.09495175359167676,0.09495175359167676,0.12481747178258794,0.704174067806218,0.7492524398851936,0.7849195911507171,0.8063447525582631
1,2000,9312181.820186924,1281979,1325986,1325986,2091146,5890331,6425085,7157945,7417681,0,0,0,0,0,0,0,0,0.1376668781553351,0.14239262351230417,0.14239262351230417,0.22456026314550892,0.6325403770823026,0.689965587449304,0.7686646521960111,0.7965567192771054
2,3000,15520302.808603054,1785851,1958850,1958850,3011005,6767013,8514945,10081805,10477728,0,0,0,0,0,0,0,0,0.11506547404539591,0.1262120993486152,0.1262120993486152,0.1940042689328826,0.436010371927085,0.5486326591050842,0.6495881636028105,0.6750981684579049
3,4000,21728423.4595262,1247353,1361255,1361255,2688865,5243900,7641311,10897373,11604755,0,0,0,0,0,0,0,0,0.05740651190471594,0.06264858573543665,0.06264858573543665,0.12374873883549728,0.24133826412983328,0.35167351254146734,0.501526170101511,0.5340817764167897
4,5000,27936543.63784807,614314,657059,657059,1451562,2566110,4922733,9048611,9828497,0,0,0,0,0,0,0,0,0.02198962076209511,0.02351969551128812,0.02351969551128812,0.05195925518980245,0.09185495647798989,0.1762112401525128,0.3238987298250116,0.3518150680130837
5,6000,34144663.20869228,258790,275644,275644,628131,906094,1920349,6259499,7278222,0,0,0,0,0,0,0,0,0.007579222510360543,0.00807282819910283,0.00807282819910283,0.018396169151262715,0.026536914259834714,0.056241556352828,0.1833229094029109,0.21315840649871068
6,7000,40352782.036868244,123691,129900,129900,464446,758959,1718510,5164517,6116056,0,0,0,0,0,0,0,0,0.0030652409513423373,0.0032191089050890493,0.0032191089050890493,0.0115096401426712,0.01880809603924157,0.042587150457925965,0.12798416216461728,0.15156466769532959
7,8000,46560899.98756996,99166,102713,102713,237270,298137,605274,2402242,2912971,0,0,0,0,0,0,0,0,0.002129812783397092,0.002205992582347433,0.002205992582347433,0.005095906652649376,0.0064031623117163025,0.01299961985617945,0.05159354738936124,0.06256260082553507
8,9000,52769016.92555007,887,1774,1774,5321,9840,28052,581119,849470,0,0,0,0,0,0,0,0,1.6809106018621434e-05,3.361821203724287e-05,3.361821203724287e-05,0.00010083568559761516,0.0001864730588762513,0.0005315998219102237,0.01101250381108824,0.01609789322394402
9,10000,58977132.716068685,5321,7983,7983,63872,79838,127903,496705,639040,0,0,0,0,0,0,0,0,9.022140878934694e-05,0.00013535754677041094,0.00013535754677041094,0.0010829960199573703,0.0013537111134981922,0.002168688000072137,0.008421993018739441,0.010835386031337017
10,11000,65185247.223793864,0,1774,1774,10349,10349,17445,101690,134271,7096,7096,7096,0,0,0,0,0,0.0,2.7217709718535027e-05,2.7217709718535027e-05,0.00015876291708260052,0.00015876291708260052,0.00026762190438747377,0.0015600155607430326,0.002059837244139323
11,12000,71393360.31408733,0,9757,9757,56178,69991,76116,150176,187261,0,0,0,0,0,0,0,0,0.0,0.00013666536995982735,0.00013666536995982735,0.000786879896853867,0.0009803572726102567,0.0010661495644011703,0.0021035009325701577,0.002622946996417672
12,13000,77601471.85151005,887,1774,1774,81730,208924,284873,449674,515412,4434,4434,4434,0,0,4434,887,1774,1.1430848709680983e-05,2.2861697419361967e-05,2.2861697419361967e-05,0.0010532016732413255,0.0026922685229447043,0.003671183950927791,0.005794724367869886,0.00664193307796456
13,14000,83809581.70150447,84500,97523,97523,173645,305215,366892,591954,693984,0,0,0,0,0,0,0,0,0.0010082379399166377,0.0011636259007631984,0.0011636259007631984,0.002071899137003841,0.003641767370788835,0.004377685612448462,0.007063082621129152,0.008280485189291217
14,15000,90017689.72858894,111481,152553,152553,221198,483282,588644,855749,972428,0,0,0,0,0,0,0,0,0.0012384343603587783,0.0016947002356976766,0.0016947002356976766,0.002457272572390282,0.005368744759581552,0.006539203591814144,0.009506453704601358,0.010802632270745382
15,16000,96225795.79823196,0,9755,9755,86984,150940,237945,435719,545743,0,0,0,0,0,0,0,0,0.0,0.00010137614263491741,0.00010137614263491741,0.0009039571902568587,0.0015686022521080917,0.0024727776790636007,0.004528089338056748,0.005671483363404175
16,17000,102433899.77490902,44492,50923,50923,80200,279362,328827,538060,644467,5322,5322,5322,3548,0,0,2661,0,0.00043437096332405383,0.0004971561756124875,0.0004971561756124875,0.0007829710492085366,0.0027272416711057327,0.0032101384475507933,0.00525288970860128,0.0062915402168244
17,18000,108642001.52417445,131976,165863,165863,404557,1329988,1616357,2057944,2213443,0,0,0,0,0,0,0,0,0.0012147787977804642,0.001526693154333069,0.001526693154333069,0.0037237623969030072,0.012241932045996575,0.014877827887222205,0.018942434520060614,0.020373731788321997
18,19000,114850100.91040087,27496,65786,65786,159334,1054570,1291349,1691409,1825231,0,0,0,0,0,0,0,0,0.00023940771302805144,0.0005727988001623288,0.0005727988001623288,0.00138732137574962,0.009182142563572599,0.01124377766988148,0.014727100686829482,0.01589228904051147
19,20000,121058197.79921341,3548,29591,29591,49880,212669,315170,632250,758868,0,0,0,0,0,0,0,0,2.930821757221842e-05,0.00024443615168532,0.00024443615168532,0.00041203322787549464,0.00175675009099947,0.0026034585491082527,0.005222694633606285,0.006268621322602664
20,21000,127266292.05493546,5322,15340,15340,25983,65844,101772,162683,205052,31334,31334,31334,28673,6874,9685,0,0,4.18281271229103e-05,0.00012056434988076738,0.00012056434988076738,0.0002042084738223663,0.0005173998200398528,0.0007997384368111119,0.0012782882047807022,0.001611204323541443
21,22000,133474383.5432539,0,1513,1513,1514,30851,58797,102228,147407,7699,7699,7699,7698,223,6283,0,0,0.0,1.1336162317792999e-05,1.1336162317792999e-05,1.1343654739289549e-05,0.00023113837071110378,0.00044053223025336503,0.0007658997725722542,0.0011043841978279755
22,23000,139682472.12841725,886,2660,2660,10640,38144,93123,170233,266886,0,0,0,0,0,0,0,0,6.342957613074422e-06,1.9043191027966097e-05,1.9043191027966097e-05,7.617276411186439e-05,0.0002730764957032853,0.000666676345149356,0.0012187141121292305,0.0019106620604096842
23,24000,145890557.67618728,1774,3548,3548,232197,265999,309458,441065,576040,259441,259441,259441,0,0,222059,198365,208753,1.2181462591847817e-05,2.4362925183695634e-05,2.4362925183695634e-05,0.0015915834698183482,0.00182327769690483,0.0021243989113109993,0.0030273756740026745,0.003954097090438899
24,25000,152098640.05075192,45784,61746,61746,167387,287046,353598,620732,797375,911504,911504,911504,887,5126,818886,853723,893632,0.00030282999728648073,0.00040840776280908267,0.00040840776280908267,0.0011005225037357808,0.0018872994143867036,0.0023373782051587257,0.004104151148376817,0.005273469511885223
25,26000,158306719.11793518,90957,117290,117290,209473,279917,348761,556361,683032,1253206,1253206,1253206,3589,10878,1108994,1146202,1180570,0.0005791465481685739,0.0007468155132061528,0.0007468155132061528,0.0013232397858712172,0.0017683155667460233,0.002218613531069533,0.003540081250703062,0.0043470294653968275
26,27000,164514794.74182105,394291,561158,561158,988709,1355691,1624991,2262167,2417863,696980,696980,696980,27449,21242,503408,418701,538438,0.0024068871912460046,0.00342550046149982,0.00342550046149982,0.006010851445994364,0.008241605688508711,0.009907793795792872,0.013785623706309291,0.014745192831713529
27,28000,170722866.78810167,283183,464119,464119,706112,1228730,1513586,2060905,2227746,1332,1332,1332,0,0,0,887,445,0.0016587421168131173,0.002718573263625243,0.002718573263625243,0.00413601302089435,0.007197219816634633,0.008865748499166414,0.012071702791626325,0.013048936259614731
28,29000,176930935.12178516,179658,214223,214223,499431,787764,1068602,1375533,1540346,0,0,0,0,0,0,0,0,0.0010154131603743446,0.0012107718746444535,0.0012107718746444535,0.0028227454947673874,0.004452381373883351,0.006039656091030432,0.007774406431827157,0.00870591679708101
29,30000,183138999.6070943,38074,38961,38961,56795,97589,148764,303419,366816,1775,1775,1775,0,1774,1774,0,0,0.00020789874959437987,0.00021274211227994522,0.00021274211227994522,0.00031011963657029786,0.0005328736398429946,0.0008123089093812134,0.0016567689058636008,0.002002937663670576
