,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226514,148661,938045,1698928,2134373,2287700,2348183,2492891,2631230,157010,181848,171203,168542,179187,164994,173864,188057,0.050443992555030424,0.32100504618251985,0.5792739419294827,0.7270854896813891,0.7821534500295606,0.7989553474730108,0.8507589474150921,0.9023411266116799
1,2000,9312181.820187062,349863,2319733,4769420,6565960,7016316,7201118,7607321,8049641,20403,23064,22177,7984,4435,5322,1775,15081,0.03765296255652333,0.24972586685882792,0.5133926292089872,0.705698667084874,0.75381465950306,0.7737430389120508,0.8170771854464632,0.8658227070660117
2,3000,15520302.80859853,119406,2061742,5402311,7941414,8727935,9124976,9904949,10545961,4435,2661,5322,887,2661,1774,0,11531,0.007695734552071138,0.13286438915335458,0.34819965726325586,0.5117083077057618,0.562452407888661,0.5880052234683496,0.6381930251072472,0.6799997530528499
3,4000,21728423.459526513,222425,1177933,3256683,5082523,6026779,6475517,7609399,8746156,71442,58954,69366,86159,78996,56515,39592,46244,0.010270360179957548,0.05435910658542437,0.15036125214985205,0.23484247729736848,0.2783805258253148,0.29879772757869416,0.3508441205880494,0.4033799284950202
4,5000,27936543.637850158,137637,789855,2252365,3728502,4508917,4797998,5848653,6602764,312736,319419,284882,293319,254657,242836,257889,292777,0.004982549900594069,0.02860018956924568,0.08145496026600141,0.1348794161624253,0.16288329834552684,0.17325228036430823,0.21130553766157595,0.2388518209728851
5,6000,34144663.20869385,56201,505950,1660952,3334184,4096331,4430477,5600727,6434364,105637,138004,240820,217372,275097,166785,219477,227124,0.0016510754348679282,0.014877968367755843,0.048990080262466755,0.09827439448350705,0.1209443006963735,0.13039298607134284,0.16509053083884703,0.18970609749750725
6,7000,40352782.03686792,16077,169230,509969,1576897,2112300,2409696,4026595,5288434,140408,166209,186822,128291,163003,90068,74694,107117,0.00039980230924093466,0.0042111080197046215,0.01269654701473349,0.039202410256843,0.05255813917419876,0.0598493185976852,0.09996986441646186,0.13140381691184416
7,8000,46560899.98757398,15966,138450,514804,998227,1445631,1725026,2526595,3838505,135193,177905,198580,141267,168430,134515,50753,79952,0.0003439042943228277,0.0029849301459961954,0.011103930953799931,0.02150441388166973,0.03116089745571223,0.037156155932918385,0.05432352214829648,0.08258233031361946
8,9000,52769016.92554358,34599,70136,114090,240554,415448,591624,1075456,1325464,233554,165021,180612,191931,218769,137154,104478,138891,0.0006585837084758497,0.0013332827433731739,0.0021694896462734026,0.004575263078304829,0.007905728638780777,0.011240795349329539,0.020420875639307605,0.0251845112792462
9,10000,58977132.71606931,887,39265,82263,192619,269507,290328,680534,911086,347387,322812,346510,312039,439051,350171,163809,209382,1.5128839280585349e-05,0.0006694306492793925,0.0014030722545516064,0.0032833664415887324,0.004603960227244986,0.004952124270161911,0.011571085546625223,0.015503162685293566
10,11000,65185247.22380352,1775,29532,64061,126162,183900,196360,380685,538823,455514,406752,413719,455872,579958,399697,421188,436349,2.7421710419582988e-05,0.00045589203481756957,0.0009890302383888728,0.0019490687120614337,0.0028465161631416845,0.003030922780182754,0.005878028717818265,0.008321732334928188
11,12000,71393360.31408101,1774,16857,54238,123265,228255,247713,558018,796019,323212,353155,296949,297806,385606,280902,251830,218042,2.496125366391729e-05,0.00023728816556022457,0.0007628795743345471,0.0017337933600664879,0.0032145080802074666,0.003483398069378094,0.007843772793984329,0.011183919072723264
12,13000,77601471.85151446,5323,194767,394432,667859,844630,893793,1357251,1680757,291024,328261,293454,371158,427640,310935,237050,235328,6.885227220806646e-05,0.0025204983441707574,0.005102083987686578,0.008647627682622755,0.010944512922788413,0.01156406769068116,0.01754360683525784,0.021724709496001315
13,14000,83809581.70149219,6321,298578,581230,933111,1145359,1169802,1786635,2218546,407809,188157,323365,416034,819623,645934,479148,271656,7.578975596386703e-05,0.0035705921187763738,0.006961987534759273,0.01118924695877045,0.013801175683431277,0.014066266119048678,0.021440366030016318,0.026557350824433643
14,15000,90017689.72859204,16703,296467,539820,818512,966961,1011398,1426258,1762478,353827,206207,347443,500258,1231224,1135903,1095468,930881,0.00018628463565705544,0.003300992155935289,0.006020057038918287,0.009143604594037584,0.010890860358783356,0.011379136685093745,0.01603938781864018,0.019783826866775395
15,16000,96225795.7982285,37284,251220,527962,1014014,1241476,1339758,1947626,2308795,346788,210381,404794,162140,253896,267156,104972,155533,0.0003888651004655982,0.0026164548737088312,0.005509877689566805,0.010555646582197835,0.01293582811854388,0.013961827750133797,0.0202622691217082,0.02403235853376445
16,17000,102433899.77491605,5323,172990,440163,945711,1502012,1593275,2438688,2994936,322745,288336,392261,245174,338963,260469,70292,54904,5.212946628341934e-05,0.00169356351472291,0.004313562632710296,0.009254553208570692,0.014711914688888205,0.015593828923195508,0.023823779300182056,0.029253422319012345
17,18000,108642001.52417898,25955,289034,594673,1150631,2325659,2512194,3249226,3724790,406591,256742,416135,272313,344899,312005,135332,175447,0.00023980137252957383,0.0026667279413167917,0.005494740020096238,0.010617646093384094,0.02147480353392429,0.023190197365503328,0.029944942686458198,0.034340447305069355
18,19000,114850100.91037595,13964,302529,683307,1147338,2886230,3030930,3692913,4125472,568726,538956,474352,516761,712675,517491,329779,271498,0.00012218963948369652,0.0026465398473367895,0.0059742297340971695,0.010035025661800657,0.025287323390895046,0.026509759572320723,0.032246791996359284,0.03600560571703748
