,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227157,1633,1703972,2149914,2455163,2571022,2650093,2679636,2694524,293892,241827,274172,292259,292259,292259,294901,294901,0.0005811039177563882,0.5953294596919735,0.7597168234098108,0.873163659370529,0.9143682019654648,0.942489318042111,0.9538923926288977,0.9591921982522954
1,2000,9312181.82018801,8982,2455943,3529396,5027183,5705529,6368337,6903143,7246404,1498284,1213708,1194225,1495834,1493384,1486035,1508589,1528522,0.0011494903320586145,0.303259978920693,0.43476407650050297,0.643162652897281,0.7297194698228948,0.8137257256115483,0.8846108656696524,0.93097645161797
2,3000,15520302.808599377,3267,3484636,4511809,6130672,7297507,8115113,9762979,10711089,789161,594621,624430,738566,734481,736816,889681,865807,0.00022177506960749456,0.23346578365300136,0.302889871441124,0.4147463914005991,0.49354760895033906,0.5489309190088725,0.6672976123449282,0.7309080530573182
3,4000,21728423.45953294,3266,2626487,3665177,5158618,6457731,8165011,11171076,12252708,1181762,935391,962295,1128298,1121512,1105546,1210571,1271860,0.00015895526416456767,0.12631572643921113,0.17649784875126576,0.25041682440884316,0.3133769469860364,0.3959200657629723,0.5444563958159144,0.5989621875755544
4,5000,27936543.637845688,0,1893144,2860733,3930064,5301268,7348914,11363364,12660540,635773,532377,588670,571570,579173,554099,588799,641584,0.0,0.0690823415657359,0.10460531732314061,0.14361658271670072,0.19377841789613812,0.2683804933122354,0.41551375261397594,0.4638416824198411
5,6000,34144663.20868957,17146,1515730,2036573,3183441,4352858,5843076,9735407,10749095,752856,624958,675860,682852,673761,657144,661637,715865,0.0005134792463565161,0.045219073096354846,0.060849890188820394,0.09513654177731133,0.13004901908111488,0.17448518546825645,0.29075648477297583,0.32155194251661284
6,7000,40352782.03686759,2450,683517,908427,1321125,1650983,2357627,5161958,6296524,1117006,882368,1020036,999750,1032452,970141,1064289,1152398,6.244301113600702e-05,0.017317198632919244,0.02309594654663847,0.033571110829841884,0.041988024984836156,0.05986462405588634,0.13138600137083686,0.1606240386338608
7,8000,46560899.98756251,8984,595303,684751,942447,1112878,1360511,2795242,3577869,1426110,1276263,1352307,1309025,1292259,1252151,1302442,1379018,0.00019904822870507786,0.013145804838040346,0.01514647890476008,0.020826695032173406,0.024583861492677935,0.03002755605486851,0.061761759553720576,0.07918813565545813
8,9000,52769016.92555699,0,411926,626118,861383,1071378,1458409,2470262,2713067,704573,563985,603565,572301,621479,614535,657840,712240,0.0,0.00789054205708361,0.01200254146927559,0.016502628273175373,0.02054513103819861,0.02796325351446629,0.047403688531711216,0.05211746020849083
9,10000,58977132.716062516,0,370744,397323,509864,628017,793839,1344426,1505012,485216,442000,435864,440766,447658,443265,486955,512120,0.0,0.006333700511082378,0.0067870582362521085,0.008710209201625971,0.010729927152885423,0.013562045888557599,0.02298550034377473,0.02574209651350195
10,11000,65185247.22380328,0,98720,117575,270318,304611,366667,814564,874678,461833,387800,414135,416454,438640,429775,459866,474265,0.0,0.0015235168086025356,0.0018152382437674334,0.004173584013923776,0.0047046635037891775,0.005662332269506914,0.012584923944803858,0.013516685575485802
11,12000,71393360.31407672,817,63504,64244,91189,92006,115533,148411,169044,569357,491449,550834,524031,540276,520552,550409,574961,1.1535637097170644e-05,0.000895659916961816,0.0009068564228663657,0.0012867202340221273,0.0012985461520934908,0.0016301456475099618,0.0020949296612733054,0.0023870067897227773
12,13000,77601471.85152578,0,44033,44033,55363,55363,104512,137774,153071,608720,557991,559648,560612,576925,562945,579761,601031,0.0,0.0005715344051608743,0.0005715466976075222,0.0007186186668567347,0.0007187708628357002,0.0013566199182575632,0.0017887683677344688,0.0019879236833871563
13,14000,83809581.7014944,0,68937,68937,100069,100069,100069,106604,106604,552047,509706,511240,471611,490893,479976,498746,534226,0.0,0.0008275762649038776,0.0008275915053272094,0.0012007611795400435,0.0012010390652992258,0.0012008817173390922,0.001279593453869144,0.0012801386328763163
14,15000,90017689.72859097,1634,99883,110502,184442,207056,216040,296679,305664,998892,904813,705674,654288,911146,861825,950418,978389,1.8355673652006576e-05,0.001120859337806043,0.0012372579333088055,0.0020639545544626414,0.002323690172863965,0.0024231720555643846,0.003330954168036617,0.003432911057238905
15,16000,96225795.7982341,0,79944,89744,117899,126322,133673,279273,282540,1106321,928045,535843,533850,1032766,1009494,1061508,1057876,0.0,0.0008388865354152869,0.0009378623081696846,0.00123206816432168,0.001327008923528804,0.0014038877532048732,0.0029346407823921347,0.002968857579308387
16,17000,102433899.77490795,1632,524358,550899,611287,706751,764524,952065,973296,1046703,974086,708471,732207,986546,976956,1018451,1044627,1.6096706999634685e-05,0.0051681348554739725,0.005415548566710856,0.006010588253953016,0.006966677529786964,0.007535452691105801,0.009387770911640027,0.009599595434132293
17,18000,108642001.52416992,8978,386543,523111,597940,803291,1023469,1334792,1368255,988903,908557,808911,813002,914725,876684,959876,994072,8.339750664941882e-05,0.0035879573117452803,0.004851117569358256,0.005545261503293198,0.007456709441826202,0.00949720210094916,0.01239566913731098,0.012710462765498793
18,19000,114850100.91039348,0,156570,183589,288001,325162,362280,418672,430912,1880114,1679378,1702058,1704531,1762100,1659028,1695270,1763335,0.0,0.0013834850213333822,0.0016225556826059428,0.00254540235404784,0.002875300627673538,0.00320060576055141,0.0036999922728137295,0.00381045471175152
