,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629228064,1986169,2099648,2103626,2115346,2126491,2129418,2132871,2137580,43743,44475,40616,20356,22196,26552,15575,25487,0.6490074693655221,0.6862524061893123,0.6866864770231144,0.6859755567865555,0.6900014295996632,0.6919291727653498,0.6905879631802236,0.6943410349863832
1,2000,9312181.820183188,4970501,5730954,5798420,5861984,5924621,5941451,5977468,6033666,361610,433211,337641,341718,359910,348169,319874,392438,0.5553277600422931,0.6454525097630359,0.6460965654041834,0.6534761320602809,0.661800838826492,0.6628115241672068,0.6647312480321909,0.6764393823001168
2,3000,15520302.808603918,5494877,7789120,8119811,8396940,8760627,9053159,9282402,9586415,287550,329006,283289,304129,287378,301453,256387,309008,0.36072777317677784,0.5127356866326557,0.5329004161835811,0.5518430655183492,0.5751112875612561,0.5948648625786314,0.608127174991867,0.6302168961039178
3,4000,21728423.4595323,3124465,6211339,6683595,7305817,8040472,8583465,9170215,9833598,242649,261525,236865,229103,226471,207592,199065,232987,0.14542017118744405,0.2893449657717963,0.31098698647587275,0.3398161822719737,0.3739414834598185,0.39884448777642817,0.42594000268223564,0.45747375348776526
4,5000,27936543.637849413,2428417,5343028,5722432,6257697,6782150,7257134,7865898,8557249,312341,344400,318730,280568,278453,241508,240657,279551,0.08790903512533225,0.19364309167594804,0.20720076089432268,0.22626925485990962,0.24521396248224003,0.2620373591461294,0.2840096113496653,0.30940634479141277
5,6000,34144663.20868361,1971652,4130076,4409538,4789883,5322877,5728211,6402620,7193319,406484,430870,370724,317765,307807,308241,273077,341901,0.05843978680072135,0.1225040438029448,0.1305603700164849,0.1415998289423534,0.1573100339810523,0.16929127331109908,0.18902628180898626,0.21280269806329924
6,7000,40352782.03687121,2190920,4471292,4796416,5281282,5824360,6416812,7103388,7897923,1471896,1688842,1314538,1469594,1279357,1343130,1380976,1609854,0.05634953889482674,0.11564501692626329,0.12286454266410743,0.13582430522394393,0.14906192621977485,0.16449293097859335,0.18226992080581247,0.20385457166488902
7,8000,46560899.987564,2221816,4145275,4440095,5021018,5634636,6050282,6701419,7651127,1267418,1355195,1139614,1088896,948636,933254,894470,1023539,0.04905376894207499,0.09169805008328832,0.09775361713042788,0.11041998503899637,0.1235333550103161,0.1326012304393049,0.14674716201430565,0.16801867376744736
8,9000,52769016.92554098,2079915,4323404,4673940,5201060,5708206,6255690,6884617,7675246,1399470,1478849,1189322,1122398,1034376,1020521,932682,1110536,0.040489261137825305,0.08429303655773514,0.09061589074435532,0.10070475295775658,0.11033624468787806,0.12088641202250754,0.13281450183330357,0.1485766879413832
9,10000,58977132.716077626,1849414,3898813,4209852,4738639,5288677,5802951,6530303,7469106,1484414,1619066,1318926,1167807,1058195,1037729,984722,1246922,0.032167795179997606,0.06797322893219397,0.07301392533295888,0.08197014826419459,0.091311705783097,0.10015551814161555,0.11260616552002657,0.12937950351045374
