,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292270194,2351482,2351482,2351482,2351482,2351482,2351482,2360349,2360349,0,0,0,0,0,0,0,875,0.7575502803840438,0.7575502803840438,0.7575502803840438,0.7575502803840438,0.7575502803840438,0.7575502803840438,0.760406861185498,0.7606212718212237
1,2000,9312181.820187597,4605414,4605414,4605414,4623783,4623783,4623783,4695146,4695146,0,0,0,0,0,0,0,1749,0.4945579982143457,0.4945579982143457,0.4945579982143457,0.49653057567843456,0.49653057567843456,0.49653057567843456,0.5041939784532058,0.5042886931979814
2,3000,15520302.808600938,4314688,4314688,4314688,4320810,4320810,4320810,4393706,4393706,0,0,0,0,0,0,875,7873,0.2780028233475519,0.2780028233475519,0.2780028233475519,0.2783972744143576,0.2783972744143576,0.2783972744143576,0.2831100511041385,0.28323776830654146
3,4000,21728423.459528405,4641721,4641721,4641721,4748444,4748444,4748444,4942629,4942629,410314,557317,497693,730107,322960,701435,675839,460007,0.2177360524774547,0.21924791738557986,0.2186321854939656,0.22613450983806366,0.2218332720979364,0.2258261571379822,0.23477540296782728,0.23239290096680734
4,5000,27936543.637851417,3530067,3530067,3530067,3568559,3568559,3568559,3652606,3652606,282531,403702,215168,361690,269771,446560,522964,325455,0.12765116752598218,0.12821295551080925,0.12734097492549987,0.12941352461437963,0.12898356619730156,0.12981306380577076,0.13324075324174917,0.13228764891916378
5,6000,34144663.20868653,2302432,2302432,2302432,2368919,2368919,2368919,2450788,2450788,252735,294984,187117,352796,255246,393661,501142,361189,0.06793452369611372,0.06801931521434176,0.06780325014800466,0.07010322884410028,0.06990143812189249,0.07018810835164796,0.07284576381877718,0.07254398955125356
6,7000,40352782.03686553,1883559,1883559,1883559,1910199,1910199,1910199,2019076,2019076,229390,345219,277144,508563,333945,357867,482469,437866,0.04694416160700916,0.04708007329175156,0.047000100117365974,0.04794168504677188,0.04773249653007947,0.04776104657902795,0.050641087220285666,0.05058449823958481
7,8000,46560899.98757213,935661,935661,935661,979008,979008,979008,1036614,1036614,326102,413160,360026,603485,313511,529075,577181,485541,0.020237159903921387,0.020275337432601882,0.020252019480230816,0.02130250363874349,0.02116893561846453,0.02126806834759032,0.022543065737683422,0.022498229482696055
8,9000,52769016.92555252,214122,214122,214122,228118,228118,228118,253048,253048,345652,478044,325278,574306,329308,581178,634560,448465,0.004084476460144803,0.004094817671586429,0.004082889671614773,0.004370519463655507,0.004350100423399643,0.004371094965733627,0.004853757283045069,0.004836493322166493
9,10000,58977132.71606931,759566,759566,759566,784935,784935,784935,814241,814241,225319,391164,246652,412748,226688,373011,411580,318847,0.012928383856722533,0.012964981490383066,0.012933079905681315,0.01340294111865951,0.013360494610610259,0.013393853145738212,0.013903070358569112,0.013881090967118741
10,11000,65185247.22379547,418396,418396,418396,424520,424520,424520,443767,443767,387532,604739,452760,793943,563088,650753,600240,513554,0.006456956060178394,0.006478673078107442,0.006463462442799492,0.006592815677790245,0.006569263625652441,0.00657818745007641,0.006871052881705029,0.006861842915792395
11,12000,71393360.31408793,491953,491953,491953,514701,514701,514701,527825,527825,866326,1040977,981443,1130868,1017080,1156184,1047079,959878,0.00697538191963548,0.006992698425065116,0.006986786026654194,0.007325401975483301,0.007313557887727225,0.007328042313351983,0.007503239547849346,0.0074939500740037355
12,13000,77601471.85150176,12469,12469,12469,12470,12470,12470,12469,12469,147391,203624,233789,223434,187099,164068,181289,181367,0.00016098570744007786,0.00016110267076060644,0.00016116548331856844,0.00016115683915288092,0.00016108119901610873,0.00016103329114588034,0.0001610561941440588,0.00016105635640660247
13,14000,83809581.70151061,93629,93629,93629,103254,103254,103254,113755,113755,187611,231984,230519,268342,180818,208571,218534,208414,0.0011196698572700418,0.0011202643121472216,0.0011202446758033307,0.0012359644215111276,0.0012346708886972928,0.0012350807619857433,0.0013608514682840168,0.0013606867359335286
14,15000,90017689.72857547,10294,10294,10294,10294,10294,10294,10294,10294,325377,388161,281280,451304,335849,376422,419578,372384,0.00011477014792952696,0.00011485054251677765,0.00011471374920320666,0.00011493151047978235,0.00011478354944960454,0.00011483550222838405,0.00011489081411876386,0.00011483032955643844
15,16000,96225795.79824555,6332,6332,6332,6332,6332,6332,8082,8082,277405,321959,299753,472439,362582,419391,446515,374009,6.599381133253756e-05,6.602447004618523e-05,6.600918598630871e-05,6.612822998301423e-05,6.605244857872568e-05,6.609161478644646e-05,8.438150644526497e-05,8.431767700910435e-05
16,17000,102433899.77491057,93058,93058,93058,93933,93933,93933,96599,96599,154179,260113,160480,400539,305443,292740,308409,230703,0.0009098382288781857,0.0009107815510939934,0.0009098942834297278,0.0009206106638711992,0.0009197534454772658,0.0009196390584070225,0.0009458852953070138,0.0009451661302996902
17,18000,108642001.524176,290210,290210,290210,303336,303336,303336,340921,340921,175734,209592,154953,246196,188838,220344,204469,194911,0.0026755783768010197,0.002676413825658785,0.0026750658622197434,0.0027984108659291768,0.002796930860687908,0.002797743614391449,0.00314393911466025,0.0031436620231319054
18,19000,114850100.91039133,889,889,889,889,889,889,889,889,614334,663255,612907,787886,671193,659844,718594,679482,7.782151107694214e-06,7.785485209895778e-06,7.78205389653863e-06,7.793992083166272e-06,7.786026476078186e-06,7.785252648110128e-06,7.789260161946212e-06,7.786591756130762e-06
19,20000,121058197.79921603,14002,14002,14002,14002,14002,14002,14002,14002,537181,626223,568409,627328,594715,598409,616849,619989,0.00011617890698123516,0.00011626480445366863,0.00011620901770632952,0.00011626587122840118,0.00011623439464503947,0.00011623795906979979,0.00011625575551584275,0.0001162587864731773
20,21000,127266292.05492854,3499,3499,3499,3500,3500,3500,3500,3500,259311,244880,245517,282727,223699,250989,281886,286249,2.754966672648283e-05,2.7546536787726065e-05,2.7546674931615723e-05,2.7562621969906305e-05,2.7549815505471688e-05,2.755573474864209e-05,2.75624394265075e-05,2.7563386464485475e-05
