,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227427,155791,155791,155791,1157205,1335664,1443991,1566402,1695097,17255,17255,17255,0,13522,14611,0,12848,0.050469974048541484,0.050469974048541484,0.050469974048541484,0.3728036073470698,0.4321783870839011,0.467394252471142,0.5046299628463969,0.5483598843938626
1,2000,9312181.820185512,208647,208647,208647,1554414,1976752,2379213,2706256,2926355,87823,92230,92230,32802,42007,45325,32571,54098,0.022619133109113364,0.022629944718713494,0.022629944718713494,0.16751270344799016,0.21323783405849964,0.256744335880693,0.2916346442151653,0.3160864663613903
2,3000,15520302.80860524,413411,413411,413411,2016027,2686228,3220827,3927130,4371363,61507,65914,65914,22726,38780,30848,22956,30889,0.026742768655361373,0.026750394669105674,0.026750394669105674,0.1300865951430919,0.1735118717460332,0.20793675696130082,0.2534066023365609,0.28221616737822974
3,4000,21728423.459526353,433689,445559,445559,1798187,2528601,3432944,4894988,5498555,7933,16747,16747,6170,8815,9696,3526,9696,0.019966814322546253,0.020521630415347485,0.020521630415347485,0.08278086817053505,0.11642019259748397,0.15806377267717078,0.22531696681742225,0.253171140447651
4,5000,27936543.637850977,471896,492405,492405,2126978,3088163,3951985,5320636,5871162,86213,89739,89739,51208,71396,41634,12422,13483,0.016943999916419414,0.017682639225711907,0.017682639225711907,0.0762758615360858,0.11082528756478413,0.1416740563531885,0.190539064003643,0.2102621226285407
5,6000,34144663.20868997,297084,298200,298200,1278017,1734043,2310143,3485001,3960390,75609,92932,92932,54783,24114,48847,6086,13840,0.008720054222233823,0.00875726400435992,0.00875726400435992,0.03748963012413919,0.05082107528205807,0.06775444194854663,0.10208395559944113,0.11603558389976525
6,7000,40352782.03686097,64340,64340,64340,577774,922782,1471960,2694104,3112497,38519,57330,57330,19173,18196,34936,12695,12436,0.0015959612095890559,0.001596706247175087,0.001596706247175087,0.014324877287127247,0.022878181993901906,0.036508894811847006,0.06678478401740304,0.07715593210717521
7,8000,46560899.98757315,49357,49357,49357,296750,513920,794740,1355094,1605316,33783,45804,45804,8812,15865,29390,8457,4310,0.0010608222300380805,0.001061096380692971,0.001061096380692971,0.0063745798057267804,0.01104134952604954,0.017079609069472403,0.02910897716714315,0.03448096178067358
8,9000,52769016.92554736,36137,36138,36138,386124,643874,937960,1823701,2174966,47181,54549,54549,17711,27501,20726,24814,17626,0.0006854275721928935,0.0006855423458136851,0.0006855423458136851,0.007319705042847117,0.012208105677298424,0.017781808349466764,0.03457633064574507,0.04123049576208747
9,10000,58977132.71607563,22398,22397,22397,480330,733860,1101438,2266288,2585899,68445,109677,109677,43641,68152,74625,42167,30850,0.0003802155652821951,0.0003804648889196648,0.0003804648889196648,0.00815037402355336,0.012457523302550327,0.018699339683620912,0.0384540479911033,0.043868737447879516
10,11000,65185247.22379917,24795,24796,24796,264279,558618,1110014,2374155,2623422,85985,136355,136355,65135,61251,77255,78236,52205,0.0003808798925364069,0.00038119019636322093,0.00038119019636322093,0.00405833145820985,0.008577759848770712,0.01704881324222823,0.03646542753804299,0.040277897522210615
11,12000,71393360.31407821,31255,32136,32136,247993,371529,515759,922301,1098900,78823,146835,146835,40743,40629,68114,88149,61000,0.0004382696877405099,0.000451053575712414,0.000451053575712414,0.003475597803348831,0.005206934523145516,0.00723108613924547,0.012934552510300248,0.015405350322932188
12,13000,77601471.85150927,22919,22919,22919,143466,207490,296988,578851,689497,365590,500958,500958,258146,251248,204976,447905,435882,0.0002967403161663019,0.0002972613132532495,0.0002972613132532495,0.0018549241116866248,0.002682474460556476,0.003837227987295352,0.007502582493873082,0.008935290993392363
13,14000,83809581.70151114,3526,3526,3526,65643,170280,257002,519072,672985,611642,709326,709326,541052,449784,582755,489694,475136,4.238085717807693e-05,4.243067569689657e-05,4.243067569689657e-05,0.0007883290390175909,0.002042711291235693,0.0030879706722656245,0.006229869174326621,0.0080757122020168
14,15000,90017689.72857964,0,0,0,6266,35528,53652,162210,240096,127527,208195,208195,126663,135318,137079,158644,142393,0.0,0.0,0.0,6.970662398728403e-05,0.00039527216868825976,0.0005969251829186792,0.0018051605009244958,0.002671434851837895
15,16000,96225795.79822755,2645,2644,2644,19905,39298,69018,137432,190705,72135,101225,101225,40396,32623,20279,44556,40971,2.750805302723073e-05,2.750597457074683e-05,2.750597457074683e-05,0.000206944089661795,0.000408532111550479,0.000717401686482823,0.0014288857191725724,0.0019826932200589114
16,17000,102433899.77489698,0,0,0,882,6171,53480,155985,217697,131683,255535,255535,89643,114567,80648,119638,140234,0.0,0.0,0.0,8.617972593615405e-06,6.03111829665292e-05,0.0005225041615445425,0.0015245675167278707,0.002128157186966538
17,18000,108642001.52419591,3524,3524,3524,3524,10382,23435,108658,151299,518654,633240,633240,185855,292465,299963,323792,286373,3.2592405624616803e-05,3.2626982758343734e-05,3.2626982758343734e-05,3.249239543296716e-05,9.58195146287641e-05,0.0002163056955474055,0.0010031369654031088,0.0013963187889793358
18,19000,114850100.91038203,7047,7048,7048,17056,36402,84128,297777,368630,302986,318488,318488,99827,117362,211740,194149,146601,6.152053681590624e-05,6.153759491289862e-05,6.153759491289862e-05,0.0001486358107809001,0.0003172764839897501,0.0007338555727063007,0.0025971351250282234,0.0032137641858183143
19,20000,121058197.79924226,2643,2643,2643,11140,14019,30798,77503,118809,183326,277675,277675,57848,30379,140102,148657,145916,2.1865586789532947e-05,2.1882667327025194e-05,2.1882667327025194e-05,9.206584954905446e-05,0.00011583287329381972,0.00025470133147922924,0.0006409998705452507,0.000982604895317959
20,21000,127266292.05494618,0,0,0,9691,34359,60862,394954,464661,279283,303509,303509,35020,52620,128589,118317,147087,0.0,0.0,0.0,7.616838096073455e-05,0.00027008889410219715,0.00047870929344772533,0.003106254738459839,0.0036553170687242285
21,22000,133474383.54323244,0,1762,1762,29959,42295,74562,192309,230228,275534,366934,366934,97787,119049,286152,133332,40677,0.0,1.323742589950019e-05,1.323742589950019e-05,0.00022461961675779562,0.0003171601656946719,0.0005598242362411534,0.0014422340140136717,0.0017254111121121128
22,23000,139682472.12841725,0,0,0,15859,27314,91906,246245,331433,514567,580602,580602,212047,245345,371322,154017,134557,0.0,0.0,0.0,0.00011370869476735187,0.00019588756999306688,0.0006597174735495392,0.0017648371421683446,0.0023750480234334052
23,24000,145890557.67618823,0,0,0,20260,32593,42313,121012,185633,1033310,1198974,1198974,322239,368052,534179,571207,538535,0.0,0.0,0.0,0.0001391786357378193,0.00022397222923390862,0.00029109833627777055,0.0008327314940296441,0.0012771270504680129
24,25000,152098640.05077696,0,0,0,6170,14104,29974,58959,78346,725249,1067227,1067227,258954,358641,722384,611861,590476,0.0,0.0,0.0,4.06349628379545e-05,9.294846506016096e-05,0.00019800991768448585,0.00038920228134388873,0.0005171074475811274
25,26000,158306719.11788964,0,0,0,19380,29070,38874,117896,169011,501297,588065,599527,146948,186563,326676,97649,85585,0.0,0.0,0.0,0.00012253431996657653,0.00018384752907988708,0.00024606905551349296,0.0007451911569428332,0.0010681948460442136
26,27000,164514794.74183917,0,0,0,16560,61493,102811,149646,203815,213890,235050,235050,40560,132658,108914,18518,82549,0.0,0.0,0.0,0.00010068446298590648,0.00037408565929870024,0.0006253486769213599,0.000909722718130908,0.001239507488816958
27,28000,170722866.7881384,0,0,0,2823,5468,6349,37482,82024,387115,422201,422200,122159,191853,193343,115091,112251,0.0,0.0,0.0,1.6547410831998195e-05,3.206454872069925e-05,3.723108971961851e-05,0.000219696903185382,0.00048076727008509323
28,29000,176930935.12175226,0,0,0,12340,22917,34377,160665,202094,566502,657046,657046,207206,247037,339592,28721,70360,0.0,0.0,0.0,6.982650299043014e-05,0.00012970621682915312,0.0001946697918045649,0.0009082136184537687,0.0011426741084658175
29,30000,183138999.6071148,0,0,0,12339,15865,19004,105161,219611,328424,354498,354498,132289,164338,146965,86106,67698,0.0,0.0,0.0,6.742375708008761e-05,8.67059944839002e-05,0.00010385151485310125,0.0005744842265411349,0.0011995927164559208
