,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292264666,1039924,1389873,1716787,1935583,2002277,2060902,2454507,2566173,50659,46532,53017,44123,44905,42546,43136,51487,0.34057884493349444,0.45457399375247326,0.5626884465219064,0.6325563571991183,0.6545194957950841,0.6731641849187292,0.8018841681248075,0.8406588379819941
1,2000,9312181.820185555,2157289,2938698,4273190,4949969,5251672,5412232,6878706,7205641,458550,436027,466073,400972,407265,397908,405497,460454,0.24366147630868926,0.3310778213688894,0.48305871958631025,0.5554766524279785,0.5897496973913978,0.6071422203505233,0.772308231274843,0.8140377953746155
2,3000,15520302.808602255,2390992,3491527,5963499,7081387,7628556,7934089,10704832,11445757,385277,374785,396618,348606,349196,350301,352143,393743,0.1579773982705096,0.2305320322568902,0.3943152132215821,0.4667498361808087,0.5028345061597279,0.5230117372498215,0.705743619204817,0.7566662311076815
3,4000,21728423.45953068,1420412,2100135,4275203,5394584,6078181,6427673,9583057,10241830,498134,511706,538824,462165,469206,465327,467148,511664,0.0669049756814479,0.0989849162108065,0.20175950037022028,0.2536686935440853,0.2859080307904326,0.302292425387505,0.4507282273935383,0.48272357612082534
4,5000,27936543.63784702,1109939,1751911,3467475,4309785,4908757,5279911,8055652,8792438,770272,746349,871604,747862,741836,715110,733286,786227,0.040857244409412255,0.0644317197186022,0.12811685695212705,0.15851393816759102,0.18050412842712293,0.19396153304207805,0.2961282103505291,0.3238429266693527
5,6000,34144663.208693236,577441,1435016,2337769,3155854,3533122,3907032,6411312,7054200,1182222,1204736,1282798,1148571,1145805,1132214,1154643,1243847,0.017518150319755763,0.043564637860562194,0.07113926690264585,0.09564326527032042,0.10706800755515937,0.11835026160286082,0.1943409540049493,0.21440805465902393
6,7000,40352782.03686175,452911,1420245,1886212,2518420,2838837,3132853,5914921,6650379,1808626,1803426,2043269,1717032,1754223,1744909,1757178,1921536,0.011750445374049909,0.03684224967706154,0.049236125715956515,0.06518367050198885,0.07354774558524067,0.0811454440136818,0.1532537486484419,0.17304614567066642
7,8000,46560899.98758638,442457,1371961,1719580,2401086,2785305,3086228,5505780,6235132,1147174,1181929,1271451,1050140,1056261,1058518,1065693,1176181,0.009742803312834175,0.030233409223300943,0.03796866684051132,0.052758644343775536,0.061209253868816066,0.06782563604784386,0.1210189020901099,0.1373839507898117
8,9000,52769016.925539166,531001,1141530,1427229,1820762,2013855,2216301,4044354,4536464,936184,925025,1022014,758938,776345,774579,791653,917186,0.010244491185014205,0.022018559096288734,0.0275809016814693,0.03500786842886194,0.03873343926013505,0.042625732451881636,0.0778099098252422,0.08748898388013536
9,10000,58977132.716067344,344253,870850,1153834,1679980,1834798,2061634,4184441,4705645,735207,702629,794508,634508,647133,637553,638045,738244,0.005910742060251453,0.014943928209892087,0.019831246968158255,0.02879507063962002,0.03145547760897029,0.03533851306495107,0.07172619874286362,0.08079901769660269
10,11000,65185247.22380215,325609,949287,1245607,1828086,2000638,2243933,4064244,4554195,396718,402552,459749,344000,370007,361928,375570,446201,0.005025719890557063,0.01465340391782924,0.01924445595911907,0.028193257814586575,0.030866783693031877,0.03461613855737368,0.06271044964419845,0.07034695853034657
11,12000,71393360.314071,337712,1149634,1320285,1856038,2104508,2335171,5261452,6042537,395897,384803,411308,317293,334096,301356,336459,399099,0.004756676988670225,0.016190076851092274,0.018600265235473836,0.026113403148749596,0.029616236817459844,0.0328471678711386,0.07404561559396489,0.08511303432355559
12,13000,77601471.85151327,394093,1067088,1354700,1855956,2074575,2275849,5255318,6173074,458888,462464,580654,440132,459996,443276,492352,642853,0.0051086310611343265,0.013833312479907227,0.01758875116869956,0.024052926032279123,0.026893120427113316,0.02949588147939264,0.06815429887048392,0.08021290002501931
13,14000,83809581.7014978,1199981,2217230,2533672,3286212,3668579,3962629,6444564,7159238,260199,276822,381797,296201,332996,322479,339628,390652,0.014362535798585714,0.026543238939108624,0.03036964254852751,0.039349526655446034,0.04394740116849528,0.047463965951340996,0.07720818946476016,0.08582270266015479
14,15000,90017689.72860444,885592,1593703,1994663,2596218,2902692,3119996,5408944,6033148,479441,452596,540694,405293,438112,414604,437539,515482,0.00989065580994643,0.017793795927118185,0.022292467284552968,0.028971638911330252,0.03240350170877303,0.03482018475848079,0.06038105491011229,0.06740781208765466
15,16000,96225795.79821849,1738582,3141207,3979899,5313925,5820899,6219865,9559419,10356685,427778,424649,746184,511187,610693,591972,654628,719986,0.01814841308785756,0.032788824612049565,0.041683233991471454,0.05551843200030826,0.06087844733361993,0.06503833845568628,0.10002408906609797,0.10844036631783198
16,17000,102433899.77492571,3258216,4720173,5328342,6025156,6323539,6622767,8940695,9704542,659089,652874,764032,622845,646420,637871,648780,723998,0.03201397256542704,0.04637576566027142,0.05240827116836381,0.05917978173706036,0.06212491962648768,0.06505918825815053,0.08783892006778872,0.09541393542464749
17,18000,108642001.52416384,1771752,2910342,3299856,4280302,4676442,5033647,8623050,9690136,655129,668540,740118,592619,634205,636160,650694,712862,0.016407105406294097,0.026954234484264285,0.030582005542665262,0.0396143124560917,0.043297263257785025,0.04660532179524601,0.07984948231199562,0.08978238910012354
18,19000,114850100.91040075,424683,907101,1046652,1410571,1660705,1800132,3624163,4120748,576737,561437,607027,444123,485330,471327,493571,570738,0.003716377863287412,0.007936928904087487,0.009161623231714463,0.012329521811392722,0.014521123828430363,0.01573833971511308,0.031691788854030116,0.03605854893705366
19,20000,121058197.79922771,342006,1085269,1255925,1743528,2060478,2341580,5355554,6135079,450049,460024,733089,602700,641452,611256,634943,729906,0.002835679043290232,0.008999050033765518,0.01043776326099662,0.014474457636678983,0.01711122474141146,0.019440759267289373,0.04447275577237052,0.05098617214841386
20,21000,127266292.0549314,741822,1620615,1884043,2532332,2931481,3303018,6621349,7454674,534897,509055,728017,527507,579151,462471,599260,701146,0.005853498256516936,0.012785187162904882,0.014889115559557927,0.01998071860088,0.023139530781019938,0.026048252903744382,0.05227365710383531,0.05889989647516818
21,22000,133474383.54326105,829508,1886065,2209435,3072167,3436281,3855500,6987484,7850155,829154,879632,990110,821329,870432,852199,877119,967726,0.006253583358076692,0.014224280961713954,0.016676960524514912,0.02315941393568212,0.025913865763486987,0.02907130517626442,0.052697044875464005,0.05924347610562183
22,23000,139682472.12839937,1292651,2648170,3189696,4236735,4631109,5066271,9039222,10003638,990311,990613,1100002,755568,759895,775493,797254,942753,0.009320288828748444,0.01909391089457063,0.023016590749498723,0.03049614490857951,0.03333589900020133,0.03647240067986049,0.06508411853911797,0.0721036345096096
23,24000,145890557.67619967,2366411,3904132,4406372,5284188,5608668,6164890,9671093,10535708,665260,786295,1256012,1021286,1103709,1109535,1141902,1191804,0.016294757441477226,0.026905701652005048,0.03046555703133854,0.03647556130337149,0.03873741331675218,0.04258078777208028,0.06681300738042137,0.07281132513121938
24,25000,152098640.05076146,2816877,4369438,4814394,5674680,5954735,6236759,9493691,10411913,486853,498692,691655,469812,519181,559142,606777,665854,0.0185795382720268,0.028822160272356723,0.03179770073610476,0.03742480947026948,0.039284577457199245,0.04115599616088778,0.06266799291272088,0.06875600239243994
25,26000,158306719.11791897,1895994,3107601,3769892,4847721,5387555,5674452,9192530,10171818,434161,419457,474412,389569,409380,407497,418523,462082,0.01200964893837873,0.01968240476346389,0.02388542668379963,0.03069787541365924,0.03412061932200473,0.03593717514176432,0.05822176847935199,0.06444196132175888
26,27000,164514794.74182725,2645146,4121784,4864664,6039475,6707593,7119963,10432226,11267571,498931,483413,557136,443794,457988,454633,473571,542570,0.016127379020871115,0.025128020969105595,0.029670245582489374,0.03681013081344809,0.04088579519017214,0.04339848823996838,0.06359514859763869,0.06871633911011872
27,28000,170722866.78810978,2465979,3698205,4418269,5532285,6201519,6545374,9648686,10490795,637736,639709,898986,603319,706829,743613,784444,878517,0.014498498420018208,0.02174351092779708,0.02601677090110018,0.032519984163669816,0.03647608237835142,0.03850689924877088,0.056777542369159245,0.0617671121417218
28,29000,176930935.12175226,1138956,1880996,2231202,2978329,3302028,3568911,6425896,7153341,1610838,1580861,1845048,1467206,1543398,1587925,1657689,1807996,0.006496437195155351,0.010727089848242393,0.012743471428102332,0.016974043666502563,0.01882703899141799,0.02035388235619925,0.036662161180813065,0.04084753851136955
29,30000,183138999.60710478,833712,1569112,1770449,2130765,2302464,2448033,5074065,5747557,1675367,1697293,1863088,1516447,1554683,1561128,1534642,1750658,0.004594375126420554,0.008648022713971528,0.009766598244102337,0.011731830488085807,0.012679861581778877,0.013482000743444189,0.027940216120681295,0.03168647416408638
