,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292267106,1899335,2336869,2536587,2609276,2674452,2734646,2788313,2833563,11332,0,708,7790,8499,9207,20539,20539,0.6141292132943781,0.7528425759461294,0.8173698909079705,0.8427157417604879,0.8639634161210654,0.8836107705304586,0.9042625073783759,0.9189372868808462
1,2000,9312181.820185801,2464101,3725298,4830361,5278074,5600532,5938231,6535927,6769761,7082,0,0,5666,3541,4249,8498,8498,0.26481188247487253,0.4000456683443141,0.5187142061089635,0.567137487538771,0.6016487377894352,0.6379752749312885,0.7025095786057649,0.7276430638487458
2,3000,15520302.808607364,1228412,2291290,3764229,4939743,5565362,6567038,8511449,9037542,0,0,0,0,0,0,0,0,0.0791487134721842,0.14763178452480188,0.2425357962676093,0.31827619995020207,0.3585859160501379,0.4231256362058866,0.5484074057678603,0.5823044892518394
3,4000,21728423.459520724,1008797,1976171,3494314,4588215,5044579,6225035,8614076,9350351,708,0,708,0,0,708,708,0,0.04642904137250021,0.0909486601124806,0.16082289030846314,0.2111618916369004,0.232164980096134,0.2865020490349018,0.39645567045685215,0.43032809156261936
4,5000,27936543.637850918,3061070,4773519,6802747,8230350,9042618,10453820,13058981,14082760,0,0,0,0,0,0,0,0,0.10957225201805529,0.170870064023683,0.24350710983383902,0.2946087428241763,0.32368420794003505,0.37419876043062944,0.4674515634176924,0.5040981512444304
5,6000,34144663.208689526,4469398,6897830,8873255,10472036,11693383,12802518,15558005,16832225,22537,708,2124,18996,18409,21244,18413,20414,0.13098240047133478,0.20202199650978117,0.2598885497579422,0.30686684998596814,0.3426506445299387,0.375182742435724,0.4558955321741878,0.49326286703221534
6,7000,40352782.036868274,6011478,7711843,10208499,11635626,12679457,13525974,15992849,17515775,13666,5752,8584,7911,9205,13454,16285,19327,0.14902354316603664,0.1911378109603874,0.2530351202091322,0.28840409452212745,0.3142868811164857,0.3353048912376004,0.3964858174318472,0.4342741028257823
7,8000,46560899.98756114,6176350,8449688,10471562,11655358,12738458,13804641,16027525,17784234,53709,11942,19019,26194,37521,39645,46015,48049,0.13280419369236757,0.18152260255230493,0.2249922387708964,0.2504659211366998,0.27380766997611794,0.29673836193135994,0.3445676583804524,0.38235097660979783
8,9000,52769016.925564885,5332651,8616383,10399602,11325273,11895091,12615991,14087981,15333953,36609,9860,9860,15355,25993,31656,33070,34488,0.10112663558863788,0.16331540346932383,0.1971146357526571,0.2146822151603408,0.22552918120104928,0.239223024788946,0.26714189886235923,0.29077633407219716
9,10000,58977132.7160781,4988667,8447754,10811148,12100223,12736492,13431074,15021488,16188720,18592,2172,9248,15077,18592,17176,22135,23551,0.08461313559342525,0.1432430627748926,0.1833395932727471,0.20522050754584603,0.21602454615242428,0.22779992978416502,0.25479583719673976,0.2746011273405791
