,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226902,982852,1152114,1152114,1193738,1193738,1193738,1227337,1227337,939855,1403047,1184212,485301,932740,943588,1268397,1134979,0.45413984083901243,0.6773102697146685,0.600106686777666,0.4558409968892066,0.5497750926011467,0.5525355812663844,0.6686066992114991,0.6233042763604855
1,2000,9312181.820188131,1513103,2683579,2683579,2848641,2848641,2848641,3013007,3013007,4046790,4230921,3989229,3773805,3878090,3870898,3994777,4159005,0.2873675980196925,0.5281325039128068,0.504152317454723,0.5143458259496391,0.5242165745924732,0.5235236929621342,0.5666311108307528,0.5846892325130815
2,3000,15520302.808597973,114871,2972148,2972148,3590618,3590618,3590618,4228749,4228749,9316390,9552680,9195031,9169312,9206975,9239749,9482051,9461525,0.018515895297690328,0.49804555269777073,0.4698846294573373,0.5653634382747053,0.5687361893532634,0.5717040422589015,0.7003267061467378,0.6979541309468403
3,4000,21728423.45953395,39113,1339156,1339156,2607086,2607086,2607086,3954792,3954792,13247990,13302245,13147915,13127903,13078137,13110432,13197353,13187067,0.004612146323255214,0.15892803676437547,0.1560695390390346,0.30313118982351384,0.30138724447981596,0.3025166608996603,0.46357511859256756,0.46301685437628837
4,5000,27936543.63784723,1777,1192944,1192944,3523692,3523692,3523692,4638281,4638281,16022130,16037253,16012473,15968525,15987874,15982469,16019084,16037473,0.00014914707966451628,0.10025337108799474,0.10004502960705154,0.29442567785253976,0.29490245414759475,0.29476911486262647,0.38920047904083854,0.38980195522556826
5,6000,34144663.208688855,0,472938,472938,1756692,1756692,1756692,4619940,4619940,18519479,18571140,18500804,18484981,18477790,18507124,18554928,18589823,0.0,0.030368080084546067,0.030231542849562497,0.11217928796954069,0.11212779835517771,0.11233813559513955,0.29634499484154814,0.29700980132340576
6,7000,40352782.03686288,0,335965,335965,816775,816775,816775,2343057,2343057,21832902,21882815,21841078,21759511,21785548,21794498,21786045,21863540,0.0,0.018189799653105583,0.018148788427633858,0.04392852652880001,0.04399012789833947,0.044011342771649316,0.1261964875868083,0.12672542202263
7,8000,46560899.98757273,0,142540,142540,539839,539839,539839,1612646,1612646,25304094,25359805,25347314,25281436,25315813,25292432,25349998,25378335,0.0,0.006723237648034288,0.006719278866076782,0.025369013068903785,0.025410063056732962,0.025382129089666007,0.07602910998055784,0.07613081800745558
8,9000,52769016.92554912,0,172356,172356,351007,351007,351007,834357,834357,28996353,29030143,29029254,28969378,29015417,29007044,29017435,29031451,0.0,0.007260496034502324,0.007260224145478204,0.014748417028427727,0.014777002269136502,0.014771795300826795,0.035128481236127614,0.035149223076068145
9,10000,58977132.71607292,0,13336,13336,211207,211207,211207,341031,341031,32088365,32099032,32091032,32052196,32091920,32076922,32086071,32170727,0.0,0.0004961660104214568,0.0004960183754733738,0.007844289560536623,0.007855879818787265,0.00785149983504789,0.012681946276452303,0.012721996511286122
10,11000,65185247.2237944,0,0,0,21338,21338,21338,24867,24867,35207849,35250234,35246678,35200764,35223457,35225604,35232458,35244153,0.0,0.0,0.0,0.0007116347425680186,0.000712173733298962,0.0007122247698548372,0.0008302064897597495,0.0008305307686530046
11,12000,71393360.31408352,0,0,0,0,0,0,11415,11415,39239010,39278507,39268230,39239413,39269770,39260729,39273493,39288036,0.0,0.0,0.0,0.0,0.0,0.0,0.0003553875203897525,0.00035554850305600643
12,13000,77601471.85151684,0,0,0,2668,2668,2668,15257,15257,43072483,43131680,43118845,43076631,43101417,43087236,43124196,43179752,0.0,0.0,0.0,7.727769148812114e-05,7.733321038133647e-05,7.730143618065199e-05,0.0004425233613498719,0.0004432375856236503
