,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292263474,852545,2416791,2416791,2472687,2472687,2472687,2510245,2510245,0,0,0,0,0,0,0,0,0.2746547512548063,0.7785901400393581,0.7785901400393581,0.7965975202669574,0.7965975202669574,0.7965975202669574,0.8086971550635114,0.8086971550635114
1,2000,9312181.820187515,2514161,5462946,5462946,6019369,6019369,6019369,6099043,6099043,142611,12063,62094,32579,133857,132106,127046,109183,0.27418524261406885,0.5874060434735233,0.5905831497164378,0.648666663502562,0.6558243598832475,0.6556992684922124,0.6640122823872938,0.6627234360414412
2,3000,15520302.808600944,2472338,4824281,4824281,6475608,6475608,6475608,6724981,6724981,2163565,1820020,1975023,1726669,1792708,1809762,1923959,1896345,0.18510043660570785,0.35213003026268547,0.35615956762566775,0.46946352859985097,0.4717219651575632,0.47230872147200054,0.4946168686721373,0.49361434426598494
3,4000,21728423.459531754,1436491,2788392,2788392,5183041,5183041,5183041,6051311,6051311,6659805,5775369,6405238,5777919,6091034,6129450,6436280,6203870,0.09532997360427148,0.1747873428924434,0.1819720845488747,0.32494527136429857,0.33145180743967995,0.3322680824764723,0.39571372162534574,0.389789697705258
4,5000,27936543.63784779,308456,913277,913277,1918028,1918028,1918028,2709267,2709267,11686877,10186368,10911721,10157354,10896116,11111219,11308573,10989405,0.01898229710642568,0.051451716232749065,0.053643848128537855,0.10788050743983074,0.1125575038821178,0.11399649286323336,0.16293431465613106,0.15986574830688144
5,6000,34144663.20868875,174209,467670,467670,1138461,1138461,1138461,1768355,1768355,15674414,14086571,14422113,14119936,14932805,15171742,14579075,14437804,0.009431870573681746,0.0233157767515604,0.023712450725260084,0.056852759497568614,0.05925824496690903,0.06000451841220084,0.09038087591022197,0.08973296968703834
6,7000,40352782.036863625,47459,250527,250527,390805,390805,390805,517509,517509,19521367,17582731,18249740,17882185,17715188,18585711,18357062,18016920,0.0022782417764715336,0.01100247863276234,0.011334503168485548,0.017391838737478748,0.01726353955122631,0.017953954362447393,0.023527713533936748,0.023169421406072938
7,8000,46560899.987571865,8300,23180,23180,49411,49411,49411,60790,60790,21524793,20023789,21139565,19795864,20326033,20661983,20972682,20831200,0.0003315211907394464,0.0008734937277405931,0.0009118325222232576,0.001846102505632483,0.0018834095870738459,0.001907840394396063,0.0023757027562265397,0.002362639285703417
8,9000,52769016.92555642,1915,2791,2791,3666,3666,3666,7222,7222,23591075,22684623,23165253,22263182,22877112,22901487,23358017,23819513,6.563177090714156e-05,9.2772352566128e-05,9.427855211311753e-05,0.00012017373099101082,0.00012264189950857604,0.00012274198800963295,0.0002455543850355291,0.00024946886891641926
9,10000,58977132.71607104,1164,1164,1164,7291,7291,7291,21240,21240,26659117,25636800,25941783,25420341,25653933,26162879,26398762,26408928,3.601706274996235e-05,3.491266898602116e-05,3.5234983434540036e-05,0.00021727345276897225,0.0002187965160045454,0.00022219002946360396,0.0006519663056545128,0.0006521698136317275
10,11000,65185247.22379565,3501,18380,18380,22046,22046,22046,25547,25547,30301177,29445558,29946500,29216067,29569614,29726846,30046473,30036017,0.00010036099507711243,0.0005142741976548165,0.0005215849440750989,0.0006129136072279824,0.0006189978389958975,0.0006217426403648799,0.0007270316214587761,0.000726815348084208
11,12000,71393360.31407732,2627,11377,11377,16491,16491,16491,21741,21741,35672480,34366119,34959684,33643353,34363082,34436260,34538823,34404450,7.354242048073826e-05,0.0003072602655838311,0.0003122660447966963,0.0004368475974798118,0.0004453382677853337,0.00044622007299956965,0.0005899137958162779,0.0005877707619768881
