,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629228314,206003,2143677,2615073,2694788,2751462,2822893,2901614,3006863,0,0,0,0,0,0,0,0,0.06636564958179102,0.6906041009040889,0.842468402638811,0.8681492798901737,0.8864072995520156,0.9094194144982878,0.934780066045732,0.9686869424156583
1,2000,9312181.820184948,105686,2557095,4326902,5150996,5474067,5684643,6217886,6819979,0,0,0,0,0,0,0,0,0.011349219983110358,0.2745967646870123,0.4646496474780025,0.5531459865651224,0.587839359851683,0.6104523203872643,0.6677152701767701,0.7323717611717068
2,3000,15520302.80860452,13916,830122,1942138,2801360,3180975,3507246,4665015,5966017,794,0,0,0,0,0,1589,794,0.0008966778634311234,0.05348619870610881,0.1251353162338605,0.18049647835781366,0.204955730518122,0.22597793633611118,0.3006057755516718,0.38442047835252663
3,4000,21728423.459525835,2496,219597,910637,1176673,1464665,1704202,2739111,4463497,66728,2383,7150,7944,53223,55606,65933,60373,0.00011522643759181703,0.010107548147537265,0.041923739033847544,0.05417343582090923,0.06757330815624858,0.07863315432719402,0.1264448796927459,0.20599439752724646
4,5000,27936543.63784468,0,146034,689338,806890,1017785,1163815,1915822,3647682,0,0,0,0,0,0,0,0,0.0,0.00522734672882628,0.024675135511974262,0.028882957407334157,0.03643203014639368,0.041659233693584756,0.06857763167970075,0.13057026836557584
5,6000,34144663.2086982,0,152006,486718,541449,648662,684499,1118124,2780075,0,0,0,0,0,0,0,0,0.0,0.00445182308786918,0.014254584882711942,0.015857500092783704,0.018997463704218242,0.020047027431965618,0.032746669462393845,0.08142048386910984
6,7000,40352782.03687364,0,77409,372908,425412,512777,540983,888473,2427003,0,0,0,0,0,0,0,0,0.0,0.001918306399030061,0.009241196794293971,0.010542321459057426,0.0127073518631611,0.013406337127032767,0.02201763930893611,0.06014462640474822
7,8000,46560899.987562,0,133975,393849,430334,531609,557348,865334,2333298,0,0,0,0,0,0,0,0,0.0,0.002877414311918139,0.008458792680236216,0.009242390076543986,0.01141749837614846,0.011970301264556454,0.018584992992643184,0.050112819997536626
8,9000,52769016.92554256,0,97818,307501,332887,388301,403394,620885,1631408,0,0,0,0,0,0,0,0,0.0,0.0018537013895487545,0.005827302040397796,0.006308379791681656,0.00735850358076398,0.007644523690278173,0.011766089955324976,0.030916020328783603
9,10000,58977132.71607748,0,110659,499299,565134,641801,668773,965240,2430038,0,0,0,0,0,0,0,0,0.0,0.0018763034909263022,0.00846597616746954,0.00958225627414982,0.010882200786018233,0.011339530580768451,0.016366343285062254,0.04120305427017748
10,11000,65185247.22380328,0,125363,574379,647376,747209,784356,1180763,2715801,0,0,0,0,0,0,0,0,0.0,0.001923180556017313,0.008811487636580715,0.009931326911706517,0.011462854431380395,0.012032722639020409,0.018113960601331098,0.04166281659829754
11,12000,71393360.3140781,0,269370,659063,711926,768362,786865,1053659,2139118,2335,1540,795,0,0,0,0,795,0.0,0.00377312132979584,0.009231535484130273,0.009971879693966653,0.010762373372254427,0.011021543131439321,0.01475850128589939,0.029962755793819074
12,13000,77601471.85151088,794,111890,508038,560074,614673,646235,849999,1753617,2434,1640,0,0,0,0,0,0,1.0232085628682064e-05,0.0014418845676638084,0.006546757269915218,0.0072173115617148636,0.00792089357758789,0.0083276126674061,0.010953387606184311,0.02259772860179143
13,14000,83809581.70151907,0,96007,332364,393769,462429,494398,743360,1600429,207694,6274,8968,9763,27110,17344,41070,39756,0.0,0.0011456230384359843,0.003966128472326154,0.004698924247110119,0.005519400306634969,0.005900284006749196,0.00887397883644768,0.01910507735449398
14,15000,90017689.72856009,0,87898,331437,388499,444205,468082,690227,1562832,1132071,23943,41329,1369,14276,18440,38448,27038,0.0,0.0009767123071908396,0.0036836008626741005,0.004315872908997249,0.004935423908916066,0.005200954468084418,0.007670958175911331,0.017366603863632295
15,16000,96225795.79824996,0,90467,449207,490893,533642,555077,706582,1850012,2088324,6362,30021,712151,6325,5567,291097,5592,0.0,0.0009402154682149607,0.004669716533206531,0.00513950651801526,0.005546091612984696,0.005768818126216051,0.0073652391559172695,0.019226855971735613
16,17000,102433899.77491558,0,66175,265378,293835,328658,346917,538330,1290044,2628479,12725,373222,1692863,3182,566676,1484355,132374,0.0,0.0006461066292729852,0.0026001982916992196,0.0029167359142482506,0.0032085882744881593,0.003405580196889856,0.005332663967928727,0.012610212704337983
17,18000,108642001.52415824,0,154747,419117,460256,521463,545340,762850,1648693,3157083,796,1197318,2538865,73471,970039,2346393,336497,0.0,0.0014243858879639305,0.0039007700172132226,0.0043378171002061375,0.004803076890535662,0.0050648282729837185,0.007176684066177804,0.015222615020755925
18,19000,114850100.9104073,0,341435,643482,672167,764718,806793,1050198,2159460,3519018,16705,1493556,2816566,88475,514543,2487505,717125,0.0,0.0029733075234175486,0.005676619735619003,0.005999694649798641,0.006663534033554073,0.007056361247060152,0.009346508875937496,0.018920561588573175
