,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226931,1166850,1371845,1708667,2050502,2160385,2224173,2801549,2939740,1124,1124,1124,562,0,0,562,1124,0.37604699658036855,0.4421118327323955,0.5506612619496838,0.6607065911644279,0.6959867277263995,0.7165365840659924,0.9027066980525313,0.9474057485770858
1,2000,9312181.820186418,2246032,2884285,4156877,4907471,5179086,5348168,6670418,6951388,17422,14612,23324,16860,18546,16860,19670,21638,0.24164497452877198,0.31021923532510454,0.44751217861967185,0.5279506288144395,0.557272320564861,0.5753612519779054,0.7178272278879043,0.7482218624162862
2,3000,15520302.808600664,2345360,3267641,4824184,5551208,5907999,6079842,7305772,7702416,111217,115708,126102,108406,109530,117395,120204,122731,0.1522063040684039,0.21212119115107247,0.3133767098389903,0.3601897981111662,0.3833681200402085,0.39472040445539397,0.4743977354171172,0.5002357576730144
3,4000,21728423.459532026,2883328,4090358,5645926,6882574,7466839,7857992,9732883,10308575,43841,43841,90681,57901,77189,65383,82248,77750,0.1329667290288339,0.18862977913609658,0.26092953137598757,0.3176007414151024,0.34486897335836203,0.36273726279001517,0.4496352262410432,0.4761318403913897
4,5000,27936543.63784737,3340829,4844514,6892933,8662542,9505850,10065408,12614284,13288122,187657,201064,234947,179449,178926,194103,207594,217014,0.12039506462372307,0.17466847746123912,0.24882800403578595,0.31208388748973914,0.34245914487411994,0.3628162399766789,0.45491387754488566,0.47937761475782104
5,6000,34144663.20869006,2605211,3535370,5122882,6217725,6915618,7607224,10317732,10933880,203898,195563,228974,154755,173688,183245,191116,213740,0.07675757997739462,0.1041373697172404,0.15104755703113906,0.1829285610842085,0.20357431476476798,0.2239960638055292,0.3038778816417532,0.32223939009121094
6,7000,40352782.03686683,1781427,2927360,4749349,6651126,8128418,8779411,11362056,12017337,418141,378640,455812,240534,259760,262198,292332,353819,0.04460856423763578,0.07323134033246274,0.1190403430539051,0.16581284583918124,0.20273897020099052,0.2189893515127282,0.28362277482014625,0.3004412136615563
7,8000,46560899.98756981,1431126,2933452,4967409,6381375,7511522,8217033,11474253,12385353,409390,368645,458846,174450,193539,156880,191314,262902,0.031009299595732655,0.06350527812052871,0.10774810600281128,0.13756980759920234,0.16200020531713447,0.17707588700722668,0.24745213388525567,0.2675137919208785
8,9000,52769016.92555478,1645820,3042778,4506397,6217514,7390606,8026790,11291359,12208502,592316,816631,894352,679735,674630,662706,689809,733452,0.031543197841278625,0.058568590177170136,0.08687086473651677,0.11936263603875318,0.14186952637645026,0.15404640738178565,0.2168112659497541,0.2346184194880217
9,10000,58977132.71606782,1640751,3054661,4257965,5540146,6219415,6445633,8598373,9310259,262503,250631,328830,208556,196052,186503,216976,240200,0.027944500509231564,0.052015034281604956,0.07260167477674422,0.09427054915361388,0.10580640784816196,0.10963708045192738,0.1463299875381169,0.1585077492044988
