,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226501,403738,984012,1366983,1523019,1729403,2001235,2266953,2369254,2542,1695,1695,0,2542,1695,0,847,0.13017429468114775,0.31718118287860847,0.44062601362071685,0.4906537538796464,0.5575987787735139,0.6450674224684984,0.7303185313635129,0.7634840146633908
1,2000,9312181.820188824,1241801,2431948,3253861,3689127,4192532,4863253,5686720,6001056,3391,0,1695,0,3391,2543,848,2543,0.1334008921230449,0.2611577014881231,0.34948344408203663,0.39616140140240463,0.45038416707219087,0.522389009276448,0.6107309768735881,0.6446067474697459
2,3000,15520302.80860069,1319971,2889998,3802415,4224743,4676023,5357540,6301399,6706157,318438,261106,265505,242096,294710,272678,254036,278611,0.08682954470514735,0.1893938479364184,0.24926026865175424,0.2765208674634336,0.3071159894252912,0.35136882414485865,0.4127662040106574,0.43998770505356904
3,4000,21728423.45952386,1007677,2133003,2974749,3361143,3892372,4498717,5793263,6275165,484480,291102,397780,315639,393388,364643,350513,393808,0.047433613345842764,0.09949951088933177,0.13945894345122592,0.15696898300888884,0.18244038109917757,0.21057682223065982,0.2709929490521886,0.2941306822194792
4,5000,27936543.637856737,847043,1725508,2492398,3117895,3720688,4505342,5816092,6469077,480749,266073,269160,196231,282517,179014,227037,274419,0.030851155873378944,0.06235918508878865,0.0900843401972314,0.11239581329537943,0.13454416778880934,0.16231062557726497,0.20989518420562758,0.23386045304512895
5,6000,34144663.20868564,934229,1916484,2432261,2878474,3642128,4582042,6593425,7450957,595882,265231,311756,198528,307335,357169,352292,397832,0.027846883443805467,0.056567772098278346,0.07189039313108707,0.08479533774034749,0.10763639426664631,0.1356135489568833,0.19511578395260096,0.2207898262780388
6,7000,40352782.03686471,852602,2055579,2401956,2778137,3526016,4453639,6594310,7519379,485786,266772,272570,154001,249882,233151,208423,234362,0.021386161104578968,0.05127921182750807,0.05992872487278123,0.0691099811571968,0.08792421487619846,0.1110089720393412,0.16426492185226874,0.1874295895274655
7,8000,46560899.98758006,627013,1385786,1623591,2032252,2608973,3246925,4957517,5794418,585133,277262,324813,118561,264879,162505,132127,175890,0.013637901901003238,0.029941164097166854,0.03511523370124572,0.04375860570983471,0.05635415191944714,0.06997925253382446,0.10677682568363721,0.12492005502535193
8,9000,52769016.925545394,442638,921039,1081643,1290205,1600643,2364427,4059874,4914937,1173591,757971,946624,666387,760240,634324,570289,649090,0.008579016299598868,0.017708526787145972,0.02087211606677494,0.02476276153130277,0.030776401496452124,0.04535227633116946,0.0777772593575628,0.09430053512970402
9,10000,58977132.71606839,336278,902903,1002971,1143895,1376519,2014003,3988112,4990273,836484,399091,535581,278211,467599,340256,225294,304771,0.005783870793087015,0.015413676755812872,0.017161950197229877,0.01948749596343722,0.023526405229614206,0.0343470374411688,0.06788063296662863,0.0850532150750859
10,11000,65185247.223809004,420173,1039873,1225044,1428067,1644807,2109559,4162971,4947282,928196,456193,481157,345523,569061,528309,442526,501353,0.006538939960636014,0.01606501149243593,0.018933022561056327,0.02202456930678334,0.025455030637415443,0.032626954785545115,0.06430021663144236,0.0764839850687127
11,12000,71393360.31407195,416636,1040806,1246447,1501077,1756170,2247337,3778522,4527331,1037934,469097,414164,324408,647497,502194,421035,541262,0.005921874428563695,0.014674893349135366,0.01756073701489469,0.021121417315487574,0.024823642227724187,0.03170122762607027,0.053239371589968436,0.06389833339771146
12,13000,77601471.85151142,281341,705800,822573,957482,1090835,1532780,2600084,3087847,1032716,445816,503364,433795,629819,524625,428479,528017,0.0036743577307903523,0.009147741564900117,0.010669172343168918,0.01240781165205243,0.014171905624845632,0.019886386932160074,0.03369163102178534,0.04006368996886153
13,14000,83809581.70151806,201216,705517,831015,1001332,1312239,1771730,2893066,3529222,985102,354154,531076,378422,686570,565978,573221,645697,0.0024294266710173126,0.008453818037136086,0.009978745331700298,0.01200189477866961,0.015786711442940114,0.02128367731835341,0.03475723801013367,0.04243695460675827
14,15000,90017689.7285608,203095,481010,558322,632270,692047,818581,1360558,1607194,878249,264677,472348,333910,652420,499069,443092,553716,0.002278396614787456,0.005359262997162157,0.0062350758757774806,0.0070499927848006,0.0077440263102437025,0.009144253936643068,0.015189105332327793,0.01796470616067564
15,16000,96225795.7982465,161840,576952,642602,732347,786619,925372,1427191,1651436,702707,214549,306624,248786,435193,412164,398643,512320,0.00169425007122436,0.006009212662474633,0.006699411472730704,0.007630441931244455,0.008211859796485166,0.009658041164210783,0.014893388338530659,0.0172539549549015
16,17000,102433899.7748965,107103,414247,485392,551060,588706,744993,1213144,1435724,468763,196829,264855,169095,277178,190028,116178,199323,0.0010503884306696525,0.004051827745652852,0.004750871470604798,0.005388559643887099,0.005762773019451626,0.0072864318131477,0.011856636161905269,0.014043428801600312
17,18000,108642001.52418649,117887,375548,434867,482663,556456,648705,977904,1104515,878457,490599,608952,394836,487337,412940,289385,486781,0.0010939413743350044,0.0034724283849764605,0.00402531449325275,0.004458897354611608,0.005145002320963794,0.0059938152550184556,0.00902519968017304,0.010212313327519868
18,19000,114850100.91038072,105242,528120,596261,655516,720147,904018,1424128,1697211,836729,366704,436656,234105,537726,461119,385533,580237,0.0009230671651630881,0.00461307066572649,0.005211459199284203,0.005719236610852763,0.006299816625842871,0.007903016399851016,0.01244164920200469,0.01485265617653211
19,20000,121058197.79923868,73219,403649,448920,515538,574688,716465,1138644,1302711,1222015,333531,587548,365723,785878,733856,631561,765831,0.0006109924255736988,0.0033435503340113215,0.0037263848144599033,0.004271500777969398,0.004778223293267166,0.005954447697668879,0.009455084275899984,0.010829540017066526
20,21000,127266292.05494595,202164,549187,614720,685303,749108,939591,1477136,1719222,2583256,483296,2068639,1467486,2027485,1781203,1326716,1945048,0.0016214234622175013,0.004331708644603967,0.004909996194019832,0.005447611320736032,0.00598143672568954,0.007487670503932008,0.011728926253932624,0.013718520055915045
21,22000,133474383.54324841,164184,440004,534671,602993,709681,910605,1441005,1723143,3870067,609977,3138056,2384980,3132903,2843278,2007211,2891660,0.0012668096586521676,0.0033116770055099387,0.004102240795626105,0.004599860733984218,0.005444782405740142,0.006970812933206964,0.010960949202174074,0.013195796145493188
22,23000,139682472.12843966,162946,515453,622040,749650,905447,1245620,1989729,2306269,2736956,530743,2355180,1792671,2256298,1901854,1520646,2017133,0.0011898600597275107,0.0037042514902867443,0.004529616730651162,0.005436587723422173,0.006588606615460033,0.009040603946476912,0.014401438195745069,0.01675272087077987
23,24000,145890557.67614746,116161,446376,569330,712961,965712,1373379,1858603,2118403,3386649,1055991,2822733,1952838,2521993,1944227,1399856,2228202,0.0008151425534859256,0.0030819714536661977,0.003979441228583381,0.0049532603517974715,0.0067358699041273696,0.009540910098568944,0.012863132218471456,0.014745706974034552
24,25000,152098640.0507555,260591,685188,966690,1337301,1735614,2143362,2936635,3270906,2849707,1361854,2384927,1530215,1804764,1081150,713348,1362650,0.0017460158318946247,0.004545592472492323,0.006456923552969898,0.008881682859797502,0.011548135197563663,0.014192806404606758,0.01939841684894609,0.02169956888795189
25,26000,158306719.11795712,202817,703886,897419,1149981,1453212,1950321,2726833,3202317,3017842,1356252,2360105,1648527,1730475,1182430,620744,1430084,0.001306062634775449,0.004484765244253718,0.005754655239396204,0.007340701334878881,0.009281178049623025,0.012412600311183242,0.01729280614817006,0.02041296333002136
26,27000,164514794.74178433,191523,645218,737562,951165,1220468,1616953,2341821,2674090,3324509,2076907,2682869,1351494,1513412,1281482,741636,1539417,0.0011881795426977937,0.00397209055701128,0.004557580320565663,0.005829527814623433,0.007487470225534112,0.009905778255923944,0.01429917465103223,0.01640793865338841
27,28000,170722866.7881422,153702,468966,573778,761719,1007742,1227778,1777457,2083405,3041376,1491280,2342687,1131782,1366074,1395142,679690,1377302,0.0009166306864136565,0.002771149339792515,0.003407633848128288,0.004491503789550966,0.005950407913431853,0.0072508976396875304,0.010452974553719048,0.012302684174849336
28,29000,176930935.12175798,144600,426042,526284,681985,885270,1181159,1762966,2145128,2747347,977264,2034517,1204790,1228087,1188588,582626,1310094,0.0008301585789983932,0.0024213305541387863,0.003009118229245929,0.003880953511655667,0.005038449913950902,0.006720969756831962,0.009997067784657789,0.012214541203072716
29,30000,183138999.60711765,125809,366685,414212,479447,585083,757217,1169750,1360246,1993908,766941,1038477,756808,1101916,938704,613754,1326547,0.0006945206126416325,0.0020106424350341185,0.0022746337795727443,0.0026288038090517664,0.003214086868490807,0.004155959228698525,0.006408702511858913,0.007481588749805736
