,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227588,23104,231352,309913,571035,759200,1104067,1670783,1783277,45528,40567,44648,41345,39751,25611,35862,43208,0.007553949164778,0.07551900803473575,0.10129820248478348,0.1864472804953211,0.24775564217098042,0.3586438412107528,0.5445485126302321,0.5826079253119787
1,2000,9312181.820185449,187375,507911,690843,1202386,1730312,2499206,3897186,4164562,896563,741554,778231,745673,744819,838894,940966,947597,0.022265148173128753,0.059261819630502865,0.0809523062127264,0.14035892861824784,0.20196553318872348,0.29495115155256246,0.46554599519495665,0.4978803000419175
2,3000,15520302.808604216,203009,662395,939161,2270246,3331057,4617187,6181396,6563925,745177,693759,704419,679028,691270,638934,809028,824562,0.013739916846039903,0.044676291963309446,0.06338879354970299,0.1529683958606997,0.22463076607850166,0.310266283927484,0.42018085314976733,0.4466549244089066
3,4000,21728423.45952749,360216,1964220,3029347,4779589,5496056,6666788,8533361,8889821,558734,553837,553020,497081,501163,455602,522984,541629,0.017015648750477234,0.09276308671975035,0.14305970631397819,0.2251194906356558,0.2589149933162096,0.31339462951277375,0.4024137776671262,0.4195925446382162
4,5000,27936543.637849756,476262,2667573,3632743,5445006,6518138,7957155,10414831,10881474,455013,439503,448483,408214,402499,359082,428889,435417,0.017330257410919245,0.09701309443199055,0.1321571226090023,0.1977964544755179,0.23673013121507847,0.28853833991301414,0.3786157394047505,0.3956737534172089
5,6000,34144663.20869245,555103,1805622,2483846,4713760,6049133,7252624,10863762,11731974,529536,502742,526271,478775,436112,361477,496954,469964,0.01651348800656799,0.05367178612657415,0.0738835451910092,0.14001591078719614,0.17945395999220834,0.2146814677336116,0.3228678045396769,0.34839135243030256
6,7000,40352782.0368613,700175,1680578,2191387,3569037,4985315,6323232,9429546,10271865,1775420,1694470,1067827,1675185,1392886,1108025,1708749,1662702,0.01814989317649484,0.043472617179910564,0.055781838058457975,0.0922765961028697,0.12796017205187668,0.16112297482338336,0.24401040106257696,0.2654909214510195
7,8000,46560899.98757395,326583,869417,1280904,2196677,3302764,4796899,8461729,9523570,577859,506599,374991,523912,412563,379335,529845,534407,0.007102248850576301,0.018878084811982707,0.02773365357699509,0.0477154804435276,0.07156842945151659,0.10387042971130794,0.18382652759716755,0.2069149609676135
8,9000,52769016.92554769,232835,975404,1402008,2158609,3001023,4105247,6371335,7281962,244764,158528,177543,182985,184367,145440,216746,215841,0.004432904554207367,0.018540105213246616,0.026658465628569078,0.041049094616155864,0.057070323834978794,0.0780115537529526,0.12123805285268173,0.1385636904288408
9,10000,58977132.71607146,168509,839485,1308734,2095172,2831145,4431319,6749227,7615177,243146,153500,215615,153211,171849,160797,278733,298713,0.0028690202967933498,0.014271219937265805,0.022271957071014474,0.03561768645947949,0.048144398276684944,0.07534163674173178,0.11498144809137072,0.12977815416379176
10,11000,65185247.22380245,119267,761278,938748,1250959,1687731,2433464,4118361,4641247,149512,127442,149512,109407,92074,90093,279206,339352,0.0018338687121714806,0.011701562900579901,0.014434341316655514,0.019223094096024337,0.025927926331034235,0.037383182035847895,0.06345111983951515,0.0715734894858291
11,12000,71393360.31407392,20376,280102,350934,484067,608952,934067,1802596,2145984,280359,265531,280359,255968,223067,218985,241391,261582,0.0002865298837551299,0.003938008550256387,0.004934878201105357,0.006804677318825918,0.008556266549481535,0.013123641702202603,0.025334449873665617,0.03016913186852524
12,13000,77601471.85150808,8983,226557,459975,605971,759314,1180624,2027638,2307464,422482,316621,409419,368125,352357,279278,408496,433692,0.0001163917799038733,0.002931454191912685,0.0059588388053992995,0.007845976183902325,0.009829420071150194,0.015268889062657828,0.02626713088377959,0.029901909896075694
13,14000,83809581.70150924,35939,273043,408628,571344,709709,1042220,1725947,1952152,598065,480685,583379,520275,492184,343216,430700,541846,0.00043189935028967164,0.0032766904496295186,0.0049098479413453985,0.006859752141383199,0.008518136902722108,0.012486706366576047,0.020700049758148275,0.023444278669926856
14,15000,90017689.7285862,5344,297825,468807,812177,1032488,1364355,2119975,2288542,1102830,1040869,1085751,948358,883095,815395,858800,895562,6.010243975318222e-05,0.003347220068791643,0.005271525693719158,0.009118480898395887,0.011583471077014643,0.015295066165632757,0.023777494386185608,0.02567871816267177
15,16000,96225795.7982496,19718,322541,388115,546839,744344,1687595,2352575,2491001,730979,674623,720828,610859,562068,466481,608272,825001,0.00020648241088998484,0.003375583894517186,0.00406382001845053,0.005719179641919827,0.007780838329547299,0.017623298616489765,0.0246040151067274,0.02611090405764318
16,17000,102433899.77491415,30768,299740,387643,502303,720232,1238229,2462535,2809830,640657,539835,622559,535710,431165,352055,574333,590734,0.000302259748891529,0.0029416826255987643,0.0038074638547095285,0.004929459503741446,0.0070609087255288855,0.012129767077879902,0.024175785132108673,0.027589774715075805
17,18000,108642001.52414703,42165,217318,305589,443545,685633,1172996,2268769,2615179,702206,556445,665898,505873,510784,412511,512655,514837,0.00039063442537805564,0.002010610917763556,0.002830153988022546,0.0041017281278102665,0.006340749838009451,0.010838044181112479,0.020981991225604485,0.02418614241397199
18,19000,114850100.91039193,52913,416151,569211,679474,812350,1124409,1688790,1953952,659116,499953,655032,542250,530055,485538,585044,632557,0.00046337283141503635,0.0036392694509333554,0.00498454973083519,0.005944246126476933,0.007105927867075461,0.009831795543878467,0.014779583939859847,0.017107284337447765
19,20000,121058197.79921699,171135,625722,727573,1123034,1490540,2035252,3380859,3716776,1274024,1182102,1228311,1045471,1031886,818661,912137,1073151,0.0014286945810291901,0.005219739563824593,0.006071715658207183,0.009357624228294155,0.012418443736681774,0.016926645379535876,0.02813957426078204,0.03097699337668013
20,21000,127266292.05494785,24998,575256,754606,1452249,1836238,2511569,5282700,5815916,5085911,4953982,5037968,4887342,4901766,4695548,4733613,4966255,0.00020459913272620844,0.0047031733743036225,0.006173740872539218,0.011866820228053465,0.015006293565632219,0.02049077061059592,0.04311258058457251,0.047554490906547994
21,22000,133474383.54327631,47299,580336,759714,1133877,1440765,1997108,3322452,3688029,8180610,8054354,8112211,7951921,7946879,7844292,7906664,8065220,0.00037750479263570894,0.0046271397169441305,0.006060153430555289,0.009033259681382317,0.011477683757373574,0.01589673282465171,0.026459443653867848,0.02940797064424508
22,23000,139682472.12840676,21319,163874,290733,422807,641810,1019576,1985114,2192364,10115047,9993232,10048552,9906677,9751892,9159948,9485383,9860993,0.00016453981376007105,0.0012635897923200608,0.0022427231986197685,0.0032579804237119355,0.004939637761685641,0.007811494658170656,0.015246992181539352,0.016887529049268706
23,24000,145890557.67617917,12256,195998,334637,590148,962732,1445401,2556536,2763271,9749333,9633863,9633711,9502068,9452424,8841062,9263440,9608731,9.002416445974906e-05,0.0014384467527690952,0.002455927963717527,0.004326963377929918,0.007056179779510455,0.010546561976522675,0.0187117758427669,0.02027615176134849
24,25000,152098640.05077267,47362,446468,652078,877388,1165710,1770962,3079864,3370914,4372457,4251427,4297331,4166694,3961275,3919793,3928473,4213941,0.0003206066725742311,0.003019793141766406,0.004411855376571789,0.005931024524607187,0.007869115260693775,0.01195151693543134,0.020785992627953505,0.02279420400918338
25,26000,158306719.117903,20415,218911,399682,690625,1058808,2078236,3698105,4050437,3210691,3091890,3151744,3031925,2872435,2710541,3002018,3119493,0.00013162812902262492,0.0014103742615579125,0.002576017943970406,0.004447759882235592,0.0068119334547637675,0.013356600561391789,0.0238119321139706,0.026100324758190428
