,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227688,202581,230964,230964,292165,318128,415151,490729,501512,1209529,1218469,1188074,1160375,1104054,1061999,1187194,1202419,0.10692933117331105,0.12248887639292269,0.12054572640368524,0.15031494579506152,0.1590634727660111,0.20329993671983884,0.25600581308972775,0.2637258210442514
1,2000,9312181.820186995,436687,680427,680427,1077862,1206189,1636428,1953753,2033693,1467558,1477392,1452360,1435473,1386960,1237488,1439690,1460322,0.05566704153183862,0.08684687344730328,0.08657028308865808,0.13684167138914388,0.15219624476978236,0.2026613066007379,0.24817466243535488,0.25900780790449296
2,3000,15520302.808600819,222326,478097,478097,1026244,1154586,1634777,2273397,2383453,1988565,1996611,1991247,1982728,1977603,1926905,2002845,2005232,0.01642996658261357,0.03535255067672713,0.03533853409755762,0.07580707877957557,0.0852552309596891,0.12026257327403773,0.1681822893172631,0.1763551988557249
3,4000,21728423.459527265,206705,677776,677776,1620557,1855728,3059760,3454451,3585662,2911363,2941431,2918988,2899993,2885760,2847501,2908845,2942816,0.010984978256545017,0.03607687613970836,0.036033830013579495,0.08606968082036766,0.09848543991596385,0.1620556414316533,0.1835562367897359,0.19087282685562046
4,5000,27936543.637852848,19162,179734,179734,411841,477761,777767,1110898,1192257,4867996,5011393,4941383,4880929,4918875,4912695,5036992,5057302,0.0008306548076116135,0.007840035724922667,0.007816166315626247,0.017862937356865644,0.020756272388695176,0.03378092916756305,0.04851177951290937,0.05211086184025678
5,6000,34144663.20868941,1399,85208,85208,201242,253317,336093,516990,549299,6808009,6861300,6840948,6798592,6789600,6756390,6826435,6828671,5.11767090924867e-05,0.0031230753829081573,0.0031207474641722953,0.007359082716644647,0.009260333199286236,0.01227141986787866,0.018924726598321458,0.020109062698636448
6,7000,40352782.03686769,19668,112812,112812,138545,147303,193834,272438,292540,8427721,8513532,8457132,8343572,8276844,8181139,8241218,8272802,0.0006160677336618716,0.0035431739085993344,0.003536908633923508,0.0043282855103398705,0.004592320880240251,0.0060249953593564465,0.008484108705736366,0.00911908298146696
7,8000,46560899.98757276,893,3923,3923,15545,20908,74547,119452,145024,10801001,10871068,10781246,10790572,10516392,9998144,10029451,10172465,2.497210633369894e-05,0.00010991926219675097,0.00010964331855647805,0.00043457806720141357,0.00058006062968618,0.002038878032753812,0.003269840187303687,0.003985442079318004
8,9000,52769016.92554268,0,11275,11275,16639,16639,23791,36853,64626,12944093,12986040,12959052,12946691,12932373,12673406,12773933,12920271,0.0,0.00028341267726400034,0.0002832205459383811,0.0004178309431526067,0.00041768076726290975,0.0005933567153816349,0.0009214382464756874,0.00162178253039013
9,10000,58977132.716076046,0,3590,3590,3589,5377,8059,14206,16287,14624004,14647303,14628474,14605679,14520871,14362778,14504454,14561528,0.0,8.098384367802117e-05,8.094946056843547e-05,8.088533729287494e-05,0.00012095034068183013,0.00018063692843451733,0.000319432074031214,0.00036669544643405444
10,11000,65185247.22379291,894,7320,7320,7320,7320,7320,8214,8214,16447529,16467196,16458257,16444468,16359338,16211692,16333164,16383058,1.8343082782311395e-05,0.00015025231543795947,0.000150224751546951,0.00015018225224488671,0.00014992040325247967,0.0001494684216114192,0.00016814021957613172,0.00016831212145694817
11,12000,71393360.31407756,1788,22167,22167,28425,28425,28425,31219,31219,18394592,18432139,18402525,18403532,18375805,18294135,18424762,18474671,3.3736633074264686e-05,0.0004185515260031932,0.0004183176179166798,0.0005364237044045765,0.0005361431667606977,0.0005353185443265595,0.0005893869385571955,0.0005899428047945822
12,13000,77601471.85152704,0,2682,2682,4470,4470,4470,12403,13298,20257107,20308761,20274009,20282864,20251575,19990392,20077644,20183244,0.0,4.681223771991435e-05,4.6783860066267685e-05,7.798514596828112e-05,7.794259877349682e-05,7.758924171391866e-05,0.0002156149975278592,0.00023159892768523228
13,14000,83809581.70149106,0,894,894,894,894,894,2682,2682,21896975,21953923,21942301,21940485,21914559,21851133,21895299,21955977,0.0,1.4453002664062646e-05,1.4450287613472783e-05,1.4449863464362724e-05,1.4443810842619878e-05,1.442902491486178e-05,4.331795319233199e-05,4.3360447833937595e-05
14,15000,90017689.72859287,0,3576,3576,4470,4470,4470,10167,10166,22983092,23042598,23021171,23031454,23014427,22961234,23019089,23078119,0.0,5.339298398412407e-05,5.337590770181062e-05,6.673012673993255e-05,6.671316914978349e-05,6.666024846425028e-05,0.00015174943789029085,0.00015186831778796645
15,16000,96225795.79823315,2682,7152,7152,8940,11622,13410,22016,23805,23640272,23674450,23639557,23598991,23560343,23466308,23537886,23613396,3.6949516372647354e-05,9.857846083089713e-05,9.853107308508303e-05,0.00012309504768709707,0.00015993845152620568,0.00018430586038740147,0.00030288393298296697,0.0003278365687698871
16,17000,102433899.77491188,0,894,894,894,894,893,3576,3576,25525940,25551322,25536433,25502042,25445554,25351059,25433273,25501954,0.0,1.1628122077505676e-05,1.16258706234998e-05,1.1620673487642473e-05,1.1612147150346058e-05,1.1584938892011415e-05,4.6441180413418686e-05,4.648264078049826e-05
17,18000,108642001.52415895,4470,8939,8939,12557,13451,13452,26861,26861,26999125,27033138,26995268,26963716,26918461,26857110,26916111,26964488,5.475064317065411e-05,0.00010953467079410751,0.00010948386560198375,0.0001537373112011009,0.0001645914985294065,0.00016448025728598453,0.00032867185450930793,0.000328866524469491
18,19000,114850100.91041744,0,0,0,1746,1746,1788,14304,14303,29688264,29766737,29695055,29581605,29622807,29622264,29699872,29734053,0.0,0.0,0.0,2.0476495818975593e-05,2.0486394908129123e-05,2.0979061123883245e-05,0.00016798545562394867,0.00016804116674981853
19,20000,121058197.79919314,8940,16986,16986,63472,71518,85780,130478,134054,31969973,32000214,31617386,31647283,31528880,31516621,31541935,31562174,0.00010034996230030355,0.0001907296715620671,0.00018991330309183567,0.0007098909584199085,0.0007988221261822743,0.0009579907241567915,0.001457589893946914,0.0014978766017670671
20,21000,127266292.05495763,30770,52727,52727,98383,101468,105937,122029,123817,34448916,34909452,34059714,34549916,34356953,33383535,33420942,33707505,0.00033151120305082674,0.0005709051973695116,0.0005657004162185897,0.0010611178325356837,0.0010921184138440567,0.001128396771922516,0.001300320153620158,0.001323413907955736
21,22000,133474383.54322767,15716,32200,32200,81460,90890,104300,127473,130155,37413776,37612574,36936949,37315248,37078251,36273040,36273615,36511610,0.00016360504479349388,0.00033590018958988896,0.00033354936509713686,0.0008471373992685304,0.0009428801509151986,0.0010730304355681605,0.0013114402479576022,0.0013423192761908224
22,23000,139682472.12844777,20562,37210,37210,81755,95165,117514,138145,139040,39580061,39716963,39439007,39584793,39446457,38647254,38816417,38967751,0.0002054096376721195,0.00037222838481408717,0.00037119626653289234,0.0008167522035659788,0.0009494092505378481,0.001163099384321638,0.001369588607625027,0.0013805330386872999
23,24000,145890557.67617893,8940,17322,17322,40565,48611,51293,62915,67384,36945653,37389697,36857634,36910808,36811147,36567481,36668358,36735233,8.205982672225655e-05,0.0001596485031736066,0.0001588694443473356,0.0003722251163223841,0.0004456478055635096,0.0004691873075611724,0.0005760275858436276,0.0006173221526288517
24,25000,152098640.0507617,4469,8940,8940,13354,13353,13353,14247,14248,36839301,37493010,36688971,37165616,36560191,35809282,35897242,35970460,3.877343074153665e-05,7.800663890631071e-05,7.746318028230232e-05,0.00011618940779024512,0.00011557191661914531,0.0001148256403150085,0.00012260609802453758,0.00012269201148052046
25,26000,158306719.11790967,2682,8046,8046,9889,9890,9890,17936,17935,37302768,38615133,37047477,37000180,36824456,37357943,37132544,38115996,2.2164565497423993e-05,6.722277029626615e-05,6.635370516480927e-05,8.152074959774357e-05,8.141106155061376e-05,8.17701535926127e-05,0.00014801833792181548,0.00014922116728098374
26,27000,164514794.74184918,894,2682,2682,3576,3576,3576,8046,8046,37918163,38442052,37782364,37402701,37250145,37259078,37292807,37818590,7.0617992572109595e-06,2.127343263636101e-05,2.1162696748578644e-05,2.8132649653796644e-05,2.8098926192416833e-05,2.810089865946274e-05,6.324378468544632e-05,6.350624327219737e-05
27,28000,170722866.78808784,0,4470,4470,4568,4568,4568,7249,7250,36800522,37166780,36802749,36516103,36389325,36313538,36455892,36749465,0.0,3.346908484292824e-05,3.337810684331406e-05,3.403703264324934e-05,3.400491001127666e-05,3.398573626687765e-05,5.398944909156567e-05,5.4115219164679216e-05
28,29000,176930935.12178516,0,0,0,5266,5265,5266,12653,12652,33189142,33295313,33159683,33076341,32947306,32885509,33032761,33137099,0.0,0.0,0.0,3.660640824263063e-05,3.656665714090818e-05,3.655791191556328e-05,8.793023314730458e-05,8.79870816526828e-05
29,30000,183138999.60709953,0,8045,8045,24137,30395,30394,34629,35524,29151840,29295978,29204191,29182792,28963236,28866004,29046903,29173653,0.0,5.229356467364614e-05,5.226238349075364e-05,0.00015677834869509314,0.00019714512377871799,0.00019701438920267708,0.00022472924155413516,0.00023072724338842846
