,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292263987,1009951,1564536,1768191,2065093,2496400,2768621,2971440,3087004,0,0,0,0,0,0,0,0,0.325364456638111,0.504028814794741,0.5696380358526285,0.665287585092907,0.8042368684732033,0.8919352199283563,0.9572751163499501,0.9945050592550283
1,2000,9312181.820187628,4826929,6333809,6854893,7300767,7911229,8363239,8732286,8960123,7770,8546,3885,15245,12914,17576,10016,10016,0.5187785206934943,0.6807885779725484,0.7364282781714975,0.7852873630534856,0.8507367626110997,0.8997949091972545,0.9387368671765804,0.9632297653256917
2,3000,15520302.80860066,8911852,11280090,12031707,12579605,13318895,13894776,14327838,14690603,238601,231043,268115,252261,272470,277773,243954,259185,0.5831714367691916,0.7377786852477067,0.7888512225908574,0.8239173796939544,0.8734942970051044,0.9115793883610984,0.9379098487155095,0.9626164468582283
3,4000,21728423.4595256,11139101,14216934,15133888,15805910,16765991,17600345,18113346,18575060,1877008,1870644,1898378,1845259,1916784,1881438,1782749,1837044,0.5611237658448662,0.7159377527067994,0.7631796926985992,0.7949393584796169,0.8462697412928526,0.8868019294866103,0.9081340436371896,0.9338246267834763
4,5000,27936543.637857415,10766444,14062495,15436065,16715339,18253909,19649873,20601270,21123971,4941014,4988743,5033655,5007902,5047634,5005688,4829161,4824289,0.468197261361411,0.6128036068432998,0.6739789571558629,0.7290156680019523,0.7975001557002395,0.8569184382094877,0.891544937082074,0.9139727530259794
5,6000,34144663.20868622,10941691,14467870,16130428,17079414,18689946,20449301,21777016,22375270,8284160,8315015,8409848,8410525,8448804,8401161,8288290,8346822,0.42310433450207663,0.5601264826802643,0.6267940091738265,0.6636870394297902,0.7273524441510817,0.794348058559807,0.8422301079984491,0.8673311002653266
6,7000,40352782.03685875,11761662,15319799,17071256,17998701,19847016,21392539,23011803,23894132,11089073,11161643,11232386,11256633,11289449,11269303,11175946,11234776,0.4019197288076416,0.5248099082620984,0.5862302139844625,0.6185939237938121,0.6828885033533346,0.735556395192209,0.7887011110776186,0.8205964367805213
7,8000,46560899.987579435,14558484,18736367,20207117,21159574,22960073,24803109,26052028,26828690,14828546,14808469,15003195,14909798,14949506,14935349,14832813,14918259,0.45878991535574165,0.590076615152052,0.6403227677029483,0.6685256648663754,0.726322698993323,0.7842743675751651,0.8211030186029987,0.847865069496916
8,9000,52769016.92555252,17689864,21406679,22632713,23443503,24858801,26120735,27209523,27943301,20220237,20093155,20235637,20008696,20275059,20157143,19950427,20121403,0.5434877755928578,0.655122091309242,0.695676657383628,0.7156066344183597,0.7650284110342741,0.8009578063385531,0.8290887287273332,0.855906378448363
9,10000,58977132.71606219,16683413,20886172,22325630,23350888,24981097,26358922,27450138,28393797,21449994,21539230,21616537,21653285,21692323,21681684,21540777,21615373,0.4445692789484972,0.557888409465819,0.597571574331233,0.6256291735418004,0.6700073619857637,0.7067597497130499,0.7332481347329016,0.7599694772351214
10,11000,65185247.223805666,14438594,18507734,19931949,20977053,22455525,23984347,25238103,26270970,24679066,24815572,24870760,24905128,24913872,24910449,24813692,24868689,0.35645409080218043,0.45845635114463695,0.49441157193313384,0.520779317544882,0.5576051196465185,0.5955174962446692,0.6251456715028405,0.6516173789975905
11,12000,71393360.31408268,16455215,20910421,22530130,23688921,25287336,26898434,29037538,30087242,24980865,24991468,25029250,25074239,25246154,25167384,25095078,25137430,0.3545427775137763,0.4506372468274062,0.4859390128997402,0.5114285489003375,0.5479711128749976,0.5818900139012408,0.6271839158742951,0.6504515593071943
12,13000,77601471.85150164,14627233,18841218,20541115,21692146,23436339,24729678,26348762,27249713,29338360,29491518,29654854,29721901,29816184,29753665,29516298,29648898,0.3030727286090835,0.3916282700697688,0.42841634969163256,0.45305639992635127,0.4904509327814694,0.5168403658865691,0.5479602107995115,0.5682638242607424
13,14000,83809581.7015112,11416505,14988097,16816219,17888348,19815180,20911729,22128425,22828632,31498028,31701200,31680701,31848179,32039085,31720956,31342690,31570078,0.21824060254723793,0.2876331313809603,0.32258929740481657,0.34426222291877717,0.38275043243735357,0.4014644026093648,0.42175978569286265,0.4369994043289428
14,15000,90017689.72857654,9544255,12902370,14515233,15596309,17169345,18336703,19553006,20267002,35396814,36211875,35502428,36196394,37122974,36254811,35914653,36812776,0.17473639652772244,0.23979508655497575,0.26625998921676663,0.28977951550354636,0.32459471165517967,0.34106624186873213,0.3614031149137392,0.38092350085166143
15,16000,96225795.79823685,12092632,15126962,16626417,17644421,19110050,20154842,21211202,22058052,45088295,44537883,44956351,45905774,46365629,45956681,46353843,46438804,0.23647287824470564,0.2926595635433746,0.32429485174709327,0.3506441446060391,0.3832728854945541,0.4009388683467909,0.4253132434138391,0.44304849928252066
16,17000,102433899.77490544,10224290,12060130,13463059,14147364,15432175,16237102,17522458,18238947,51141513,49019122,50929731,52360715,52493659,52967226,52512167,52352079,0.19933348090953307,0.2257826485925383,0.26139746199650643,0.2825337366416138,0.3090128273421249,0.32824325471904114,0.35099859371884934,0.364182985318677
17,18000,108642001.52418232,11117848,13308098,14527792,15385284,16484589,17166036,18198792,18785116,55898269,54663121,56244108,57804995,57719809,58469113,57920339,57879051,0.21078993593983153,0.24654268244851849,0.2772590847243741,0.30263945601677933,0.32372111613559595,0.3421376864066002,0.3587972297107464,0.37005563715314765
18,19000,114850100.91040528,9503138,10722594,12024012,12858895,13936401,14644266,15829562,16513072,60250993,59961789,60798290,61700099,61632740,61968895,61371288,61325951,0.17405299030882024,0.19535295633617944,0.2224534534084465,0.2419359273340419,0.2618769657417397,0.27692761062997034,0.29599688434595134,0.3085162870898731
19,20000,121058197.7992177,9022726,9973486,10838916,11640484,12776167,13603851,14972782,15952678,59777727,59893846,60412252,60846587,61620610,61539847,60820213,60946222,0.14723656464002205,0.16306043809210388,0.17872449439381677,0.193326234682817,0.2149509674443443,0.22856565777321247,0.2485604730952827,0.26538269268147413
20,21000,127266292.05492067,7921523,9613304,10790708,11833494,13113103,13471640,14619225,15582382,59595889,59798822,59721505,60813338,61671865,60912135,60297490,60875716,0.11706037857600708,0.14248798705768073,0.15975634050376195,0.1780732575141821,0.19991184600211093,0.20302631512370292,0.21829903703534775,0.23470773904883266
21,22000,133474383.54324818,6377158,8554384,10946341,12144451,13247880,14047103,15905725,17269126,64742558,64939484,64005550,65918516,66534623,65609215,65021993,65403515,0.09278318958642087,0.12481792571391824,0.15757197064760414,0.1797690036653784,0.1979074901446781,0.20698545810061986,0.23236186309593926,0.25369334003764366
22,23000,139682472.1284399,6670306,8153619,9535950,10497677,11874925,12722739,14370911,15630338,68364420,68592105,68566362,69327971,69772268,69174738,68662846,68714160,0.09352899863259227,0.11469372475273266,0.13408987053394103,0.14921116391452102,0.1698596814019201,0.18044458749480893,0.20235126236809559,0.22024390226037635
23,24000,145890557.67618322,5110597,6306593,7211478,7707965,8415675,8978204,10136279,10989575,71977463,72117404,72442272,72710227,73306083,73137641,72217440,72862492,0.0691433232824274,0.08548628716188404,0.098184429134177,0.10532837073539737,0.1159431825820101,0.12340679123506744,0.1375844992002669,0.1504842679077566
24,25000,152098640.05076146,5543267,6369632,7002611,7611472,8371651,8780463,10192549,11401780,73587658,73372735,73732961,73426167,74469331,73978995,73264314,73891189,0.0706049886933778,0.08090897139757164,0.08935813591896588,0.09674885896988247,0.10784136948231517,0.1123976305101557,0.1292907482133736,0.1457889222421984
25,26000,158306719.11793733,3123816,3776250,4212204,4628071,5142099,5476860,6747098,7507008,77495665,77809098,78501360,77636121,79316723,77698634,76542928,77715087,0.03865580067104481,0.04691132418021899,0.05278096667386903,0.057369984950823565,0.06509810422477429,0.06794430102125402,0.08251938795582367,0.093148727761392
26,27000,164514794.7417822,2636734,3271500,3444713,3637416,3834564,3976012,4562364,4834362,81686165,83086679,84299722,83945556,86720138,85063523,82510262,84861011,0.031833606425942386,0.040176540623564204,0.04294346289616625,0.04514646106633352,0.04929084027875813,0.05004340286612526,0.05563550998291862,0.06069218275520724
27,28000,170722866.78812838,1500747,1895190,2173646,2376147,2518098,2665472,3218349,3511732,89498918,90252174,90442402,91462044,95303140,92558214,89396692,91615755,0.018476656483602874,0.02355130711984615,0.027075652909291974,0.029978833380920913,0.03338779000186417,0.03410073357870568,0.03957334779834991,0.044392114951755914
28,29000,176930935.1217909,2206202,2925612,3403939,3743855,4009317,4183841,4599512,4875708,93144221,95056573,95773458,94178637,96816227,92228378,90002544,91312337,0.02633116745446186,0.035732944039894354,0.04194239546027039,0.045241704278592636,0.05004470582236923,0.04939450640178666,0.05291150498294465,0.056946832895633195
29,30000,183138999.60711002,2010656,2613293,3024992,3414376,3834554,4187266,4740896,5093488,93293509,94435731,95463105,93722062,97752309,94542210,92427181,91411312,0.022379041913105035,0.029461067681451042,0.03450198043094379,0.03818489082015379,0.04490809952623579,0.04726205112587924,0.05226326704498908,0.05552835935226598
