,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227069,217704,414418,414418,697624,946539,1198700,1547483,1616143,670955,670955,670955,647114,653285,635615,670955,663003,0.08947577013709782,0.17032470560336882,0.17032470560336882,0.28393941964440045,0.38622017809868686,0.48560923757325875,0.6360114338692286,0.6620667126616473
1,2000,9312181.82018552,633783,1201743,1201743,2020390,2496525,2823061,3372950,3491343,1518420,1518420,1518420,1451068,1468751,1413480,1519110,1499178,0.0813192672065662,0.15419293374959644,0.15419293374959644,0.2570106534791681,0.31829502385296105,0.35740822533464034,0.4328139247046878,0.44686308625369364
2,3000,15520302.808603454,300436,857089,857089,1876422,2195939,2419863,2716935,2778932,7055165,7055165,7055165,6958425,6967011,6907996,7032386,6995142,0.03549097566901451,0.10124926721557995,0.10124926721557995,0.21916010038294007,0.25673612559215886,0.2809773332253589,0.3200944426371006,0.3259682793543961
3,4000,21728423.459527597,422882,1096622,1096622,2364643,2748709,3001162,3219645,3291306,12494962,12494962,12494962,12388702,12329614,12208315,12435005,12362590,0.04579885905774231,0.11876607757629666,0.11876607757629666,0.2531813191910333,0.29245289117055423,0.3152445177235851,0.3464435626159958,0.35141624226211793
4,5000,27936543.63785041,602757,1448383,1448383,2461809,2907988,3346979,3669256,3738896,18517519,18517519,18517519,18409587,18424606,18269725,18522694,18452298,0.06399356867353517,0.15377207892414502,0.15377207892414502,0.25840455599632745,0.3057198344560606,0.34623376370121495,0.38977210611554336,0.39422175919596014
5,6000,34144663.2086893,553592,1449545,1449545,2188326,2448763,2701560,3071944,3188322,21665422,21665422,21665422,21578184,21574557,21459686,21653056,21568001,0.044361030509974725,0.11615650148589812,0.11615650148589812,0.1741399451396733,0.1948084574104275,0.21297318517446068,0.24592063684672388,0.2535109830489974
6,7000,40352782.03686492,496783,1309312,1309312,1965955,2330379,2716005,3244475,3373667,24886401,24886401,24886401,24813740,24822959,24723869,24891978,24851038,0.032120183694937555,0.08465535647150985,0.08465535647150985,0.12651712990646116,0.15005831003148665,0.1737807993168549,0.2098516346409822,0.2176314479181848
7,8000,46560899.987576395,400727,1379062,1379062,1920796,2395120,2738245,3330302,3453355,29315670,29315670,29315670,29244847,29254412,29177316,29328894,29300628,0.023236976270463602,0.07996773606344987,0.07996773606344987,0.11092574048936542,0.1383943409962412,0.1575190134529769,0.1932625837294287,0.20007535237484422
8,9000,52769016.92554331,227805,920938,920938,1185112,1304333,1439301,1692992,1757264,33051491,33051491,33051491,32949338,32974517,32871327,33040328,33027322,0.011553427182509101,0.04670656975310273,0.04670656975310273,0.05979471233878795,0.06589370809599775,0.07233508037293931,0.08581371049994274,0.08901282319616428
9,10000,58977132.71607211,119818,446808,446808,735002,818129,888521,1049515,1068251,37504447,37504447,37504447,37382421,37415755,37344878,37488859,37495681,0.005580019266538107,0.020808202844675747,0.020808202844675747,0.03403620338459838,0.03794418941003741,0.04107389690358332,0.048841289619976185,0.04972899476811197
10,11000,65185247.22380167,131262,499601,499601,788913,834641,906911,1178611,1202010,40382690,40382690,40382690,40179708,40203703,40105508,40360221,40360649,0.005292276873532821,0.02014312457751574,0.02014312457751574,0.031549529603787485,0.0334103045241206,0.0361611016728318,0.04747672729022032,0.04842011899501843
11,12000,71393360.31408292,159400,597755,597755,895052,970050,1031764,1162947,1192002,42740438,42740438,42740438,42492239,42556958,42340261,42652863,42670325,0.005563132383242279,0.020861920939429037,0.020861920939429037,0.030969455830900914,0.03363977202961459,0.035513044196970496,0.04046370483054073,0.041499861938879445
12,13000,77601471.85150188,187750,788533,788533,1139172,1247357,1346296,1548830,1600685,48914741,48914741,48914741,48408664,48460031,48279126,48745704,48648884,0.006544837784824492,0.027487726087781685,0.027487726087781685,0.03902235118302925,0.042803545862960105,0.04591365257125371,0.05367488427168597,0.055286422347112105
13,14000,83809581.70151132,27501,197550,197550,381669,428299,466186,565352,597086,52568794,52568794,52568794,51204212,51726684,51495366,52329205,52273534,0.000880291504259017,0.00632346411644554,0.00632346411644554,0.011705709933487088,0.013349760485625467,0.014426653715076758,0.01795887023082727,0.018933444217595644
14,15000,90017689.72857964,76984,406508,406508,560833,591831,610389,678537,691793,53124903,53124903,53124903,52129761,52506480,52305158,52914669,52874017,0.0020866951734053478,0.011018630904482244,0.011018630904482244,0.01480241910339512,0.01577744371035537,0.016185309551557624,0.018287917982843318,0.01862478718933226
15,16000,96225795.79823196,67791,289278,289278,407436,430341,449782,485141,489560,54477847,54477847,54477847,53878326,54110849,53476423,53995400,54214841,0.0016238163059850972,0.006929154804660751,0.006929154804660751,0.009621259592161296,0.01021824869117646,0.010521370737364413,0.011487957686162894,0.01165315100195255
16,17000,102433899.7749176,70051,220470,220470,313633,344522,354240,389271,399871,59234695,59234695,59234695,58524109,58897824,58009415,59026541,58866483,0.001621580775965421,0.005103566168607105,0.005103566168607105,0.007142666691528742,0.007913483102638504,0.00797398105560037,0.008967857316970305,0.00917821228800078
17,18000,108642001.52416909,62817,288344,288344,439078,606903,628098,727479,761039,62398774,62398774,62398774,62171832,62180893,61554881,62062978,62176598,0.0013584043191442164,0.006235377923162837,0.006235377923162837,0.009448599058190135,0.013062602664426071,0.013339061573697356,0.015618167684913427,0.016378615965406258
18,19000,114850100.91039562,75079,339577,339577,471025,520479,545206,613054,633365,65257574,65257574,65257574,64891349,64866153,64388391,64956188,64897593,0.0015139176137496208,0.0068473421532553045,0.0068473421532553045,0.00942827796908968,0.010412922983455478,0.010804350486103564,0.012287150160000128,0.012679343370229272
19,20000,121058197.79922295,46289,312356,312356,427677,463829,472660,502634,508815,67150093,67150093,67150093,66988514,66944658,66821757,67103045,67099770,0.0008586649479220281,0.005794230777790252,0.005794230777790252,0.007909737397172392,0.008571403787683105,0.008714804899343098,0.009315773821832988,0.009429759552915059
20,21000,127266292.05493593,24475,284187,284187,411129,461519,474765,514561,526924,69708463,69708463,69708463,69632949,69524318,69340264,69633734,69605965,0.0004252245159670615,0.004937416936430288,0.004937416936430288,0.007133526847611686,0.007992781811735586,0.008196056521426638,0.008928304024081584,0.009138415040517767
21,22000,133474383.54325843,18815,227278,227278,309159,340952,354198,414414,420501,73097846,73097846,73097846,73030720,72956498,72619640,73024986,73026309,0.00031162767468272714,0.0037643430585458867,0.0037643430585458867,0.0051148289477645666,0.005633904703367175,0.005820384400243497,0.006855552194766534,0.006956400235694473
22,23000,139682472.1284182,45946,498157,498157,666349,710851,753101,920814,946877,76088967,76088967,76088967,75837900,75779367,75554701,76007370,76042237,0.0007224951653037283,0.007833457190227862,0.007833457190227862,0.0104370501326204,0.011123888245672729,0.011743757606854723,0.014461131104947856,0.014878590534577976
23,24000,145890557.6761775,36187,435313,435313,585964,638842,734942,892645,911403,78165427,78165427,78165427,78089735,78048747,77951510,78102797,78093953,0.0005343215972963619,0.006427643559396225,0.006427643559396225,0.008642432007036462,0.009416641354832351,0.010817667087460571,0.013168232599748647,0.01344319533925348
24,25000,152098640.0507617,45331,412885,412885,612783,699882,744481,835087,856626,61764235,61764235,61764235,61535962,61543482,61400838,61647838,61697243,0.0005018132346643243,0.004570628430751131,0.004570628430751131,0.006766396634787304,0.007728792208696421,0.008208368705377549,0.009232499669061449,0.00947580488738456
25,26000,158306719.1179347,75683,446756,446756,726981,867493,919394,1034356,1069502,54192033,54192033,54192033,54004821,53963925,53818983,54082121,54068132,0.0007269195424963483,0.004290998865366048,0.004290998865366048,0.006969969033334357,0.008313875503654863,0.00879906134593906,0.00992429828157822,0.010260135229864293
26,27000,164514794.7418282,18551,332620,332620,660073,817238,860857,960052,997981,51091411,51091411,51091411,50930770,50925995,50880362,51007512,50981668,0.00016355533919024473,0.0029325522570998437,0.0029325522570998437,0.00581131899050345,0.007194705832418954,0.007575670324819805,0.008458065216693046,0.008790218578841632
27,28000,170722866.78809214,22526,362957,362957,522560,558111,564970,614882,626610,50792809,50792809,50792809,50479701,50311021,50257265,50765587,50460730,0.00018782614146490147,0.0030264056125222515,0.0030264056125222515,0.004345860295469283,0.00463501739672853,0.004689886503815619,0.005125841475283585,0.005210368090366779
28,29000,176930935.12178087,11605,186854,186854,256240,258007,258683,273698,274277,51127692,51127692,51127692,51047779,51022928,50935508,51098215,51077420,9.22472244119021e-05,0.0014852876234607115,0.0014852876234607115,0.0020355384143062824,0.0020491707072327037,0.0020531141955649704,0.002175094043386451,0.0021793352353694584
29,30000,183138999.60709667,28718,235176,235176,325431,326315,326523,342735,343039,51176199,51176199,51176199,50964777,50973567,50837279,51049266,50991246,0.0002176219348777265,0.0017821385944983706,0.0017821385944983706,0.0024621366676570644,0.0024689890053935207,0.002468017789199374,0.0025947133864276804,0.002595874622431553
