,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227092,390835,390835,390835,1565500,1835142,1953615,2034247,2070851,9056,9056,9056,5678,8107,6756,6080,5405,0.12627929415976424,0.12627929415976424,0.12627929415976424,0.505263612451417,0.5927550021019355,0.6307468053239275,0.6566364491786766,0.6683062746525786
1,2000,9312181.820188005,348841,348841,348841,4446266,5070211,5214783,5427612,5510176,1831804,1831804,1831804,1818061,1824646,1825322,1829502,1824541,0.04663414180210921,0.04663414180210921,0.04663414180210921,0.5933005494150089,0.6771534883785961,0.6965247280226291,0.7253567078142907,0.7359028207046993
2,3000,15520302.808604592,687510,687510,687510,4029093,4669158,4810688,5135145,5249747,5035029,5035029,5035029,4932171,5024516,5016407,4994367,5021240,0.06556910315835573,0.06556910315835573,0.06556910315835573,0.3805291691519841,0.4448602172609069,0.4579908338446365,0.4878563857288769,0.5000205347564477
3,4000,21728423.4595229,714905,714905,714905,4560239,5289914,5459651,5696936,5798218,4918524,4918524,4918524,4852690,4881747,4876166,4857691,4888997,0.04252880879635496,0.04252880879635496,0.04252880879635496,0.27022464006900265,0.3140034185799168,0.32397149243141027,0.337681604143055,0.34432395984134234
4,5000,27936543.637849435,660689,660689,660689,2208781,2575625,2677915,2815480,2869566,9364872,9364872,9364872,9302298,9311761,9317354,9317169,9338988,0.035575095924779476,0.035575095924779476,0.035575095924779476,0.1185334272675668,0.13829020451308752,0.14382553978376614,0.15121238251883587,0.15429801936765858
5,6000,34144663.20869966,132217,132217,132217,1257494,1513836,1583137,1650427,1679475,15518305,15518305,15518305,15466575,15487783,15479688,15494924,15478976,0.007098381686777961,0.007098381686777961,0.007098381686777961,0.06732455623666556,0.08114089724894637,0.08481859645128846,0.08849598278726145,0.08997659615860457
6,7000,40352782.03685239,45012,45012,45012,411493,499304,540548,560916,569388,21348436,21348436,21348436,21313416,21319100,21334767,21302606,21291556,0.0023685108612900817,0.0023685108612900817,0.0023685108612900817,0.021612746937241432,0.02623265425119869,0.0284229452417903,0.02944413736203346,0.029871530766130295
7,8000,46560899.98757896,11845,11845,11845,397819,484925,528085,555049,576425,23598637,23598637,23598637,23570348,23542776,23552112,23543924,23560820,0.00051584636960248,0.00051584636960248,0.00051584636960248,0.017303586282527213,0.02106709479285433,0.02295144795480235,0.024114766435848502,0.02506186936355415
8,9000,52769016.92555094,66528,66528,66528,1221446,1389051,1473842,1512391,1533251,21538961,21538961,21538961,21508494,21511199,21500644,21493044,21503056,0.0021302555512098835,0.0021302555512098835,0.0021302555512098835,0.03907311476871186,0.0444385146560264,0.04713523161276008,0.04835632143562993,0.04903898535697996
9,10000,58977132.71606028,107890,107890,107890,1908491,2093827,2157947,2191766,2205304,24286420,24286420,24286420,24271500,24265490,24265232,24260897,24259680,0.0031100542927171297,0.0031100542927171297,0.0031100542927171297,0.05499081418898415,0.06032059666917562,0.06216735342877882,0.06313374577607371,0.06352148062348559
