,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292268843,9565,1001704,1488627,1632218,1720862,1827824,1998637,2116995,167122,70691,167122,43381,7826,6087,11304,27511,0.003256792601933898,0.3302281365081461,0.5068635024191378,0.5332861317511666,0.5557918588455589,0.5900063134030431,0.6462315790103444,0.6881068908782682
1,2000,9312181.820186978,343489,3308432,4882840,5395993,5621004,5962351,6266937,6575228,466428,278013,466428,288031,283045,266511,277512,284672,0.038830947252468245,0.36621321405985485,0.5519981789292875,0.5979502235190033,0.6225405719218682,0.6591386220570821,0.6936542369259823,0.7283545663164743
2,3000,15520302.80860331,338895,4856495,6226537,6909688,7472433,7858737,8364655,9013153,2302217,1960625,2302217,1972565,1976436,1965607,2071423,2068967,0.025638735056434724,0.3581571087860704,0.4710619290992428,0.510025223223031,0.5517207977306285,0.579779665362315,0.6219592351958632,0.6700563518929695
3,4000,21728423.459525477,488850,6305220,8439536,9269760,9794511,10310085,11017294,11726480,2608336,1979414,2608336,2121404,2230499,2219995,2282554,2338070,0.02556735166796838,0.3192676581031675,0.4413963073058795,0.4727776202362347,0.5023360830190831,0.528493877474064,0.5665621700758269,0.6047584446811302
4,5000,27936543.637850404,468507,6953118,9715028,10833586,11519632,12487840,13778049,14774480,3136782,1932537,3136782,2129702,2123508,2106370,2274696,2383636,0.01889159286454373,0.26738641074946184,0.3917387651489573,0.41979511294053845,0.44627188222327596,0.48345939036588076,0.5369079107023385,0.578191734944293
5,6000,34144663.20869252,373150,7365279,10149264,12213453,14015188,15665255,17719274,18870420,3694209,2162471,3694209,2225655,2453101,2218997,2422423,2543295,0.012254332807077765,0.23029312537238059,0.3333041908157398,0.38263886271610104,0.4422372083682212,0.4906790322745015,0.5585757463353603,0.5971393350876926
6,7000,40352782.036863506,371502,6251653,9084480,10747040,11929924,13583068,15784757,17274429,7197805,4466395,7197805,4734600,5006366,4793276,4679628,4715401,0.011205014546894237,0.17420680977380437,0.2740004913862369,0.30172904357884434,0.33751438865988664,0.3819813465889776,0.4424827976715637,0.4847277913641082
7,8000,46560899.98757306,500285,7153409,10225064,11548434,12657000,13928760,16353126,18241671,11568654,8220977,11568654,8475000,8988480,8734497,8743740,8805534,0.014297024551601183,0.1865785959538469,0.2922094227284316,0.3032207195777993,0.33686943785325135,0.3682285097151837,0.4324260733850383,0.4831543946893306
8,9000,52769016.92555237,953145,9433647,12658459,14533275,15849051,17564383,20165483,21548077,13901246,10626651,13901246,10447929,11105048,10540548,10606810,10666345,0.024522759533230278,0.22385186006559862,0.3256800865747128,0.3434050425538609,0.38040185341727806,0.4159370075899632,0.47828338387520997,0.5117983257238916
9,10000,58977132.716067135,854870,8703385,11855315,14247766,15849739,18075668,21427076,23472915,17380368,13998674,17380368,13622326,14456396,13702015,13592184,13548448,0.020551357920146097,0.19350118364307112,0.285005698902847,0.3141401547402619,0.3560080126499787,0.39924066268270236,0.4721185460415516,0.5166980982766191
