,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292262003,1029481,1454750,1944670,2141025,2244166,2295414,2406126,2501440,0,0,0,0,0,0,0,0,0.33165621518695515,0.46866030460321556,0.6264922732790756,0.689749736149235,0.7229775020726447,0.7394874888678367,0.775154317974715,0.8058605480987575
1,2000,9312181.820187837,2401593,3302830,4241379,4596517,4892445,5109921,5537101,5799548,0,0,0,0,0,0,2864,2864,0.25789799279837916,0.3546784270083526,0.4554656558364371,0.49360258302036497,0.5253811721538437,0.5487350976032518,0.5947912733189161,0.6229831349643384
2,3000,15520302.808603417,2744610,4162389,5446219,5865289,6411814,6979563,7652789,8193866,2863,2863,2863,2863,0,0,0,2863,0.1768726048789499,0.26823941651072003,0.35097406963875727,0.37798045762343324,0.4131242849492421,0.44970533668524804,0.4930824542777481,0.5280423897927434
3,4000,21728423.459524814,2521694,3812385,4928457,5358241,6161671,6686117,7479310,8112050,0,0,0,0,0,0,1432,1432,0.116055083549773,0.17545612580229852,0.2268207359443547,0.24660054191143702,0.28357653335861266,0.3077129370409564,0.3442404814275919,0.37336278311297394
4,5000,27936543.637854807,3664323,5749420,7545480,8302549,9097778,9986325,10972553,11738609,0,0,0,0,0,0,0,0,0.13116593976338356,0.20580283926782458,0.2700935411986922,0.2971931355441484,0.32565868268944526,0.35746458579322055,0.3927670202240724,0.4201883079084219
5,6000,34144663.208685726,3914665,6498001,8719639,9380568,10280551,11553338,12791394,13615748,0,0,0,0,0,0,0,0,0.11464939560464567,0.19030795413870233,0.255373407747712,0.2747301369665808,0.3010880774300574,0.33836438594775947,0.3746235223297245,0.3987665046447558
6,7000,40352782.03687021,2863117,4898664,6812807,7486088,8193064,9002121,10138321,11056797,0,0,0,0,0,0,0,0,0.07095215882225862,0.1213959423051453,0.16883115998731288,0.1855160319097698,0.20303591441388164,0.223085510976041,0.25124218178406255,0.2740033386024646
7,8000,46560899.9875724,2192341,3671599,5930803,6620337,7537238,8586450,10004365,11099819,2866,2866,1433,1433,2149,2865,2149,4297,0.047088350006041814,0.07886069675923277,0.1273812477617719,0.14219099633952195,0.16188660219884038,0.18442466487883252,0.21487614654161136,0.23841556917206638
8,9000,52769016.92554915,2602339,4637972,6636580,7594394,8519038,9285807,10478912,11551299,5012,3580,4296,5011,6444,6444,6444,6444,0.049320346392809675,0.08789791708811347,0.12577684262490826,0.14393133854764195,0.1614598668647343,0.17599230828077275,0.1986050228215048,0.2189297898019399
9,10000,58977132.71606982,2782088,5411986,8166162,8930042,9627219,10469685,11731101,12865906,72312,104003,38193,130940,147438,159228,153165,159944,0.04723022608641976,0.09192624931102927,0.13855291661742397,0.15175224747482038,0.16364557127933294,0.17800166548842644,0.1994272310331634,0.21874398081329624
10,11000,65185247.22380316,1656970,3221443,5494549,6168664,6900739,7713551,8801951,9873045,245105,567662,85658,644613,717780,766771,717063,768282,0.025515342949043528,0.04985396759786866,0.08440220691885657,0.0955779885677811,0.10704219193292672,0.11974128312506993,0.136531703288614,0.15326777605399738
11,12000,71393360.31408072,1218516,2593077,3888224,4492314,4984841,5417039,6075810,6671593,163999,189215,7876,223201,282464,300441,285328,301796,0.017106934240601175,0.03641750053402039,0.05446799216060024,0.06312075233912276,0.07009953830399053,0.07619660371616077,0.08544477750647694,0.09384507239881616
12,13000,77601471.8515023,1084993,1948150,2884906,3259281,3715759,4148229,4807473,5362269,13340,44844,0,68048,95971,121624,103848,121624,0.013984007271583661,0.025119065307095654,0.037175918589798636,0.042037109134280125,0.047941874566029295,0.05353945722700032,0.062033811632881526,0.06920856388718409
13,14000,83809581.701509,530974,1011698,1420319,1720712,2002615,2190559,2622887,2877067,70888,59272,66416,69379,70810,81752,73673,84535,0.006340844077323261,0.012079931448680617,0.016960416866285324,0.020548218710831862,0.02391502716493646,0.026162854188498334,0.0313233240156231,0.034363277338705214
