,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227822,1268528,2009651,2248472,2474404,2511928,2577878,2706396,2822687,0,0,0,0,0,0,0,0,0.4086672753926085,0.6474264648947686,0.7243647172443723,0.7971506666786795,0.8092393480809287,0.8304857114344711,0.8718888975674594,0.909353049815326
1,2000,9312181.820185237,4044425,5847679,6427250,7255528,7417863,7675465,8101051,8514365,0,0,0,0,0,0,0,0,0.43431551038159916,0.6279601400527292,0.6901980786144218,0.7791437216434928,0.7965762635691799,0.8242391684580876,0.8699412400260517,0.9143254679095852
2,3000,15520302.8086052,6308397,8409165,9603079,11197745,11485551,11959004,12975734,13736165,0,0,0,0,0,0,0,0,0.4064609484617995,0.5418170704335457,0.6187430179954732,0.7214901112490817,0.7400339504736893,0.7705393475550848,0.8360490230129809,0.8850449098444144
3,4000,21728423.459525052,4928525,6307328,7581305,9165374,9587649,10426737,11723295,12780743,5297,5297,5297,4120,4708,4120,4708,1766,0.2268791745600212,0.2903508393118244,0.3489969555775332,0.42189495359776097,0.44134480668665577,0.47995725245811655,0.5396542328057314,0.5882516914444597
4,5000,27936543.63784618,2952102,4134301,5045537,6561447,7014128,7934507,9743712,10658180,28838,28838,28838,1765,4120,4119,3531,1765,0.10578089214172438,0.1481419165606145,0.1807936870724926,0.23488451743485514,0.25111061220253095,0.2840608039894032,0.3488242434257999,0.3815380153240321
5,6000,34144663.208694816,1880674,2983465,3475652,4932298,5301398,6403579,8058190,8968130,8826,8826,8826,7061,8825,8826,8826,9415,0.05509382964601698,0.08739978989705502,0.10181827323440332,0.14448284826354174,0.1553029976176085,0.18759109263530616,0.23606246862307745,0.2627234448441968
6,7000,40352782.036870554,1886815,2823074,3104885,4162238,4365469,5236241,7137254,8185794,17088,17088,17088,15910,16500,16499,16499,17088,0.04677779929298543,0.06998947377524853,0.07697611443506706,0.10318693021599297,0.10822685630791692,0.1298146632701298,0.17694377028929476,0.20294169210321328
7,8000,46560899.98756674,864847,1680169,1846232,2589687,2731127,3235214,4522860,5232108,378610,380181,380181,346328,361044,356927,375778,384315,0.01872681065042109,0.036382478160471105,0.03997841611121434,0.05603615674936278,0.0591154873022764,0.07002025563625405,0.0979289391336365,0.11330651674238729
8,9000,52769016.92554423,767534,1233510,1323457,1754720,1829789,2334228,3496239,4124196,638101,687197,687197,661457,677479,658652,675716,673079,0.014723201892255783,0.02368408019849184,0.025411112781619456,0.03367496007311214,0.035126415400047586,0.04479392925639969,0.06711494449155939,0.07916540452528796
9,10000,58977132.716074616,870537,1270818,1365819,1822609,1969319,2619753,3802673,4380803,450014,454642,454642,350706,367840,357236,399372,363710,0.014874079214853009,0.021715036124580717,0.023338360744527314,0.031088522737823008,0.03360079790657293,0.04469050862864481,0.06491666723880911,0.07474061054616715
10,11000,65185247.22379798,386783,628978,673099,827429,876243,1058112,1598927,1823958,120047,123009,123009,102418,113160,97419,114055,117295,0.005944544836097067,0.009667328041136113,0.010345463334426127,0.012713476194385308,0.013465727585875605,0.016256680071760697,0.024571964111259007,0.02803158755828964
11,12000,71393360.31408739,349396,612658,683283,924822,971971,1195898,1882616,2202753,184843,198386,198386,132158,173669,168520,185464,206069,0.00490666023081031,0.0086053546040647,0.00959734878174959,0.01297791743568681,0.013647503689864242,0.016790462354514625,0.0264383038602357,0.03094306524855923
12,13000,77601471.85150379,914978,1363180,1459768,1822380,1884777,2167532,2986952,3627952,217434,220375,220375,136335,204492,191215,204492,210342,0.011823859615025497,0.017616447110021916,0.01886465893345154,0.023525163371148464,0.024352074249101074,0.02800057884006224,0.038592616995273686,0.046878137158111344
13,14000,83809581.70151067,432875,642355,687123,966704,1021154,1200786,1907613,2345219,167129,167718,167718,111048,136310,121958,133043,138363,0.005175302564892168,0.007679826483689391,0.008215060851012455,0.011549831965366342,0.012204064442977478,0.01434842987396623,0.022797465449721818,0.02802898100918491
14,15000,90017689.7285918,413880,688471,728551,906046,934519,1105402,1771876,2106933,52136,53906,53906,42581,48255,46825,49184,49188,0.004600427417460173,0.007652757270381391,0.008098269879332074,0.010069962824196973,0.010387072040845166,0.012286221804520624,0.019694402898556774,0.023418562713826113
15,16000,96225795.79822719,829289,1215215,1284814,1562721,1623069,1956737,2910158,3322926,45996,50718,50718,1174,27349,28880,24987,26758,0.008622278292736534,0.012635445978525636,0.013359115785645699,0.016240344423248135,0.016872091535992565,0.020340953592568926,0.030250868327976355,0.034542195806258225
