,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227429,1993236,2374304,2589851,2698297,2744196,2813128,2891608,2998020,0,550,550,550,0,0,550,0,0.6421382305590136,0.7650381402402499,0.8344907781561887,0.8694337872049432,0.8840664947588359,0.9062735352241366,0.9317216357399172,0.965838093422221
1,2000,9312181.820187721,5301994,6256863,6864460,7302009,7474653,7834153,8332612,8807327,0,0,0,0,0,0,0,0,0.5693610909213453,0.6719008628499771,0.7371484075964511,0.7841351405070397,0.8026747269684776,0.8412800728414122,0.8948077003754235,0.9457855495160914
2,3000,15520302.808601197,7731156,8716916,9548438,10217930,10680209,11164045,12423116,13450824,0,0,0,0,0,0,0,0,0.4981317758642873,0.5616460005644459,0.615222403696167,0.6583589331992495,0.6881443701008936,0.7193187618615919,0.800442887822732,0.8666598948408202
3,4000,21728423.45952539,7847637,8456947,9619171,10201995,10824118,11346312,12670381,13856776,35733,34084,39032,25840,13748,12641,35734,36283,0.36176411656462165,0.38982274688648266,0.44349658301618794,0.4700820535502783,0.4984701714826632,0.5224915114685662,0.584085298581378,0.6387924707501722
4,5000,27936543.637848854,8936702,9855153,11577621,12228458,12985341,13455161,14850002,16126428,106498,104848,108147,99736,80488,77565,98636,87398,0.3211170443732973,0.35409818820373234,0.41603622194508705,0.4392909617758518,0.4661586395726619,0.482973951590601,0.5334453362367546,0.579063652785208
5,6000,34144663.20869888,4697248,5331286,6595849,7100686,7433332,7770026,8646313,9501669,114579,115126,120511,104839,84494,56622,99891,91770,0.13803221793965686,0.15666642679575368,0.19385785013957388,0.20859937338293946,0.21824119411895185,0.227939938010201,0.2539688897607238,0.2790267758386174
6,7000,40352782.03686252,3156304,3946292,4629761,5192494,5557095,5952462,6548983,7290513,69629,41343,83489,61385,39065,23697,46449,40508,0.0783529530846732,0.09789509117725467,0.11497000942534341,0.12887351598281382,0.13784625701764586,0.1475972488480508,0.16248024830268157,0.1808509486052158
7,8000,46560899.98757672,1529457,1974633,2297218,2485049,2618254,2813269,3219372,3593660,13445,7597,29291,9034,1098,9857,17261,20007,0.0328580155544101,0.04241660361944572,0.049368978420955195,0.053382371410486185,0.056234216818589845,0.060434070204416025,0.0691688933230877,0.07721510631433876
8,9000,52769016.92554465,879043,1209043,1414165,1635205,1730497,1857617,2143853,2351424,99417,91711,144634,77115,77042,60600,98972,116812,0.016689760340740045,0.02295187612116857,0.02687280916910369,0.031033326569054144,0.03284175631004996,0.03524327058852953,0.04070345873125019,0.04465955420718169
9,10000,58977132.71606219,1225743,1683396,1826571,1968647,2080617,2239106,2558648,2757188,31248,21384,60380,38589,20298,13810,45003,39818,0.020794377858680213,0.028553551378126547,0.031002574238991124,0.03340169057253947,0.0352905139840073,0.03797455599275523,0.043416859569265324,0.04678170380315246
10,11000,65185247.223805964,2948144,3475365,3924452,4376311,4638690,4999229,5819042,6364955,138950,129461,217671,106953,84072,107809,142885,102160,0.045323778997846224,0.053421305032637575,0.06040631693693953,0.0672468609111012,0.07125355239829435,0.07681969568020323,0.08946541609262447,0.09779737365734303
11,12000,71393360.31407595,2537562,3178414,3690606,4090500,4319564,4638406,5252654,5708099,169990,153220,356443,172186,138618,172998,249037,200307,0.035628221310084494,0.04461549325966157,0.05195335241931603,0.057433762352210545,0.06062142476019727,0.06512752602331634,0.07383096437380492,0.08017775238291995
12,13000,77601471.85151333,2850163,3198976,3580042,3792995,4021411,4336891,4963317,5474018,261273,243521,378437,301452,186223,166749,308976,304093,0.03685228435308362,0.04135290509621119,0.04635976825935173,0.0490684867518277,0.051945980406434986,0.056007057819736784,0.06421473320689543,0.0708176406669038
13,14000,83809581.70150006,2509271,2821356,3205909,3405489,3533557,3776052,4397957,4910400,50206,33210,188691,137618,133256,144297,167390,169919,0.029958091007536738,0.03367722834849724,0.03833861339081013,0.04070047898181391,0.04222887382275025,0.04513284109977215,0.052580604483623616,0.05870898855157546
14,15000,90017689.72858047,3134026,4058300,4793946,5323951,5746366,6175517,7112022,7915904,72857,70305,127766,82681,59545,50912,111279,97962,0.034843869346639474,0.04511859919269547,0.05333129455616354,0.05919775930713953,0.06387821822401736,0.06864219388440065,0.07910472615207126,0.08803300677126022
15,16000,96225795.79822898,6426448,7626007,9506665,10589184,11367977,11965281,13314201,14624136,1589601,1440665,1657578,1590395,1466505,1474658,1605366,1583932,0.06790687235155259,0.08045573114451501,0.10052706100778433,0.11189453323684943,0.11996688561342066,0.12628113263905993,0.140711694381346,0.1545207946366929
16,17000,102433899.77493262,7713696,9089847,10967556,12104310,13006101,13760591,15561609,17176833,1204540,975906,1224953,1175049,1130660,1127571,1195129,1188726,0.07620018557017624,0.08959222099506803,0.10836547903605334,0.11953829129370794,0.1283878090068581,0.1358315039781102,0.1537119512700875,0.16965582021898634
17,18000,108642001.52416015,7686029,9132778,11202316,12922343,13929498,14769758,16573445,18652433,113646,94999,134555,80106,46155,53791,66412,62480,0.070820468649679,0.08413662088888403,0.10324006654700611,0.11903203179723561,0.1282691598789738,0.13601622062566202,0.15264430128939885,0.17178592001669143
18,19000,114850100.91041136,7134220,8446831,9931369,11161334,11985409,12736458,14468268,15657453,188978,206747,289602,201186,146884,173882,217050,209864,0.06222004301819204,0.07367920347655582,0.086691041802869,0.0973522864016782,0.10449060909391208,0.11106450945989176,0.12621375672280866,0.13657903561588006
19,20000,121058197.79921174,7945400,8920271,11239246,12057069,12645845,13470211,15254148,16516248,320652,565531,636408,486960,423707,398160,515165,489094,0.06580720145838738,0.07403165053077201,0.09333232813380399,0.09999954566344202,0.10482777285517943,0.11163771573166206,0.12654524816385532,0.1369857407873341
20,21000,127266292.05493855,10019091,11185261,13295225,14211504,14948320,15899880,18394730,19729769,499231,499599,557518,481644,408741,322412,486128,484242,0.0790354443545702,0.08823501450142346,0.1049274219497652,0.1120916784328797,0.11783547668775578,0.12525125270409945,0.14509154596162915,0.15561957699414455
21,22000,133474383.54323244,9204460,10246317,11900523,12851671,13389766,14394770,16556268,17858504,231307,247182,346421,262029,177799,194220,264625,255153,0.06908021218658587,0.07690859585213951,0.0893916106928729,0.09647506827776359,0.10045093087630659,0.10800384406289185,0.12428720073557345,0.1340534990870146
22,23000,139682472.1284182,9256746,10287061,11644957,12747597,13573155,14352717,16191580,17524332,317389,353350,595490,401336,339737,315670,371090,341506,0.06642084080321865,0.07383281285960104,0.08372427686473403,0.09152421752394828,0.09740841521081803,0.10298519289245674,0.11622582270466952,0.1257658281474048
23,24000,145890557.67620993,10945004,12354728,14237552,15483728,16466370,17493394,19816768,21159240,326428,395143,756958,569779,459474,395388,593918,541462,0.07519025479935104,0.08491489596077376,0.09809962704545112,0.10654861707353898,0.11322455684000118,0.12023350355156405,0.13638834348930018,0.1455753123303625
