,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227369,31252,82210,264129,454124,688505,813956,1048838,1347681,914052,914052,806164,707977,732966,653321,623209,488384,0.014270263405777377,0.03753866487229483,0.11494381280711011,0.18952760849438086,0.2903743239570123,0.33212667322665007,0.4227733684850181,0.5152322672233702
1,2000,9312181.820187073,198841,493568,1098737,1797456,2822485,3107374,3787041,4249115,1478320,1478320,1288896,1120031,1086194,883136,756281,698084,0.02538224499794045,0.06300443016854407,0.13694351972797866,0.21941197610409155,0.3431180621339422,0.3686507424788249,0.4426232935127919,0.4932745237745305
2,3000,15520302.80860259,366927,895446,2258912,3230955,4141166,4444892,5104906,5582728,3603173,3603173,3307657,3178580,3174950,3107143,2939791,2783766,0.030789880272607862,0.07513940138116197,0.18496499738073316,0.26179124666030557,0.33544330925190885,0.35807901199496306,0.4057788806739365,0.4383238618074954
3,4000,21728423.45952402,322217,749381,1247593,1833986,2572492,2847698,3593599,4051494,7181020,7181020,6800634,6624088,6701675,6781859,6787020,6518205,0.02214945099285386,0.05151304162870308,0.08357520069416761,0.1214211644672909,0.17119418794619823,0.19052525466381898,0.2405128145916809,0.26636658840775024
4,5000,27936543.6378565,212697,416386,567558,906505,1358670,1567109,2117116,2521104,10439330,10439330,10080123,9990461,10037411,10054265,10051217,10039899,0.012156049780395578,0.023797274732881953,0.03178453350257379,0.05051269507072068,0.07590703010527033,0.08763474900130766,0.11837167097182687,0.1408702050588381
5,6000,34144663.208686054,55367,139584,234018,483511,758122,1010899,2027213,2510276,15079439,15079439,14832137,14693913,14679195,14690544,14503624,14416551,0.0029040833401148764,0.007321393049047175,0.012117420448845654,0.02485821856804681,0.038947021046311335,0.05196323663672445,0.10321312321923808,0.12724359905529914
6,7000,40352782.03687444,1757,33313,61011,128684,365612,677080,1330630,1689581,18890525,18890525,18416098,18477608,18494807,18509665,18400981,17911426,8.186464252018261e-05,0.0015521666683408328,0.0027812316527622695,0.005882650340659258,0.016726709559472544,0.030997407506309096,0.06061598306967248,0.07528872128866769
7,8000,46560899.98755869,6151,70257,103169,165472,411192,729032,1349414,1624018,18951947,18951947,18815028,18816905,18862189,18809097,18832136,18681774,0.00022279004940070708,0.0025447180134523617,0.003718354933889308,0.0059642455988837585,0.014845167350375736,0.026269716613613523,0.04866477281877596,0.058252113094389414
8,9000,52769016.92555231,4394,27891,46829,95894,251588,351117,645980,756507,17196097,17196097,17103261,17041833,17075724,17074607,17038058,16959081,0.00012352092572653152,0.0007840514655072122,0.0013129961439132128,0.0026840626510004893,0.007048607157785988,0.00983675036882031,0.01807899982046213,0.021125617246921455
9,10000,58977132.71607247,0,4394,22862,45844,99197,138535,342424,444646,17213864,17213864,17136657,17127344,17126589,17124104,17127839,17095137,0.0,0.0001052120711592908,0.0005464087013527397,0.0010954416116895126,0.0023702678912126997,0.003310035241172392,0.008182312521764018,0.010616638304782702
10,11000,65185247.22379869,1757,1757,9651,27086,85762,134267,374658,493478,18637602,18637602,18571820,18428684,18431090,18389591,18363314,18335071,3.7746270333384944e-05,3.7746270333384944e-05,0.00020704334726695742,0.0005792983515566315,0.0018343181674622428,0.002869219300139151,0.008001762725370948,0.010533108726052684
11,12000,71393360.31408268,0,5273,18067,23408,63938,102699,370503,468587,20150205,20150205,19838964,19932569,19919750,19945760,19908518,19788142,0.0,0.00010290154787854896,0.00035044537986501044,0.00045487058014971105,0.0012421510675055016,0.0019961863988413923,0.007196351068529078,0.00908022512661527
12,13000,77601471.85149515,4395,12303,25883,42783,118656,177487,502793,676017,20621881,20621881,20240839,19973378,19996932,19852094,19834028,19084771,7.713288098987245e-05,0.00021591941634093305,0.00045123281793299356,0.0007423983189561978,0.00205983765005147,0.003073401075530458,0.008703743258790335,0.011552548078805902
13,14000,83809581.70152819,3514,23721,40398,84287,194142,257821,514009,639086,21744628,21744628,21163183,20707702,20647125,20322260,20796265,19897066,5.661810394476258e-05,0.0003821963698559229,0.0006448574991911631,0.0013357288308791656,0.0030736929837515774,0.004060984037286834,0.008157148788639058,0.009999387334157448
14,15000,90017689.72857249,0,0,1758,17342,41624,99037,311263,443815,22872480,22872480,22262747,21884381,21959518,21720843,21987847,21222994,0.0,0.0,2.5946446549923e-05,0.0002545304245987313,0.0006115944484374861,0.0014500962305565295,0.004575389086843644,0.006451296794029869
15,16000,96225795.79824305,879,8787,19329,27373,65275,190917,375491,447926,25027418,25027418,24784719,24474355,24454322,24244109,24567669,23988273,1.2345786901084296e-05,0.00012341573321937168,0.0002705586319000634,0.0003814975657000364,0.0009094839014103947,0.002652299612471154,0.005240033709745347,0.00620073865560205
16,17000,102433899.77491081,1757,11423,20210,109798,172665,276404,476332,559930,28222679,28222679,27935458,27682124,27674530,27524046,27745574,27379315,2.367566496890189e-05,0.00015392550992587723,0.00027128084183374447,0.0014688346713075929,0.002309610160169465,0.003689821646569208,0.006377596432346443,0.0074603037466563
17,18000,108642001.52418101,2691,7084,14113,74253,156532,208515,381961,449347,31804162,31804162,31319609,31329680,31298393,31212016,31431246,31164004,3.502180718073336e-05,9.21941590740673e-05,0.00018252151206503918,0.0009604290562763124,0.0020238517828019523,0.002692948973041998,0.004946992130913377,0.005799672350330919
18,19000,114850100.91038775,75057,97907,114601,166610,283557,343578,513502,578537,35258927,35258927,34763040,34586525,34714674,34657032,34919871,34583584,0.0009430316995262212,0.0012301238339597071,0.001430955246668761,0.00207578591048592,0.003538472445115822,0.004284385230149171,0.006424377867744193,0.0072077003247306495
19,20000,121058197.7992127,9260,20683,27710,56867,166528,249563,461249,575323,38764675,38764675,38332050,38070670,37981121,37847456,38024682,37538974,0.00011252404423849249,0.00025133205259014475,0.0003349605987608155,0.0006852475487351426,0.0020044999946553024,0.0029991680713794726,0.005554973742354452,0.0068885099002251905
20,21000,127266292.05496454,0,11075,33912,77682,227398,287134,633365,733720,42623983,42623983,42217443,42106478,42145219,42167144,42252105,41768717,0.0,0.00013084472911541412,0.0003987355546467617,0.0009121908127918393,0.002671465382645777,0.003374111334399535,0.007450109469264326,0.008581763863224276
21,22000,133474383.54322195,1759,10893,22319,36584,85385,134586,349219,440352,48046708,48046708,47399778,47315957,47338429,47171249,47470759,47046485,2.0590516935112413e-05,0.00012751137065047157,0.00025929831288965503,0.00042461313962886024,0.0009912817528150207,0.001559456683842662,0.004060514912653438,0.005095021485218494
22,23000,139682472.12845302,878,21965,38661,55353,150626,195153,447864,522453,51451031,51451031,50829147,50856082,50906963,50727175,51053868,50640811,9.951101203501266e-06,0.0002489475375112817,0.00043511033429653604,0.0006231594002632922,0.001696706687224434,0.002193832253948808,0.005053266994376811,0.0058675118296176035
