,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227277,156095,1898122,1941056,2026209,2030967,2033353,2106955,2113315,0,0,0,0,0,0,0,0,0.050287355385470744,0.611496432166184,0.6253279918966033,0.6527607679185066,0.6542935988030582,0.6550622693559248,0.678773790744063,0.680822719795292
1,2000,9312181.820185306,614552,4398521,4448752,4864434,4918514,4944754,5217283,5222850,0,1590,1590,795,1590,795,795,795,0.0659944159023917,0.4724212042529921,0.47781624261039274,0.5224177766361116,0.5282708226276972,0.5310437741970636,0.5603121318824311,0.5609100020072048
2,3000,15520302.80860631,290663,6253094,6376674,7337702,7382430,7405896,7734400,7738114,0,0,0,0,0,0,0,0,0.01872792068456433,0.4028976803553432,0.4108601538665863,0.47278085295675426,0.475662755491233,0.47717471052776667,0.4983407924045866,0.4985800918593589
3,4000,21728423.45952015,290455,3950119,4621508,6426962,6595060,6646340,7395825,7400062,34538,4510,9094,31618,53618,56265,38958,47519,0.013388795683556845,0.18183275344751132,0.21278318046666364,0.2962169712951899,0.3042730885090032,0.30667642138249473,0.3409869650224023,0.3413170337896402
4,5000,27936543.63784346,35616,1842970,2125559,3296708,3503421,3582947,4399455,4405816,8402,15373,20333,10527,21128,14503,9544,12912,0.0012752728220104435,0.06600618662822459,0.07614067065100066,0.11805149451685576,0.1255013016983561,0.1283196685540218,0.15753410882128435,0.15778090963028693
5,6000,34144663.20869355,52379,2062437,2217273,3131431,3293264,3384282,3923741,3934078,2384,2385,2384,0,0,0,1590,2385,0.0015341389389921833,0.06040712887972566,0.0649421494812046,0.09171070105042678,0.09645032899787116,0.09911598715486321,0.11492055726843395,0.11522599563957267
6,7000,40352782.036866084,167812,995113,1069278,1471353,1561182,1621490,1847482,1852253,12727,12726,15909,5568,0,0,3181,6362,0.004159934830198905,0.024668111494207726,0.02650869835702753,0.036467276245036255,0.03868833624838339,0.040182855261840816,0.04578687155573155,0.04590873238090331
7,8000,46560899.987576425,22436,229722,252763,388032,398410,411684,537133,538725,8750,50098,38171,28627,40558,26246,7954,37376,0.0004819541096595451,0.004939110705108061,0.005433107762605642,0.008338986580423442,0.008564210471763043,0.008846826283696214,0.011538109750204521,0.011579625828513343
8,9000,52769016.92556277,10969,55822,65842,149159,168919,181644,219451,219450,13524,22271,22271,3977,3975,2385,0,3181,0.00020792147683042407,0.0010583022520247428,0.0012482665772959247,0.002826852783783033,0.003201343045236259,0.0034424027718169114,0.004158709272707559,0.0041589410297522824
9,10000,58977132.71605143,142126,247829,248624,263388,265775,269753,287429,287430,0,41332,41332,1589,5563,5565,795,32627,0.002409849266227866,0.004205067157635183,0.0042185564118803285,0.0044660546288157995,0.00450683272091465,0.0045742891099463875,0.004873632564026966,0.004876281453348903
10,11000,65185247.223796666,64154,96178,102542,123009,135738,141306,179328,179327,3178,42928,45313,12720,43724,16694,1589,44480,0.0009842277295575431,0.0014764288583214262,0.001574180281602737,0.0018874363975114549,0.002083740036806722,0.0021683157444778336,0.0027511189903504456,0.0027529150736574346
11,12000,71393360.3140769,121175,141052,141847,155473,155473,156269,180538,180538,0,2780,2780,0,1191,0,5927,6722,0.0016972866869821152,0.001975778868576968,0.001986914791502688,0.0021776955072017362,0.002177731836611166,0.002188845003408361,0.0025289885294755327,0.002529016693652029
12,13000,77601471.85150522,6365,6365,7161,11308,12102,12896,22813,22813,28641,31385,28997,795,21869,11930,15545,29068,8.2051923722937e-05,8.205482626549992e-05,9.231367200425278e-05,0.00014572037846575378,0.000155994611407903,0.00016620796685049404,0.00029403528353360664,0.0002940865419572444
13,14000,83809581.70153469,3182,11582,27885,39230,46379,49555,58292,59881,4916,24490,21312,446,24465,11917,12711,20047,3.7969246382206245e-05,0.000138234616263932,0.0003328031489292021,0.0004680873949077324,0.0005535470000622494,0.0005913649285633665,0.0006956345685941279,0.0007146596554486323
14,15000,90017689.72858548,41334,52793,57138,69624,70418,70419,91066,91066,4617,15262,17645,5115,8900,6355,3180,14916,0.0004591999667052089,0.0005865730662199962,0.0006348663511480683,0.0007734919283215366,0.0007823458154735778,0.0007823348049702521,0.001011681341981254,0.0010118132611626038
15,16000,96225795.79822981,795,796,796,796,796,14989,25313,25313,794,794,794,795,794,0,2383,2383,8.261886049812733e-06,8.272278359309352e-06,8.272278359309352e-06,8.27227844527743e-06,8.272278359309352e-06,0.00015576904171756136,0.00026306487437811676,0.00026306487437811676
16,17000,102433899.77491307,7163,7957,7957,9549,9548,11236,29501,29501,3974,18291,19085,0,5559,10347,5560,22249,6.993073504456592e-05,7.76932353884429e-05,7.769383772736266e-05,9.322109205041348e-05,9.321638843083274e-05,0.00010970133036385034,0.0002880159930818818,0.0002880629281607734
17,18000,108642001.52416646,38111,50644,58601,115104,119084,119880,137389,137389,0,7150,3971,0,794,6254,5559,10239,0.0003507943471708089,0.00046618556834621296,0.000539415154318029,0.0010594797443454328,0.0010961218373195143,0.0011035041662812897,0.001264667700890863,0.0012647221844479981
18,19000,114850100.91039407,0,3233,3234,8806,9602,10398,14377,14377,0,33353,34941,0,794,18363,21444,53304,0.0,2.8157913012160177e-05,2.8167012113417176e-05,7.667385513984383e-05,8.36052063204136e-05,9.054987923385611e-05,0.0001252039376478906,0.00012523868598199764
19,20000,121058197.79920459,7961,9702,9702,14477,14478,14478,14478,14478,11912,18268,18268,0,3969,2384,3976,30966,6.576823028842007e-05,8.015536704370888e-05,8.015536704370888e-05,0.00011958710986275,0.00011959929152095124,0.0001195977255913927,0.00011959929843681941,0.0001196259699967388
20,21000,127266292.05495787,4776,11941,13370,36636,40128,42204,44593,44593,3183,81019,81019,1591,12731,32213,61755,85146,3.752855038247974e-05,9.388665616057756e-05,0.0001051222337213736,0.00028787243985415207,0.00031533891599834794,0.00033170358376838864,0.0003505613953119761,0.0003506258701327503
21,22000,133474383.54324555,1592,1592,4939,9540,10027,10339,10339,10339,29028,59237,59238,0,10720,5926,23414,38141,1.1929976832232888e-05,1.1932678119751304e-05,3.701978497185733e-05,7.147438891829794e-05,7.512906310076676e-05,7.746399554104404e-05,7.747414676256502e-05,7.748269737623358e-05
22,23000,139682472.1284306,11145,26272,26271,36621,36621,36621,38213,38213,37273,31481,7578,794,39640,10352,0,5561,7.980940318435172e-05,0.0001881261263361808,0.00018808677224300526,0.0002621746852606449,0.000262247617309275,0.00026219262631888484,0.0002735704732148868,0.0002735813649606253
23,24000,145890557.67617512,0,0,0,796,796,796,796,796,73056,15120,20705,64513,80223,24688,796,14334,0.0,0.0,0.0,5.458558529565943e-06,5.4591466494320004e-06,5.457068207711197e-06,5.4561745173512935e-06,5.456680876021366e-06
