,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292279554,2447236,2682842,2925417,2941878,2955794,2969049,2982936,2998716,0,0,0,0,0,0,0,0,0.7883982603164161,0.8643007725874474,0.9424484085311221,0.9477514621651274,0.9522346220199853,0.9565048350033242,0.9609786522571624,0.9660623158465313
1,2000,9312181.820185803,7651960,8521354,8919137,8995289,9068284,9132842,9180151,9259719,0,0,0,0,0,0,0,0,0.8217150553711292,0.9150759901968899,0.957792402706978,0.9659700780864392,0.9738087351712666,0.980741374723048,0.985821709376464,0.9943662160813828
2,3000,15520302.808604635,12593963,13995064,14658525,14761629,14893989,14968120,15092243,15209276,0,0,0,0,0,0,1263,1263,0.811450856037278,0.9017262209755968,0.9444741626995283,0.9511173320546286,0.9596455161778545,0.9644219049451471,0.9724985041685379,0.980039756813248
3,4000,21728423.4595259,16621141,18885815,19851887,20068607,20455765,20715169,20936581,21180609,0,1893,2524,631,631,631,631,0,0.7649492394586579,0.8692513070682023,0.9137429286636864,0.923637642313797,0.9414562035284805,0.9533950141777082,0.9635852808793275,0.9747881174837038
4,5000,27936543.63784898,17812128,20470080,22259239,22608514,23155498,23477306,23922842,24235397,8078,9339,16286,7446,8077,14393,15734,16365,0.6377768199288685,0.7329799120767517,0.7972433237802632,0.8094967582970304,0.8291002259543817,0.8408129554381849,0.8568104689761789,0.8680244247128907
5,6000,34144663.2086938,16705451,19419678,22473932,22940781,23851524,24499586,25118780,25671982,45105,45046,51416,42580,46309,45105,49292,55603,0.48990227080833226,0.5694984163942137,0.6591901282512371,0.6727090793723592,0.6994919418696975,0.7184722409029259,0.7367211181321613,0.7530856480887327
6,7000,40352782.03686406,15388971,18988261,23490424,24102564,25154676,25641865,26297928,26922892,857228,822312,972285,919306,892370,914818,950315,978810,0.38963805864417955,0.4803449334726487,0.5964989212302382,0.6112208819092672,0.6374661262153171,0.6501822704648659,0.6674183110259633,0.6837738385853813
7,8000,46560899.987565815,16395110,19864047,25485124,26185491,27640541,28375990,29322874,30160031,365121,294666,456489,387192,405772,411999,433787,467080,0.3549049363235752,0.42934220678818424,0.5527697557371082,0.5671082557859882,0.5988617561074981,0.6148789980425649,0.6356971442783418,0.6543183231100377
8,9000,52769016.925548285,18274359,22369413,29470217,30358823,32222267,33315857,34791550,35759895,366286,311225,492032,444529,470493,457706,475621,505393,0.3487291344789546,0.4264268887212831,0.5637321479417917,0.5802029643022423,0.6161219204938047,0.6368767368001266,0.6653144127326096,0.6842214969811788
9,10000,58977132.71608135,18244420,22976387,31658497,32804663,34958835,36154257,37827228,39222227,369009,379474,685909,565005,594836,588642,650097,685916,0.31129507043055116,0.3921041813517787,0.5431091506021355,0.5616070546077472,0.5987917051295212,0.6192017734420115,0.6485367811958024,0.6728668435767853
