,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.62922724,0,78384,95968,105193,120437,223040,592368,773844,765,765,0,0,0,0,0,1125,0.0,0.02525830902533724,0.030916921884960525,0.033888835485210204,0.038799822035042834,0.07185426660159215,0.19083647865069917,0.24939092925776205
1,2000,9312181.820187846,3170,104393,121194,142085,183418,633840,1598451,2170448,54742,51571,47581,33851,34867,34867,40972,43454,0.0003424272867631427,0.011272798525603351,0.013081405486560694,0.01531363806201549,0.0197705913354233,0.06832149304890853,0.17241018497061836,0.23416892178801862
2,3000,15520302.808598863,0,423141,575819,690526,893018,1630900,3550835,4165865,552492,536382,477020,500143,484601,480922,540117,570791,0.0,0.028239671405442222,0.03827748286902226,0.04597327916608997,0.059393170426490255,0.10844196451675207,0.2370354443775834,0.27866227695835666
3,4000,21728423.45953367,4755,1229560,1579175,1854957,2376048,3224066,4531943,4943762,1663350,1487566,1319263,1446119,1358259,1335914,1534314,1515956,0.00023697894800084676,0.06074643835905596,0.07737579422392775,0.09145691524850767,0.11664353543733709,0.1581005028536457,0.22441905690772926,0.24458973205016404
4,5000,27936543.637846567,7132,1385992,1685679,1945111,2732835,4199785,5793992,6208629,2772861,2704262,2572086,2650738,2643129,2647544,2728924,2716075,0.0002834243342933185,0.054929317130049546,0.06645831044637758,0.07692501587090633,0.10804531689884432,0.1660716145416349,0.22985081825421294,0.246174212269916
5,6000,34144663.20869163,3170,546802,763225,956980,1557250,2420352,3200702,3388888,5216128,5141315,4961413,4929179,4834012,4841755,4917205,4863369,0.00010958038411317722,0.018853064689825578,0.026152844338520224,0.032755917826455115,0.05312915052321394,0.08259767197039139,0.10951010440751154,0.11573559474000536
6,7000,40352782.036863774,1584,481733,674323,967175,1310181,1810238,2233213,2367769,6197358,6190222,6128859,6166455,6159950,6162723,6156779,6175797,4.637623582978788e-05,0.014101197318941456,0.019703264271418077,0.0282912814517066,0.03831741689566619,0.052946325657063024,0.06530625809082322,0.06927963357347323
7,8000,46560899.987573266,5548,458776,602575,855004,1195351,1955856,2699964,2866555,5685880,5666102,5640870,5648931,5647346,5647370,5652918,5652917,0.00013573082047878363,0.011218443972737281,0.014725673470498237,0.020898627496019603,0.029216503664361834,0.04780462601476957,0.066000909084691,0.07007324220484744
8,9000,52769016.92555508,0,173383,260706,406590,819479,1842958,3005494,3283257,4087569,4019373,3971649,3961998,3958836,3969098,3993742,4009577,0.0,0.0035566003367075013,0.005342624225096141,0.008330564106366917,0.016789099824273613,0.03776559552919456,0.06161921187706758,0.06733582266352546
9,10000,58977132.71606019,6043,296487,388306,579656,1160568,1957962,3261829,3667706,1553680,1525131,1498525,1500427,1498320,1495942,1503112,1507476,0.00010523574801189016,0.005160603480193793,0.006755661200393043,0.010085059552013121,0.02019123125825675,0.03406265555060861,0.056753102695119684,0.06381986964218356
10,11000,65185247.22380686,5054,234771,279166,364649,480358,919263,2138814,2624171,912795,725070,732045,641996,646860,641276,624967,650246,7.863399987293424e-05,0.0036421091301823607,0.004331297598381937,0.005649684406748614,0.007442981156845612,0.01424243012275223,0.033128945422565004,0.0406627558725752
11,12000,71393360.31407756,6339,66040,82681,164026,354621,876740,1847220,2192560,2084197,1371213,1491468,1365021,1363251,1074425,978497,929512,9.145976804357802e-05,0.000943130174283059,0.0011828149033291458,0.002342280305468081,0.0050638361623792805,0.012468049979483696,0.026233381889284986,0.031116097863788706
12,13000,77601471.8515184,3169,80811,118984,222398,338174,936094,2067437,2469866,1421220,788434,786515,724288,777145,790295,705727,667577,4.1598707315599886e-05,0.0010520479629540205,0.0015489691705483013,0.0028928999328271757,0.004401912959857144,0.012186950368037427,0.026886234134178833,0.03210374315205041
13,14000,83809581.70149302,10121,267577,465977,624186,854677,1681742,2979238,3355174,1056465,632372,607835,728040,730745,744268,687572,550212,0.00012230355065064754,0.003216950904704333,0.005600567517792727,0.007512932321870756,0.010287541736662768,0.02024601996982252,0.035841746496493666,0.040297854908452835
14,15000,90017689.72859442,2563,270159,342864,433747,519697,1051578,1883750,2169451,1019701,647829,745135,689531,753852,740344,638223,588193,2.879840361130011e-05,0.0030229318676062455,0.003840642860981988,0.0048556581281144805,0.005822032899595155,0.011778777599379196,0.02107586976011066,0.024258785740279516
15,16000,96225795.79823935,1584,70969,87740,105419,150950,594938,1821684,2112327,1132522,535524,687205,617660,632820,558523,563922,424733,1.665732955372631e-05,0.0007416532387914671,0.0009183723484606488,0.0011026153697051933,0.0015790909189666656,0.0062188247098327355,0.019042947076722723,0.022049097768869645
16,17000,102433899.77491534,5552,177809,220011,252729,297411,878893,2729984,3107049,2054007,1086186,1100017,1151073,1258194,1198449,1184719,1142768,5.530988175539703e-05,0.0017544451016911805,0.0021711494119759766,0.0024952798815701424,0.002939549546228494,0.00868167221336438,0.026963023099109938,0.03067444252577162
17,18000,108642001.52416408,2380,123751,198442,286952,393955,1131493,2865986,3248664,1278854,625328,671244,644548,725363,600912,849678,875957,2.216775546250017e-05,0.001145665719582783,0.001837923568847688,0.0026570256115881047,0.0036505492145382924,0.010472802569682846,0.026588034345112938,0.030145525098785278
18,19000,114850100.91039562,1584,36492,59519,89261,121633,302412,2070746,2352289,960196,482006,518060,563345,544850,622290,574309,525351,1.3908168605867506e-05,0.0003190750010183392,0.0005205802286573916,0.0007810266315546082,0.0010641068457594187,0.0026474463406921346,0.018120600744763904,0.02057550094658991
19,20000,121058197.79920292,0,18249,45912,68541,89234,224006,968228,1154082,926072,524953,625322,649078,758698,708076,651966,605416,0.0,0.00015140221297784792,0.0003812248083866139,0.0005692342915079903,0.0007417653452337235,0.0018612860265629046,0.008041344584345755,0.0095811983979239
20,21000,127266292.05492854,0,4561,12596,14181,15769,104075,358807,437515,533734,292729,342848,334521,342124,416068,403343,341192,0.0,3.5920863290470314e-05,9.924092506147911e-05,0.00011172143807765279,0.00012423953799859224,0.0008204557837827197,0.002828304108275501,0.0034470329336802534
21,22000,133474383.54328227,10316,193031,197793,207315,221599,316024,466215,497622,657286,309766,313627,353706,480223,488043,466824,479583,7.767072305309363e-05,0.0014495667359781922,0.0014853700529683443,0.0015573463403729636,0.0016662310517602142,0.002376364359745244,0.0035051767102627575,0.0037416650723729027
22,23000,139682472.12842703,10904,185812,196890,217535,306663,521735,748214,808393,1330080,525524,531519,558485,595561,962600,927384,964420,7.881323793721073e-05,0.0013352692948433687,0.001414938206124134,0.0015636052738999696,0.0022048300412455075,0.0037610689225331543,0.005392335589938716,0.005827597688955285
23,24000,145890557.67616272,3339,125852,220152,244649,283524,450383,755474,799904,1038802,575485,611342,534190,443736,469762,380598,479439,2.3051153121435565e-05,0.0008660629464120592,0.0015153716171674124,0.0016830979193498412,0.0019493310113799947,0.003097101744670391,0.005191905775256434,0.0055009823683526094
24,25000,152098640.0507667,0,4843,8653,14962,38665,142466,365172,463739,910726,438097,541233,541834,524230,543491,543502,572178,0.0,3.1933157448729816e-05,5.709387728639044e-05,9.872205933785782e-05,0.00025508923298497393,0.0009400274480432063,0.0024094993063031468,0.003060448938909635
25,26000,158306719.11795688,0,3176,3176,7939,16111,43610,96321,101521,914853,431049,455463,594076,675299,613409,572512,543148,0.0,2.0117095925084913e-05,2.0120207327502565e-05,5.033838659378907e-05,0.00010220678077977099,0.0002765494615299729,0.0006106538445904075,0.0006435008999897361
26,27000,164514794.7417748,0,0,0,0,0,1585,4756,6340,601612,318354,356011,346083,369307,357083,329399,285442,0.0,0.0,0.0,0.0,0.0,9.65534901274242e-06,2.8967253625164536e-05,3.860454842057782e-05
27,28000,170722866.7881155,0,0,0,0,0,0,0,0,622559,391032,373991,396151,396521,354656,359029,311159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,29000,176930935.12180185,0,3971,7942,14296,15090,16678,23825,30179,836411,588352,558378,437120,517439,470152,386598,373863,0.0,2.2518667526023393e-05,4.502968108873821e-05,8.100000552503242e-05,8.553767331713302e-05,9.451391807826235e-05,0.00013495193552179815,0.00017093056447594658
29,30000,183138999.60705423,0,2372,2372,2372,3166,3961,5245,13180,707349,422881,439605,442129,471831,409582,549099,452384,0.0,1.298188697353613e-05,1.29830753139694e-05,1.2983254678191587e-05,1.7332069162415076e-05,2.16768599816688e-05,2.8725575634588868e-05,7.214540570585221e-05
