,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226682,1405932,1921778,2133825,2280827,2463056,2564607,2672516,2740202,0,0,0,0,0,0,0,0,0.4529331633416779,0.6191174173291759,0.6874301938269815,0.7347881605547844,0.7934948102523448,0.826210343912942,0.8609741623074569,0.8827797930875692
1,2000,9312181.820187941,4157173,5222174,5757524,6115812,6380680,6677516,6976682,7168983,816725,816725,816725,774429,783086,770433,778692,811880,0.48934072504744164,0.6147019648890961,0.6777179993803593,0.7163257274840352,0.7481074353622867,0.7817504518767946,0.8175649291213833,0.8433798177582233
2,3000,15520302.808602318,5152582,6267039,7166561,7664211,8177869,8672103,9290729,9566430,3305407,3305407,3305407,3240454,3226470,3230466,3270017,3297434,0.42182774873702183,0.5130652850584652,0.5867066827498407,0.6241291012175201,0.6652009285727174,0.705632071040189,0.7584091624601871,0.7826665040589533
3,4000,21728423.459523726,4533917,5119703,6317063,6582671,7054500,7501408,8444479,8770174,6899657,6899657,6899657,6893028,6893028,6896940,6905503,6904836,0.30575146033728967,0.34525481360668997,0.42600057241732925,0.44371388804295003,0.47551816324999246,0.5057759744985676,0.569690637081873,0.5916364054212407
4,5000,27936543.637859926,3395438,4118779,5008938,5266968,5741075,6123566,6882709,7161132,10832525,10832525,10832525,10824535,10825200,10824619,10832840,10834172,0.19851697264198265,0.24080767726030416,0.292851528407053,0.3077936735227538,0.3355128107705996,0.3578537265441016,0.402410445464266,0.41872157567592744
5,6000,34144663.20868394,2401010,2935394,3668506,4296054,4682478,4903551,5544969,5773039,12827852,12827852,12827852,12809719,12795262,12818479,12832510,12833263,0.11263457636768338,0.137703241411839,0.17209450156904998,0.20136232642461666,0.21932596395703066,0.22993100650435597,0.26017873209266457,0.2708897089571623
6,7000,40352782.0368633,2758066,3933306,4250247,4960919,5318985,5633348,6217766,6558886,11430449,11430449,11430449,11373360,11349764,11364607,11387855,11405078,0.09536111753103302,0.1359954604971445,0.14695380882941905,0.1711876445875787,0.18339418998531412,0.19433261986435016,0.2146653430918962,0.22657707124708826
7,8000,46560899.98756823,2627322,3936015,4036920,4581749,4799793,5184658,5936680,6273130,10058006,10058006,10058006,10025377,9973517,10036696,10052671,10063327,0.07197571789499171,0.10782747804435688,0.11059177941822508,0.125405321324099,0.13118710899959388,0.14195129349744914,0.16261210594525297,0.17187800411103357
8,9000,52769016.92555824,1351391,2330457,2388311,2821146,2931943,3135119,3670203,3883215,10382986,10382986,10382986,10341453,10323463,10349258,10349264,10367024,0.031882933374286014,0.05498172273060755,0.056346653551839855,0.06649323550486834,0.06907538549601905,0.07390704425034028,0.08652108385545719,0.09158095485788717
9,10000,58977132.71607128,1377644,2368107,2503540,2930052,3060291,3286331,4071199,4318092,11687745,11687745,11687745,11665520,11642830,11671473,11679328,11685755,0.02913220209725423,0.05007692242112071,0.052940841929090425,0.06193092629464924,0.06465271112910993,0.06947014415874483,0.08607585541103668,0.09130823013710933
10,11000,65185247.22378433,2125703,3324141,3597836,4175549,4544862,4961366,5983154,6280697,14359473,14359473,14359473,14332943,14305252,14335136,14347273,14354370,0.04182332748421293,0.06540266332911937,0.0707876280282291,0.08211130377936814,0.08932512630967115,0.09756843949004777,0.1176906454545706,0.12356066515140118
11,12000,71393360.31408632,2037021,3558475,3629310,4618432,4905762,5384642,6201376,6465957,17502770,17502770,17502770,17445570,17394576,17468653,17481293,17494585,0.03779919626279448,0.0660314719000185,0.06734589431749728,0.0856092895206883,0.09084948971194275,0.09985482106814167,0.11502760530163689,0.11996482224912701
12,13000,77601471.85151446,2179401,3395252,3498870,4146739,4478943,4881978,5623748,5959748,23648574,23648574,23648574,23608066,23415972,23632088,23641736,23645224,0.040394512376295356,0.06292992842282882,0.06485045547746768,0.07680084141022359,0.08265943863715812,0.09045828674701471,0.10422119217698433,0.11045519726280818
13,14000,83809581.7015158,1898263,3265280,3478068,4111453,4406511,4667501,5217517,5468511,29903889,29903889,29903889,29828109,29506260,29871284,29922227,29931215,0.03521451826082595,0.06057393637589194,0.06452134877959186,0.07616415029530217,0.08114625149858924,0.08653408058647043,0.09682265958126976,0.10149734178646048
14,15000,90017689.72858512,1445119,2780752,3016506,3625266,3937997,4238716,4707266,4905539,30582260,30582260,30582260,30478763,30326525,30532100,30543559,30576453,0.02431410030345887,0.04678610069277607,0.05075265735900331,0.0608890048778706,0.06597286244800242,0.07125618186421262,0.07914812612364154,0.08252753929732656
15,16000,96225795.79822111,1040117,2035096,2199752,2825711,3075793,3321291,3807348,4017388,35634429,35634429,35634429,35586175,35262394,35621105,35628316,35633592,0.017166092381836428,0.033587227150316534,0.03630470999813429,0.04659842793876596,0.05045310644213018,0.05480254013766023,0.0628301377000792,0.0663020611261864
16,17000,102433899.77491474,809976,1573990,1626426,1998795,2193191,2459829,3037146,3204848,39064627,39064627,39064627,39042513,38762552,39058637,39062188,39062192,0.012781841490859522,0.02483837877689954,0.025665846060392766,0.031531018671308884,0.03444549356412515,0.03881370888727347,0.04792589492907202,0.05057222083051732
17,18000,108642001.52416766,1026268,1832394,1870427,2288213,2391851,2546467,3010866,3142665,40537468,40537468,40537468,40504437,40379784,40520174,40531929,40539914,0.015069011516477347,0.026905609732276552,0.02746406007371386,0.033582254017729025,0.035039163489717945,0.037381072888812136,0.04420588451042461,0.0461463827945766
18,19000,114850100.91038764,914342,1526429,1558018,1938480,2040847,2193185,2638610,2760139,42697363,42697363,42697363,42667412,42533500,42675424,42678075,42686716,0.012672311910541715,0.02115552429757824,0.021593331661717806,0.026855192418871472,0.02822100284454673,0.030387181403292836,0.03656001015235777,0.03824846912915096
19,20000,121058197.79922915,1669055,2555672,2655206,3185391,3481257,3737872,4295449,4473225,46497563,46497563,46497563,46476197,46303781,46482843,46492229,46498892,0.02238520372706451,0.03427642491083542,0.03561136526197402,0.04270991614417675,0.04656924833417867,0.050122081350642625,0.05760602415782474,0.05999552908989461
20,21000,127266292.0549252,1669601,2596411,2716056,3208953,3406955,3561433,4119865,4276520,48534492,48534492,48534492,48412522,48161599,48382260,48381514,48475367,0.021206183509525325,0.03297791995342011,0.03449757274830772,0.0406949851321607,0.0430689364742801,0.04514770489318108,0.05222636231709312,0.05427680912514779
21,22000,133474383.54328036,1824854,2685384,2751288,3083669,3249305,3455577,3947621,4077296,48024559,48024559,48024559,47785493,47537046,47856660,47892663,47929906,0.02135585426598168,0.03142644252756601,0.0321977021568543,0.0359868003944161,0.03781016602199902,0.04036053350861614,0.04612691793224244,0.047662878038353014
22,23000,139682472.12839818,1433848,2271240,2529830,2942351,3110633,3343833,4008597,4195705,49133235,49133235,49133235,49070312,48771211,49103892,49099243,49111727,0.015835009167076843,0.025082928051391506,0.027938722403731783,0.0324719220447969,0.034216146178048384,0.03691637686592133,0.044253191662200195,0.0463251681771187
23,24000,145890557.67620206,1799022,2923137,3263344,4002200,4359443,4872451,5972646,6208905,50254636,50254636,50254636,50052440,49753006,50143081,50165411,50227767,0.01881115347108812,0.03056526197234726,0.03412257594012447,0.04176000214780723,0.04534589163122134,0.05088855778912702,0.06239369912070181,0.06490407561928448
24,25000,152098640.0507431,2707287,4046585,4313654,5135754,5446105,5996857,7122039,7332288,51433663,51433663,51433663,51252630,51079099,51312581,51328884,51414715,0.02689403086671657,0.04019853894130628,0.0428515867820203,0.050926695041438146,0.05391140113440397,0.059500858119482,0.07067635448490778,0.07282481286168217
25,26000,158306719.1179514,2048184,2952104,3580785,4230502,4846232,5309571,6443851,6779090,52787662,52787662,52787662,52700011,52565302,52729317,52774186,52788850,0.019410560101105694,0.02797697478191145,0.033934960165511376,0.040059027266288634,0.045830972688725866,0.05029079039156629,0.06106032717700284,0.06424589556885485
26,27000,164514794.74180436,2276268,3165647,3497397,4044211,4598918,5240590,6409515,6677144,57984649,57984649,57984649,57852923,57768448,57899137,57914273,57928612,0.02136736023544884,0.02971597361438456,0.03283011560386478,0.03791618254918489,0.043082673462575334,0.04915403713675301,0.06012648808159117,0.06264549332979485
27,28000,170722866.7880888,1460776,2487559,2661674,3281254,3511448,3847167,4569704,4792735,62425654,62425654,62425654,62124772,61984797,62311746,62307202,62329845,0.01348858352299779,0.02296974165777974,0.024577493099552303,0.03021465529761663,0.03229271962288083,0.035486829875323,0.042149849921891136,0.04421626891600017
28,29000,176930935.12180853,503275,1026057,1058766,1681157,1864104,2067874,2558472,2673542,67270781,67270781,67270781,67134964,66408461,67206660,67210097,67251193,0.004589406280069342,0.009356698503818208,0.00965497457557776,0.015311645617077433,0.016866289094700705,0.01884609397240843,0.023318013640760447,0.024375896116083203
29,30000,183138999.60704517,408722,781369,798740,1077573,1132900,1263622,1657897,1752549,68984696,68984696,68984696,68907537,68350317,68944318,68955989,68968195,0.0035804344390461965,0.006844849255002392,0.00699702047808476,0.009433241730492745,0.009869439863494592,0.011065506573662022,0.014519646935090592,0.015350237795309843
