,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226878,122579,2086685,2278377,2322677,2416543,2441167,2577168,2598942,0,0,0,0,0,0,0,0,0.03948988587588591,0.6722436347899965,0.7339988718478965,0.7482705003022136,0.7785102446925733,0.7864430794343139,0.8302569787890677,0.8372716613616253
1,2000,9312181.82018932,98708,4036049,4710684,4867699,5114407,5266213,5787227,5927413,0,0,0,0,0,0,0,0,0.010599878944158463,0.4334160434077463,0.5058625455300905,0.5227237927685822,0.5492168321833757,0.5655187046050327,0.6214684283175158,0.6365224728697891
2,3000,15520302.80860031,79922,2148804,2590061,2657840,2753188,2832457,3074820,3202842,0,0,0,0,0,0,0,0,0.005149512930618376,0.13845116467761678,0.16688211769713424,0.17124923609913098,0.17739267293640482,0.1825001119456537,0.19811597994699828,0.20636465921432923
3,4000,21728423.45952608,12336,1766241,1992616,2020165,2111602,2169443,2355945,2484074,0,0,0,0,0,0,0,0,0.0005677356216376437,0.08128712160318527,0.09170550287330699,0.09297338132989709,0.09718155594368448,0.09984355303278492,0.10842687249668438,0.11432371081257361
4,5000,27936543.637851194,2655,1211359,1359023,1387946,1413533,1464653,1671157,1767056,0,0,0,0,0,0,0,0,9.503681036628824e-05,0.04336109060960322,0.04864678385477369,0.049682094463521016,0.05059799158850867,0.05242785288640873,0.0598197479854219,0.06325249189401576
5,6000,34144663.20869094,17630,829364,952130,997584,1023551,1074693,1230859,1324226,0,0,0,0,0,0,0,0,0.0005163325200265142,0.02428971095514861,0.027885177668340613,0.029216395953382313,0.029976895473945473,0.031474699089328116,0.03604835673665997,0.03878281041773289
6,7000,40352782.03686468,845,321525,386627,400995,406910,418743,523398,604819,1691,0,0,0,0,0,3381,3381,2.09411933676839e-05,0.007967852122469962,0.009581173353718043,0.009937233066946091,0.01008381527767437,0.010377054043447444,0.012971642367672434,0.01498954097106461
7,8000,46560899.9875668,3380,232835,283364,285054,295196,305654,385136,423168,1691,0,0,0,0,0,1691,3382,7.259573505431755e-05,0.0050006550574016855,0.006085878925786807,0.006122175475047051,0.006339997725104679,0.006564606785556531,0.008271961839017647,0.009089144316348805
8,9000,52769016.925551236,0,114406,131419,133954,146632,157305,189530,208970,61687,17747,17747,1690,9298,5072,846,22819,0.0,0.0021687819110603997,0.002491295473748288,0.0025385784690021163,0.002779241493058579,0.0029812971759779123,0.003591748523317233,0.003961802143444562
9,10000,58977132.71607509,0,178502,211256,214635,220681,229645,261537,280128,34032,28350,8868,21550,25942,752,20687,27386,0.0,0.003028086277196751,0.0035825371666806127,0.0036406221448724084,0.0037434528008579077,0.003893846947061064,0.004436105277776085,0.004751979704835805
10,11000,65185247.22379768,845,319081,355112,358494,368516,373918,415726,435948,781579,752881,570919,723479,748765,581736,510136,566790,1.3120370676149866e-05,0.00495218503836585,0.005495870803918859,0.0055613429460294106,0.005719058323514434,0.0057878897434023935,0.006427913182266482,0.006746493474614388
11,12000,71393360.31407851,5165,274445,344297,355282,371393,437333,555936,589090,555466,399400,189185,364945,517626,197793,140391,168313,7.291295217076341e-05,0.003865751379213817,0.004835348467717251,0.005001969964119131,0.005240058584144049,0.006142699840717751,0.007802285369322222,0.008270826376601917
12,13000,77601471.85150903,5824,396854,464878,469949,485940,503646,593731,618112,69737,43314,6319,44396,56710,18825,75827,73731,7.511762778369773e-05,0.005116856962484939,0.005991070098020424,0.006059395546316954,0.006266574148883579,0.0064917352067655545,0.0076585109499859,0.0079727848794651
13,14000,83809581.70150846,0,5138,8890,8890,8891,8890,22261,26487,104165,89211,46488,55977,65795,26113,65892,60384,0.0,6.13709657153659e-05,0.00010613266066413093,0.00010614468513544331,0.00010616907056866881,0.00010610685064463011,0.00026582301400076733,0.00031626571629262215
14,15000,90017689.72858584,0,183443,228756,235212,247152,259725,321739,336735,268402,168540,59551,139564,183956,96004,195155,192618,0.0,0.0020416776402908676,0.0025429161077930194,0.002617010513885144,0.002751215937953987,0.002888346652930175,0.0035819407788055574,0.0037487863190076116
15,16000,96225795.79824102,8446,452937,552619,554613,581091,596125,734142,766742,558146,381808,228489,320706,406494,292980,443535,461397,8.82848070148295e-05,0.004725773732969743,0.0057566094136520685,0.005782936037771919,0.006064446192934661,0.006213984182990387,0.007664696926985483,0.008006545330226449
16,17000,102433899.774907,0,223629,270202,270729,277092,281595,323203,344671,311412,258981,136557,171371,237208,95605,184114,199218,0.0,0.0021886878177281286,0.002641339380579484,0.0026473919943433965,0.002711359782666039,0.002751609264345942,0.003160916157922327,0.0033713705957325907
17,18000,108642001.52416301,2536,296427,355480,357489,379467,392539,462627,481451,190235,158363,80606,107816,128675,97800,100079,108800,2.3383667055667372e-05,0.0027324581294715295,0.0032744604864708023,0.003293791705106702,0.0034969621903121998,0.0036163976931795567,0.004262196478941236,0.004435978974533552
